# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00350047 0.00061881
2.13000000 0.02109748 0.00456374
2.19000000 0.08025138 0.02042079
2.25000000 0.21278807 0.06482053
2.31000000 0.44189735 0.16197400
2.37000000 0.71841630 0.32820236
2.43000000 0.99031979 0.56915224
2.49000000 1.31165528 0.90416140
2.55000000 1.60008208 1.33284366
2.61000000 1.86798386 1.85713218
2.67000000 2.08326921 2.46905950
2.73000000 2.17779535 3.13776307
2.79000000 2.31007188 3.87863545
2.85000000 2.31828653 4.65439386
2.91000000 2.19282782 5.41947693
2.97000000 2.13047248 6.19368822
3.03000000 1.99035277 6.94647297
3.09000000 1.86452743 7.67991960
3.15000000 1.70404960 8.37646941
3.21000000 1.54669614 9.03302901
3.27000000 1.33009307 9.61896693
3.33000000 1.19173191 10.16336475
3.39000000 1.01559626 10.64417921
3.45000000 0.88044259 11.07588020
3.51000000 0.75611541 11.45962673
3.57000000 0.64588262 11.79865347
3.63000000 0.58307699 12.11517624
3.69000000 0.53852774 12.41723861
3.75000000 0.49454889 12.70374653
3.81000000 0.47237852 12.98623465
3.87000000 0.47922055 13.28186634
3.93000000 0.48932606 13.59320594
3.99000000 0.48332201 13.91019208
4.05000000 0.52445802 14.26461584
4.11000000 0.55944498 14.65393465
4.17000000 0.59167029 15.07782178
4.23000000 0.63280644 15.54432475
4.29000000 0.68531811 16.06397228
4.35000000 0.75068877 16.64921485
4.41000000 0.79317931 17.28480594
4.47000000 0.86547388 17.99729208
4.53000000 0.93900139 18.79114950
4.59000000 0.98346991 19.64479901
4.65000000 1.05549442 20.58508614
4.71000000 1.10757135 21.59730594
4.77000000 1.15761483 22.68239604
4.83000000 1.16822370 23.80514950
4.89000000 1.21352782 25.00069802
4.95000000 1.24613950 26.25858614
5.01000000 1.25128485 27.55252475
5.07000000 1.26007218 28.88691782
5.13000000 1.26904287 30.26284059
5.19000000 1.25027310 31.65029604
5.25000000 1.25331570 33.07340198
5.31000000 1.23450257 34.50735248
5.37000000 1.22203683 35.95916535
5.43000000 1.19644118 37.41251287
5.49000000 1.17505764 38.87151584
5.55000000 1.16118390 40.34505941
5.61000000 1.12820143 41.80786139
5.67000000 1.09180426 43.25394257
5.73000000 1.06633306 44.69624158
5.79000000 1.05278668 46.15014356
5.85000000 1.01462925 47.58060198
5.91000000 0.99065680 49.00610990
5.97000000 0.96367151 50.42102475
