# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00482438 0.00085087
2.13000000 0.01533403 0.00371287
2.19000000 0.06272828 0.01608911
2.25000000 0.18976256 0.05561571
2.31000000 0.34781306 0.13196162
2.37000000 0.58581627 0.26732669
2.43000000 0.90848749 0.48801050
2.49000000 1.25057963 0.80700797
2.55000000 1.64756713 1.24775683
2.61000000 1.88630594 1.77637762
2.67000000 2.18973851 2.41862564
2.73000000 2.31536337 3.12848079
2.79000000 2.40157168 3.89750941
2.85000000 2.37048248 4.68958832
2.91000000 2.29168416 5.48785604
2.97000000 2.13596881 6.26291723
3.03000000 1.98923604 7.01423277
3.09000000 1.82559921 7.73128069
3.15000000 1.66260782 8.40996277
3.21000000 1.44097149 9.02073050
3.27000000 1.27629513 9.58214703
3.33000000 1.14475280 10.10434485
3.39000000 0.98401173 10.56946040
3.45000000 0.85991866 10.99048812
3.51000000 0.74603551 11.36858119
3.57000000 0.68877839 11.72965545
3.63000000 0.59084613 12.04989010
3.69000000 0.53673230 12.35047723
3.75000000 0.51842264 12.65037129
3.81000000 0.48380520 12.93927525
3.87000000 0.47860397 13.23414653
3.93000000 0.49493131 13.54857129
3.99000000 0.49488698 13.87267921
4.05000000 0.51005765 14.21682178
4.11000000 0.56004978 14.60597426
4.17000000 0.57550742 15.01763762
4.23000000 0.64021567 15.48894257
4.29000000 0.68791191 16.00974554
4.35000000 0.73491714 16.58183960
4.41000000 0.80284584 17.22416931
4.47000000 0.84920450 17.92218713
4.53000000 0.94764888 18.72215347
4.59000000 0.99565194 19.58509010
4.65000000 1.06028166 20.52823465
4.71000000 1.12615108 21.55592772
4.77000000 1.15521394 22.63722178
4.83000000 1.19331997 23.78240891
4.89000000 1.21974272 24.98221089
4.95000000 1.23125800 26.22323564
5.01000000 1.25703475 27.52119703
5.07000000 1.26433624 28.85813960
5.13000000 1.24875277 30.21000792
5.19000000 1.26527030 31.61200396
5.25000000 1.25107782 33.03055446
5.31000000 1.23193955 34.45946634
5.37000000 1.22676634 35.91475545
5.43000000 1.19916475 37.36911782
5.49000000 1.17041068 38.82023168
5.55000000 1.14793581 40.27475347
5.61000000 1.12662349 41.73329406
5.67000000 1.08245818 43.16483960
5.73000000 1.07374196 44.61501881
5.79000000 1.03847816 46.04718614
5.85000000 1.01308284 47.47331188
5.91000000 0.97782464 48.87824158
5.97000000 0.96820308 50.29764950
