# Time-averaged data for fix rdf_final_eq
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0.0407363 0.0078125
38 2.25 0.424521 0.09375
39 2.31 0.512597 0.203125
40 2.37 0.626108 0.34375
41 2.43 0.661747 0.5
42 2.49 1.0399 0.757812
43 2.55 1.44224 1.13281
44 2.61 1.95032 1.66406
45 2.67 2.00069 2.23438
46 2.73 2.2283 2.89844
47 2.79 2.08329 3.54688
48 2.85 2.40542 4.32812
49 2.91 2.00731 5.00781
50 2.97 2.28143 5.8125
51 3.03 1.95788 6.53125
52 3.09 1.94397 7.27344
53 3.15 2.06753 8.09375
54 3.21 1.64966 8.77344
55 3.27 1.60795 9.46094
56 3.33 1.1629 9.97656
57 3.39 0.918079 10.3984
58 3.45 1.00133 10.875
59 3.51 0.69779 11.2188
60 3.57 0.735854 11.5938
61 3.63 0.533797 11.875
62 3.69 0.660074 12.2344
63 3.75 0.653015 12.6016
64 3.81 0.444173 12.8594
65 3.87 0.456598 13.1328
66 3.93 0.417462 13.3906
67 3.99 0.601366 13.7734
68 4.05 0.500297 14.1016
69 4.11 0.57833 14.4922
70 4.17 0.550571 14.875
71 4.23 0.63334 15.3281
72 4.29 0.594515 15.7656
73 4.35 0.578228 16.2031
74 4.41 0.753484 16.7891
75 4.47 0.782285 17.4141
76 4.53 0.971168 18.2109
77 4.59 0.93667 19
78 4.65 1.05723 19.9141
79 4.71 1.04808 20.8438
80 4.77 0.987534 21.7422
81 4.83 1.13903 22.8047
82 4.89 1.13576 23.8906
83 4.95 1.19611 25.0625
84 5.01 1.34667 26.4141
85 5.07 1.391 27.8438
86 5.13 1.36608 29.2812
87 5.19 1.2839 30.6641
88 5.25 1.3327 32.1328
89 5.31 1.24038 33.5312
90 5.37 1.21282 34.9297
91 5.43 1.25243 36.4062
92 5.49 1.21224 37.8672
93 5.55 1.1608 39.2969
94 5.61 1.15473 40.75
95 5.67 0.960249 41.9844
96 5.73 1.05926 43.375
97 5.79 1.00828 44.7266
98 5.85 1.10189 46.2344
99 5.91 0.967752 47.5859
100 5.97 0.975808 48.9766
200 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0.0821202 0.015625
38 2.25 0.0388996 0.0234375
39 2.31 0.553577 0.140625
40 2.37 0.771326 0.3125
41 2.43 0.86711 0.515625
42 2.49 1.2705 0.828125
43 2.55 1.57485 1.23438
44 2.61 2.08146 1.79688
45 2.67 1.79559 2.30469
46 2.73 2.14031 2.9375
47 2.79 2.17575 3.60938
48 2.85 2.01237 4.25781
49 2.91 2.00001 4.92969
50 2.97 1.83072 5.57031
51 3.03 2.23084 6.38281
52 3.09 1.98005 7.13281
53 3.15 1.74656 7.82031
54 3.21 1.77744 8.54688
55 3.27 1.52864 9.19531
56 3.33 1.40301 9.8125
