# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00080910 0.00015470
2.07000000 0.01070394 0.00232054
2.13000000 0.06695138 0.01663057
2.19000000 0.24161018 0.07116336
2.25000000 0.51733932 0.19438431
2.31000000 0.91322543 0.42357676
2.37000000 1.34243141 0.77823327
2.43000000 1.69426188 1.24868515
2.49000000 2.00221970 1.83245673
2.55000000 2.17681297 2.49806614
2.61000000 2.34466881 3.24899455
2.67000000 2.47912505 4.07990347
2.73000000 2.42941842 4.93108000
2.79000000 2.30867515 5.77599010
2.85000000 2.12674030 6.58810277
2.91000000 1.86077446 7.32882119
2.97000000 1.70497356 8.03581356
3.03000000 1.46093495 8.66630604
3.09000000 1.28605355 9.24365723
3.15000000 1.14621003 9.77838703
3.21000000 0.99564199 10.26067307
3.27000000 0.87451272 10.70034059
3.33000000 0.77462590 11.10419604
3.39000000 0.68108889 11.47222871
3.45000000 0.62870349 11.82410594
3.51000000 0.56930580 12.15384653
3.57000000 0.51813461 12.46433861
3.63000000 0.49904584 12.77351980
3.69000000 0.48770191 13.08570792
3.75000000 0.48226767 13.40454851
3.81000000 0.50865157 13.75178119
3.87000000 0.52421301 14.12090198
3.93000000 0.56487169 14.53109505
3.99000000 0.62195009 14.99675248
4.05000000 0.66242452 15.50758218
4.11000000 0.73432788 16.09073762
4.17000000 0.80804490 16.75139208
4.23000000 0.86807544 17.48181881
4.29000000 0.93462908 18.29061386
4.35000000 0.99876204 19.17930297
4.41000000 1.06363546 20.15199208
4.47000000 1.09473745 21.18046040
4.53000000 1.13869323 22.27907723
4.59000000 1.17992490 23.44794455
4.65000000 1.19623510 24.66413762
4.71000000 1.23052733 25.94770990
4.77000000 1.23613406 27.27003267
4.83000000 1.23479207 28.62430891
4.89000000 1.22786510 30.00479802
4.95000000 1.24420950 31.43812079
5.01000000 1.23763050 32.89859505
5.07000000 1.19500441 34.34266238
5.13000000 1.19279793 35.81837822
5.19000000 1.18559917 37.31969604
5.25000000 1.16282612 38.82642475
5.31000000 1.15145156 40.35271782
5.37000000 1.13054845 41.88559901
5.43000000 1.07791621 43.37979802
5.49000000 1.05712765 44.87778812
5.55000000 1.02665555 46.36463465
5.61000000 0.98549772 47.82271188
5.67000000 0.96060543 49.27460198
5.73000000 0.93444422 50.71712772
5.79000000 0.90274802 52.14001089
5.85000000 0.88840377 53.56953564
5.91000000 0.86263841 54.98622673
5.97000000 0.86147861 56.42991980
