# Time-averaged data for fix rdf_final_eq
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0.119348 0.0234375
38 2.25 0.0753789 0.0390625
39 2.31 0.393328 0.125
40 2.37 0.577483 0.257812
41 2.43 0.969387 0.492188
42 2.49 1.3233 0.828125
43 2.55 1.87798 1.32812
44 2.61 1.9887 1.88281
45 2.67 2.27504 2.54688
46 2.73 2.48336 3.30469
47 2.79 2.05904 3.96094
48 2.85 1.90278 4.59375
49 2.91 2.00539 5.28906
50 2.97 1.99008 6.00781
51 3.03 1.9744 6.75
52 3.09 2.03836 7.54688
53 3.15 1.84607 8.29688
54 3.21 1.31476 8.85156
55 3.27 1.26695 9.40625
56 3.33 1.11847 9.91406
57 3.39 1.31168 10.5312
58 3.45 0.897737 10.9688
59 3.51 0.913772 11.4297
60 3.57 0.688687 11.7891
61 3.63 0.593706 12.1094
62 3.69 0.532515 12.4062
63 3.75 0.624161 12.7656
64 3.81 0.578368 13.1094
65 3.87 0.522352 13.4297
66 3.93 0.345919 13.6484
67 3.99 0.383536 13.8984
68 4.05 0.465321 14.2109
69 4.11 0.65516 14.6641
70 4.17 0.548657 15.0547
71 4.23 0.554531 15.4609
72 4.29 0.611703 15.9219
73 4.35 0.736119 16.4922
74 4.41 0.75547 17.0938
75 4.47 1.02182 17.9297
76 4.53 1.1251 18.875
77 4.59 0.978144 19.7188
78 4.65 1.07661 20.6719
79 4.71 0.980545 21.5625
80 4.77 1.07344 22.5625
81 4.83 1.03058 23.5469
82 4.89 1.15706 24.6797
83 4.95 1.16033 25.8438
84 5.01 1.38357 27.2656
85 5.07 1.28421 28.6172
86 5.13 1.2906 30.0078
87 5.19 1.23259 31.3672
88 5.25 1.33612 32.875
89 5.31 1.15044 34.2031
90 5.37 1.31677 35.7578
91 5.43 1.0678 37.0469
92 5.49 1.27883 38.625
93 5.55 1.22655 40.1719
94 5.61 1.0792 41.5625
95 5.67 0.997125 42.875
96 5.73 0.987975 44.2031
97 5.79 1.05867 45.6562
98 5.85 0.964586 47.0078
99 5.91 1.15269 48.6562
100 5.97 0.952968 50.0469
200 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0.120686 0.0234375
38 2.25 0.457341 0.117188
39 2.31 0.180789 0.15625
40 2.37 0.549604 0.28125
41 2.43 0.816874 0.476562
42 2.49 0.964699 0.71875
43 2.55 1.42426 1.09375
44 2.61 2.06763 1.66406
45 2.67 2.3276 2.33594
46 2.73 2.38174 3.05469
47 2.79 2.62743 3.88281
48 2.85 2.1379 4.58594
49 2.91 2.14179 5.32031
50 2.97 2.18737 6.10156
51 3.03 2.1016 6.88281
52 3.09 1.71766 7.54688
53 3.15 1.49729 8.14844
54 3.21 1.23587 8.66406
55 3.27 1.60595 9.35938
