# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00580255 0.00116027
2.13000000 0.03081647 0.00765780
2.19000000 0.11506465 0.03333849
2.25000000 0.30901107 0.10612620
2.31000000 0.65601045 0.26902844
2.37000000 0.99970988 0.53024444
2.43000000 1.41458108 0.91893559
2.49000000 1.81640287 1.44291436
2.55000000 2.15103703 2.09367238
2.61000000 2.45625990 2.87213772
2.67000000 2.65295208 3.75201129
2.73000000 2.66369376 4.67558822
2.79000000 2.60345139 5.61826990
2.85000000 2.40047871 6.52537109
2.91000000 2.13809703 7.36765139
2.97000000 1.78309436 8.09939663
3.03000000 1.54241515 8.75812089
3.09000000 1.29619806 9.33384901
3.15000000 1.08789766 9.83593614
3.21000000 0.93187732 10.28264059
3.27000000 0.82662485 10.69384356
3.33000000 0.73148422 11.07116238
3.39000000 0.64304549 11.41499010
3.45000000 0.58525573 11.73901287
3.51000000 0.53226614 12.04409109
3.57000000 0.49924085 12.34011386
3.63000000 0.47528022 12.63142376
3.69000000 0.48175590 12.93657030
3.75000000 0.46208123 13.23886040
3.81000000 0.48821889 13.56860792
3.87000000 0.50709243 13.92194752
3.93000000 0.53171725 14.30399604
3.99000000 0.57788681 14.73197624
4.05000000 0.63560026 15.21696832
4.11000000 0.70128086 15.76810000
4.17000000 0.77523702 16.39526634
4.23000000 0.84546803 17.09901584
4.29000000 0.90233648 17.87160099
4.35000000 0.98143695 18.73561782
4.41000000 1.04950066 19.68525446
4.47000000 1.08805119 20.69663069
4.53000000 1.12799672 21.77343564
4.59000000 1.17600290 22.92612574
4.65000000 1.18965011 24.12290990
4.71000000 1.23068238 25.39302475
4.77000000 1.24203465 26.70769307
4.83000000 1.24879842 28.06303861
4.89000000 1.27378663 29.47996535
4.95000000 1.26098327 30.91730594
5.01000000 1.27060218 32.40098911
5.07000000 1.24717485 33.89232673
5.13000000 1.23395426 35.40300396
5.19000000 1.22093786 36.93301386
5.25000000 1.21281812 38.48808812
5.31000000 1.19848225 40.06017525
5.37000000 1.16664511 41.62523663
5.43000000 1.12377738 43.16669307
5.49000000 1.09464065 44.70141683
5.55000000 1.03720205 46.18765941
5.61000000 0.99934491 47.65083960
5.67000000 0.94802468 49.06868713
5.73000000 0.91395596 50.46465743
5.79000000 0.88561785 51.84568317
5.85000000 0.85610470 53.20862079
5.91000000 0.83754528 54.56961683
5.97000000 0.81459171 55.92017426
