# Time-averaged data for fix rdf_final_eq
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0.148286 0.03125
37 2.19 0.105205 0.0546875
38 2.25 0.365452 0.140625
39 2.31 0.882548 0.359375
40 2.37 1.04804 0.632812
41 2.43 1.79446 1.125
42 2.49 1.79041 1.64062
43 2.55 1.55196 2.10938
44 2.61 2.17276 2.79688
45 2.67 2.68963 3.6875
46 2.73 2.27933 4.47656
47 2.79 2.83058 5.5
48 2.85 2.46416 6.42969
49 2.91 1.96636 7.20312
50 2.97 1.73517 7.91406
51 3.03 1.48393 8.54688
52 3.09 1.49733 9.21094
53 3.15 1.13571 9.73438
54 3.21 1.10998 10.2656
55 3.27 0.912324 10.7188
56 3.33 0.773568 11.1172
57 3.39 0.541526 11.4062
58 3.45 0.508724 11.6875
59 3.51 0.66896 12.0703
60 3.57 0.395916 12.3047
61 3.63 0.510582 12.6172
62 3.69 0.469407 12.9141
63 3.75 0.34686 13.1406
64 3.81 0.614109 13.5547
65 3.87 0.561524 13.9453
66 3.93 0.62074 14.3906
67 3.99 0.718428 14.9219
68 4.05 0.615264 15.3906
69 4.11 0.617346 15.875
70 4.17 0.628727 16.3828
71 4.23 0.789623 17.0391
72 4.29 0.859082 17.7734
73 4.35 1.06666 18.7109
74 4.41 1.18486 19.7812
75 4.47 1.02699 20.7344
76 4.53 1.09013 21.7734
77 4.59 1.28535 23.0312
78 4.65 1.24462 24.2812
79 4.71 1.14487 25.4609
80 4.77 1.13104 26.6562
81 4.83 1.25452 28.0156
82 4.89 1.12545 29.2656
83 4.95 1.25621 30.6953
84 5.01 1.40054 32.3281
85 5.07 1.21708 33.7812
86 5.13 1.34856 35.4297
87 5.19 1.1677 36.8906
88 5.25 1.15947 38.375
89 5.31 1.205 39.9531
90 5.37 1.11406 41.4453
91 5.43 1.23219 43.1328
92 5.49 1.1217 44.7031
93 5.55 0.906455 46
94 5.61 1.03147 47.5078
95 5.67 0.826638 48.7422
96 5.73 0.957981 50.2031
97 5.79 0.918161 51.6328
98 5.85 0.806041 52.9141
99 5.91 0.876438 54.3359
100 5.97 0.873068 55.7812
200 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0.175404 0.0390625
38 2.25 0.398817 0.132813
39 2.31 0.630616 0.289062
40 2.37 0.808775 0.5
41 2.43 1.51017 0.914062
42 2.49 1.51968 1.35156
43 2.55 2.19939 2.01562
44 2.61 2.44522 2.78906
45 2.67 2.8558 3.73438
46 2.73 2.86711 4.72656
47 2.79 2.59382 5.66406
48 2.85 2.23718 6.50781
49 2.91 1.94719 7.27344
50 2.97 1.67857 7.96094
51 3.03 1.59442 8.64062
52 3.09 1.40975 9.26562
53 3.15 0.847851 9.65625
54 3.21 1.04506 10.1562
55 3.27 0.896914 10.6016
