# source /gauss9/home/cityu/chefan/scratch/run/lammps/calc/DPA/3.1/DPA1_7ele_cry260226/straining/20_20_40/300K/nose_hoover/sxx_0_syy_0_szz_5.0e10_sxy_0_sxz_0_syz_0/Al/fcc_100/stress_info.dat
# axis z
# fit_points 5
# l0 40.60527052953091
# strain stress
0.0000000000e+00 0.0000000000e+00
6.8499442884e-03 6.1070952965e-01
1.6968954457e-02 1.5230047967e+00
2.7189662369e-02 2.2282670318e+00
3.7513090103e-02 2.7344565725e+00
4.7940270010e-02 3.0320812540e+00
5.8472244818e-02 3.3421289922e+00
6.9110067733e-02 3.7648020183e+00
7.9854802545e-02 4.0488837019e+00
9.0707523737e-02 4.3825948203e+00
1.0166931659e-01 4.5670282590e+00
1.1274127729e-01 4.7462310301e+00
1.2392451305e-01 4.9644223020e+00
1.3522014220e-01 5.0873798201e+00
1.4662929430e-01 5.3192332173e+00
1.5815311030e-01 5.6394424573e+00
1.6979274256e-01 5.3695364392e+00
1.8154935508e-01 5.0487632991e+00
1.9342412352e-01 3.9600005005e+00
2.0541823536e-01 3.4811447802e+00
2.1753289003e-01 3.6615353620e+00
