# source Al/fcc/DPA3_7ele_cryfinal/298k/strain/100/sxx_0_syy_0_szz_5.0e9_sxy_0_sxz_0_syz_0.dat
# axis z
# fit_points 5
# l0 20.41495992038337
# strain stress
0.0000000000e+00 0.0000000000e+00
4.1490113964e-04 5.2413177846e-02
1.0469238050e-02 1.2890414959e+00
2.0624622725e-02 1.9723190369e+00
3.0882070714e-02 2.1094985978e+00
4.1242607769e-02 2.9075432438e+00
5.1707269952e-02 3.6115618564e+00
6.2277103739e-02 3.6583390896e+00
7.2953166121e-02 4.5288246618e+00
8.3736524714e-02 4.8084571417e+00
9.4628257862e-02 4.8408721003e+00
1.0562945475e-01 5.2314259279e+00
1.1674121550e-01 5.0102801362e+00
1.2796465131e-01 3.9442348055e+00
1.3930088452e-01 1.1377757081e+00
1.5075104877e-01 1.9391829167e+00
1.6231628908e-01 2.4986337160e+00
1.7399776199e-01 2.5047497989e+00
1.8579663565e-01 3.4502653537e+00
1.9771408997e-01 3.5773974206e+00
2.0975131669e-01 4.2540750854e+00
