# source /gauss9/home/cityu/chefan/scratch/run/lammps/calc/DPA/3.1/DPA1_7ele_cry260226/straining/20_20_40/300K/nose_hoover/sxx_0_syy_0_szz_5.0e10_sxy_0_sxz_0_syz_0/Cu/fcc_100/stress_info.dat
# axis z
# fit_points 5
# l0 43.92182941549513
# strain stress
0.0000000000e+00 0.0000000000e+00
4.0811548721e-03 2.9415887347e-01
1.4172338245e-02 1.0227873587e+00
2.4364939696e-02 1.8743358085e+00
3.4659978495e-02 2.8555501651e+00
4.5058484154e-02 3.8244249605e+00
5.5561496533e-02 4.7440481089e+00
6.6170065941e-02 5.8521460565e+00
7.6885253244e-02 6.5932158285e+00
8.7708129969e-02 7.5572261238e+00
9.8639778414e-02 8.1897829420e+00
1.0968129175e-01 8.7612553706e+00
1.2083377414e-01 8.4392392186e+00
1.3209834085e-01 6.9014860592e+00
1.4347611833e-01 5.6347938318e+00
1.5496824438e-01 4.5516188440e+00
1.6657586821e-01 3.1777410189e+00
1.7830015060e-01 3.9027580017e-01
1.9014226399e-01 -9.3586401845e-01
2.0210339260e-01 7.3360394046e-01
2.1418473254e-01 9.3912873655e-01
