# source Cu/fcc/DPA3_7ele_cryfinal/298k/strain/100/sxx_0_syy_0_szz_5.0e9_sxy_0_sxz_0_syz_0.dat
# axis z
# fit_points 5
# l0 22.00779804260338
# strain stress
0.0000000000e+00 0.0000000000e+00
7.8679877699e-03 1.2236163849e+00
1.7997229446e-02 6.4858812739e-01
2.8228271693e-02 2.4601021267e+00
3.8562137624e-02 4.0267700102e+00
4.8999860635e-02 3.9703921523e+00
5.9542484505e-02 4.9610571151e+00
7.0191063507e-02 6.7088316539e+00
8.0946662507e-02 5.8110676462e+00
9.1810357075e-02 4.0416261326e+00
1.0278323359e-01 4.8797228460e+00
1.1386638934e-01 6.0938648486e+00
1.2506093267e-01 6.9428378488e+00
1.3636798302e-01 7.5235687237e+00
1.4778867112e-01 5.2875905572e+00
1.5932413904e-01 6.8853675396e+00
1.7097554034e-01 7.6678660829e+00
1.8274404017e-01 8.8655384826e+00
1.9463081539e-01 9.7131235832e+00
2.0663705469e-01 9.6358685836e-01
2.1876395870e-01 3.3381854592e+00
