# source /gauss9/home/cityu/chefan/scratch/run/lammps/calc/DPA/3.1/DPA1_7ele_cry260226/straining/20_20_40/300K/nose_hoover/sxx_0_syy_0_szz_1.0e10_sxy_0_sxz_0_syz_0/Nb/bcc_001/stress_info.dat
# axis z
# fit_points 5
# l0 43.24949005161774
# strain stress
0.0000000000e+00 0.0000000000e+00
1.0142152205e-03 3.7900359618e-01
3.0182470147e-03 6.2202380749e-01
5.0262908833e-03 1.3279808256e+00
7.0383548583e-03 1.5986959367e+00
9.0544469881e-03 2.3208596360e+00
1.1074575337e-02 2.4796443239e+00
1.3098747986e-02 3.3229018657e+00
1.5126973031e-02 3.4923406430e+00
1.7159258585e-02 4.1913365480e+00
1.9195612777e-02 4.4521211923e+00
2.1236043754e-02 5.1256179773e+00
2.3280559676e-02 5.3762370529e+00
2.5329168721e-02 6.0322315643e+00
2.7381879085e-02 6.4082590655e+00
2.9438698977e-02 6.8674338653e+00
3.1499636626e-02 7.2286746109e+00
3.3564700274e-02 7.7148646241e+00
3.5633898183e-02 8.1787595284e+00
3.7707238629e-02 8.5057067287e+00
3.9784729905e-02 9.0508053833e+00
4.1866380321e-02 9.3148736336e+00
4.3952198204e-02 9.9389889053e+00
4.6042191898e-02 1.0064027212e+01
4.8136369762e-02 1.0697985521e+01
5.0234740172e-02 1.0829392542e+01
5.2337311523e-02 1.1444628175e+01
5.4444092224e-02 1.1601231442e+01
5.6555090704e-02 1.2063032235e+01
5.8670315405e-02 1.2377228865e+01
6.0789774788e-02 1.2703823255e+01
6.2913477333e-02 1.3090453648e+01
6.5041431532e-02 1.3228789914e+01
6.7173645899e-02 1.3759187718e+01
6.9310128961e-02 1.3822686092e+01
7.1450889266e-02 1.4275878927e+01
7.3595935376e-02 1.4486169841e+01
7.5745275871e-02 1.4745023092e+01
7.7898919348e-02 1.4945951407e+01
8.0056874422e-02 1.5058970255e+01
8.2219149726e-02 1.5509709499e+01
8.4385753907e-02 1.5536346881e+01
8.6556695633e-02 1.5937690475e+01
8.8731983587e-02 1.5797388705e+01
9.0911626471e-02 1.6081853119e+01
9.3095633002e-02 1.6257826286e+01
9.5284011918e-02 1.6437122543e+01
9.7476771971e-02 1.6541667546e+01
9.9673921932e-02 1.6587977405e+01
1.0187547059e-01 1.6803660771e+01
1.0408142675e-01 1.6678705925e+01
1.0629179924e-01 1.6812589072e+01
1.0850659690e-01 1.6955121006e+01
1.1072582859e-01 1.6821751672e+01
1.1294950318e-01 1.7004052983e+01
1.1517762957e-01 1.6802550895e+01
1.1741021667e-01 1.6424820019e+01
1.1964727341e-01 1.6103378319e+01
1.2188880875e-01 1.4404349395e+01
1.2413483164e-01 1.2317744597e+01
1.2638535107e-01 9.1883225004e+00
1.2864037605e-01 7.0456855942e+00
1.3089991559e-01 4.9453211519e+00
1.3316397873e-01 4.9043020003e+00
1.3543257452e-01 4.2994555435e+00
1.3770571205e-01 3.7050488480e+00
1.3998340040e-01 3.3419906567e+00
1.4226564869e-01 3.7285185568e+00
1.4455246605e-01 3.9627571983e+00
1.4684386161e-01 4.3222718920e+00
1.4913984455e-01 4.3437099341e+00
1.5144042405e-01 4.4317919289e+00
1.5374560932e-01 3.5005082014e+00
1.5605540957e-01 2.3193914159e+00
1.5836983404e-01 1.0812591470e+00
1.6068889199e-01 1.0730810157e-01
1.6301259270e-01 1.1836028077e-01
1.6534094546e-01 2.0241945498e-01
1.6767395959e-01 6.1806169823e-01
1.7001164442e-01 9.6485872076e-01
1.7235400929e-01 1.3437297100e+00
1.7470106358e-01 1.4233531161e+00
1.7705281667e-01 1.6569573816e+00
1.7940927798e-01 1.8811729633e+00
1.8177045693e-01 2.8315401007e+00
1.8413636296e-01 2.7943352913e+00
1.8650700554e-01 3.1458446150e+00
1.8888239415e-01 3.6066692103e+00
1.9126253829e-01 3.6331576948e+00
1.9364744748e-01 4.2734254072e+00
1.9603713126e-01 4.2772583808e+00
1.9843159919e-01 4.6546716937e+00
2.0083086085e-01 5.0794679143e+00
2.0323492584e-01 5.0650245972e+00
2.0564380377e-01 5.6691047385e+00
2.0805750427e-01 5.2967133990e+00
2.1047603700e-01 5.9418433093e+00
2.1289941165e-01 5.9916408050e+00
2.1532763789e-01 6.0661210443e+00
2.1776072544e-01 6.6350832116e+00
2.2019868403e-01 6.2692491023e+00
2.2264152343e-01 6.8287185252e+00
