# source Nb/bcc/DPA3_7ele_cryfinal/298k/strain/001/sxx_0_syy_0_szz_5.0e9_sxy_0_sxz_0_syz_0.dat
# axis z
# fit_points 5
# l0 23.07481360147898
# strain stress
0.0000000000e+00 0.0000000000e+00
9.1465388685e-03 1.1256330730e+00
1.9288630197e-02 1.9513574261e+00
2.9532651237e-02 2.4991440250e+00
3.9879626401e-02 3.8644161800e+00
5.0330590393e-02 5.0958834213e+00
6.0886588320e-02 6.5110320392e+00
7.1548675790e-02 8.0811393933e+00
8.2317919021e-02 9.7601734185e+00
9.3195394945e-02 1.1151413754e+01
1.0418219132e-01 1.1948988930e+01
1.1527940683e-01 1.1707402502e+01
1.2648815122e-01 1.0970548814e+01
1.3780954536e-01 4.0674613164e+00
1.4924472140e-01 -6.7189719606e-01
1.6079482287e-01 3.1550425092e-01
1.7246100479e-01 1.5526924873e+00
1.8424443379e-01 2.3633007724e+00
1.9614628821e-01 3.9250605827e+00
2.0816775827e-01 4.9554242250e+00
2.2031004610e-01 6.0657873850e+00
2.3257436596e-01 7.3151168382e+00
