# source /gauss9/home/cityu/chefan/scratch/run/lammps/calc/DPA/3.1/DPA1_7ele_cry260226/straining/20_20_40/300K/nose_hoover/sxx_0_syy_0_szz_5.0e9_sxy_0_sxz_0_syz_0/Ni/fcc_100/stress_info.dat
# axis z
# fit_points 5
# l0 42.33549420022785
# strain stress
0.0000000000e+00 0.0000000000e+00
6.1148111180e-04 8.0643936031e-02
1.6125930655e-03 1.8564819076e-01
2.6147066318e-03 3.8665796110e-01
3.6178228129e-03 4.4041340245e-01
4.6219426120e-03 5.7989396816e-01
5.6270670330e-03 7.1932543947e-01
6.6331970812e-03 8.6362878089e-01
7.6403337627e-03 9.4006056351e-01
8.6484780847e-03 1.0106853949e+00
9.6576310551e-03 1.1620927704e+00
1.0667793683e-02 1.1112919735e+00
1.1678966979e-02 1.3794339424e+00
1.2691151955e-02 1.3912555819e+00
1.3704349621e-02 1.4906010223e+00
1.4718560992e-02 1.4719777347e+00
1.5733787081e-02 1.6888693136e+00
1.6750028904e-02 1.7752422700e+00
1.7767287478e-02 1.8444753476e+00
1.8785563819e-02 1.9551301852e+00
1.9804858945e-02 1.9620243702e+00
2.0825173876e-02 2.0759052974e+00
2.1846509633e-02 2.2568213324e+00
2.2868867236e-02 2.3151432690e+00
2.3892247708e-02 2.4548153079e+00
2.4916652073e-02 2.6826620707e+00
2.5942081354e-02 2.7511560043e+00
2.6968536578e-02 2.9236012906e+00
2.7996018770e-02 3.0196569263e+00
2.9024528958e-02 3.1511744568e+00
3.0054068171e-02 3.2909143428e+00
3.1084637438e-02 3.5065558373e+00
3.2116237789e-02 3.5254316057e+00
3.3148870257e-02 3.6490245194e+00
3.4182535874e-02 3.7160003459e+00
3.5217235674e-02 3.8397738692e+00
3.6252970691e-02 3.9455616941e+00
3.7289741960e-02 3.9779004057e+00
3.8327550520e-02 4.0489101140e+00
3.9366397408e-02 4.1100190820e+00
4.0406283662e-02 4.1335701359e+00
4.1447210322e-02 4.2322539184e+00
4.2489178429e-02 4.5002387913e+00
4.3532189026e-02 4.6986116369e+00
4.4576243155e-02 4.8971260515e+00
4.5621341861e-02 5.2654611063e+00
4.6667486187e-02 5.4778003285e+00
4.7714677182e-02 5.5339440191e+00
4.8762915891e-02 5.7617140050e+00
4.9812203363e-02 5.8268403567e+00
5.0862540648e-02 5.8084041611e+00
5.1913928795e-02 5.8603856013e+00
5.2966368856e-02 5.8414287412e+00
5.4019861884e-02 5.8748408352e+00
5.5074408931e-02 5.8240521958e+00
5.6130011053e-02 6.0241469825e+00
5.7186669305e-02 6.0315390856e+00
5.8244384744e-02 6.1993636844e+00
5.9303158427e-02 6.5201116516e+00
6.0362991414e-02 6.7525419522e+00
6.1423884764e-02 6.9864386115e+00
6.2485839537e-02 7.2785797059e+00
6.3548856797e-02 7.4257819744e+00
6.4612937606e-02 7.6099648293e+00
6.5678083027e-02 7.7155532074e+00
