# source Ni/fcc/DPA3_7ele_cryfinal/298k/strain/100/sxx_0_syy_0_szz_5.0e10_sxy_0_sxz_0_syz_0.dat
# axis z
# fit_points 5
# l0 20.94680579810679
# strain stress
0.0000000000e+00 0.0000000000e+00
1.6097720548e-02 1.5099567467e+00
2.6309672414e-02 2.3837232845e+00
3.6624256101e-02 3.3272968285e+00
4.7042503079e-02 4.3122041529e+00
5.7565455179e-02 5.2929622106e+00
6.8194164706e-02 6.2994073004e+00
7.8929694540e-02 7.5049383065e+00
8.9773118242e-02 9.0201714124e+00
1.0072552016e-01 1.0443530032e+01
1.1178799556e-01 1.2350193156e+01
1.2296165067e-01 1.4410884692e+01
1.3424760289e-01 1.6083759346e+01
1.4564698082e-01 1.6991783406e+01
1.5716092439e-01 1.3868109921e+01
1.6879058503e-01 7.8885074718e+00
1.8053712569e-01 2.9367502463e+00
1.9240172105e-01 1.9665728010e+00
2.0438555758e-01 5.1355760953e+00
2.1648983367e-01 8.8849443084e+00
2.2871575975e-01 1.0706101525e+01
2.4106455844e-01 1.3121308996e+01
