# source Ni/fcc/DPA3_7ele_cryfinal/298k/strain/100/sxx_0_syy_0_szz_5.0e9_sxy_0_sxz_0_syz_0.dat
# axis z
# fit_points 5
# l0 21.27094557749281
# strain stress
0.0000000000e+00 0.0000000000e+00
7.2782808324e-03 -1.7644745832e-01
1.7401595855e-02 2.8022481672e+00
2.7626651885e-02 3.0123667098e+00
3.7954471437e-02 4.6168299248e+00
4.8386087300e-02 6.2504643128e+00
5.8922542646e-02 7.1126623921e+00
6.9564891129e-02 8.8845662641e+00
8.0314196992e-02 1.1263477952e+01
9.1171535176e-02 1.2506194020e+01
1.0213799142e-01 8.9877153848e+00
1.1321466239e-01 8.3259140724e+00
1.2440265574e-01 1.0380877974e+01
1.3570309030e-01 1.1673636042e+01
1.4711709612e-01 1.2308297671e+01
1.5864581460e-01 1.1612888213e+00
1.7029039863e-01 2.7525974141e+00
1.8205201267e-01 3.6033358795e+00
1.9393183290e-01 4.9215094907e+00
2.0593104731e-01 6.5139407037e+00
2.1805085583e-01 7.7321593887e+00
