# source /gauss9/home/cityu/chefan/scratch/run/lammps/calc/DPA/3.1/DPA1_7ele_cry260226/straining/20_20_40/300K/nose_hoover/sxx_0_syy_0_szz_5.0e9_sxy_0_sxz_0_syz_0/Ta/bcc_001/stress_info.dat
# axis z
# fit_points 5
# l0 43.39008287584658
# strain stress
0.0000000000e+00 0.0000000000e+00
1.8448411705e-04 2.6638859175e-01
1.1851688602e-03 7.8637507221e-01
2.1868547885e-03 1.9446343627e-01
3.1895429038e-03 7.1861160641e-01
4.1932342087e-03 1.0731466671e+00
5.1979297069e-03 5.0817569767e-01
6.2036304032e-03 1.3716559575e+00
7.2103373031e-03 1.0586976630e+00
8.2180514135e-03 1.0502567175e+00
9.2267737420e-03 1.7631902776e+00
1.0236505297e-02 1.2020535144e+00
1.1247247089e-02 1.6937523078e+00
1.2259000129e-02 1.9761018272e+00
1.3271765427e-02 1.4657704471e+00
1.4285543997e-02 2.3565745597e+00
1.5300336853e-02 2.1062644553e+00
1.6316145009e-02 2.0090975890e+00
1.7332969482e-02 2.8181642334e+00
1.8350811288e-02 2.1546275346e+00
1.9369671444e-02 2.6964021917e+00
2.0389550970e-02 2.8233647383e+00
2.1410450886e-02 2.5695261407e+00
2.2432372212e-02 3.2477428630e+00
2.3455315971e-02 2.9760664204e+00
2.4479283186e-02 3.2395658935e+00
2.5504274879e-02 3.4996501794e+00
2.6530292077e-02 3.1601386649e+00
2.7557335805e-02 3.7857125885e+00
2.8585407091e-02 3.7322502440e+00
2.9614506963e-02 3.6138813646e+00
3.0644636448e-02 4.3361285573e+00
3.1675796579e-02 3.7979289869e+00
3.2707988385e-02 4.3098311688e+00
3.3741212900e-02 4.4076035366e+00
3.4775471156e-02 4.2703880465e+00
3.5810764187e-02 4.8569293197e+00
3.6847093029e-02 4.4507660830e+00
3.7884458719e-02 5.0131237582e+00
3.8922862293e-02 5.0093851971e+00
3.9962304790e-02 4.8679165190e+00
4.1002787249e-02 5.5707217548e+00
4.2044310711e-02 4.9569085827e+00
4.3086876218e-02 5.7221901937e+00
4.4130484811e-02 5.5755930318e+00
4.5175137536e-02 5.6141913020e+00
4.6220835435e-02 5.9882342191e+00
4.7267579555e-02 5.8897510124e+00
4.8315370943e-02 6.2478137835e+00
4.9364210646e-02 6.2120717789e+00
5.0414099714e-02 6.3555909373e+00
5.1465039196e-02 6.6197538906e+00
5.2517030143e-02 6.4703564440e+00
5.3570073607e-02 7.0275406995e+00
5.4624170641e-02 6.6533577413e+00
5.5679322300e-02 7.1709972469e+00
5.6735529638e-02 7.2199989423e+00
5.7792793711e-02 7.2133074982e+00
5.8851115578e-02 7.6351232552e+00
5.9910496296e-02 7.4247571192e+00
6.0970936924e-02 7.8685862505e+00
6.2032438523e-02 7.8300619545e+00
6.3095002155e-02 8.0110399392e+00
6.4158628882e-02 8.1585879224e+00
6.5223319767e-02 8.2354511778e+00
6.6289075876e-02 8.5373614443e+00
6.7355898275e-02 8.5040013442e+00
6.8423788029e-02 8.7921696226e+00
6.9492746207e-02 8.8022219582e+00
7.0562773878e-02 8.9726802787e+00
7.1633872111e-02 9.1251527144e+00
7.2706041979e-02 9.2273961364e+00
7.3779284553e-02 9.4403335269e+00
7.4853600906e-02 9.5705730568e+00
7.5928992113e-02 9.7355694088e+00
7.7005459249e-02 9.8116631119e+00
7.8083003390e-02 9.9869791618e+00
7.9161625615e-02 1.0108107833e+01
8.0241327001e-02 1.0288725967e+01
8.1322108629e-02 1.0432648860e+01
8.2403971579e-02 1.0534783980e+01
8.3486916933e-02 1.0629250456e+01
8.4570945774e-02 1.0860861228e+01
8.5656059186e-02 1.0975671726e+01
8.6742258254e-02 1.1074795525e+01
8.7829544065e-02 1.1327257349e+01
8.8917917705e-02 1.1292042388e+01
9.0007380263e-02 1.1620778783e+01
