# source Ta/bcc/DPA3_7ele_cryfinal/298k/strain/001/sxx_0_syy_0_szz_5.0e10_sxy_0_sxz_0_syz_0.dat
# axis z
# fit_points 5
# l0 23.50871243723084
# strain stress
0.0000000000e+00 0.0000000000e+00
4.1592497009e-03 1.4489471414e+00
1.4251217940e-02 1.8083712404e+00
2.4444612145e-02 1.6021942495e+00
3.4740451666e-02 3.9652874451e+00
4.5139766094e-02 4.2934426244e+00
5.5643595369e-02 5.1344517587e+00
6.6252989884e-02 7.1074159413e+00
7.6969010586e-02 7.0653895342e+00
8.7792729087e-02 9.1674764893e+00
9.8725227767e-02 9.6081634726e+00
1.0976759989e-01 1.0495052990e+01
1.2092094969e-01 1.1973539308e+01
1.3218639252e-01 1.1845000045e+01
1.4356505494e-01 1.3348112660e+01
1.5505807481e-01 1.2683107931e+01
1.6666660145e-01 1.2750903450e+01
1.7839179573e-01 1.2379309330e+01
1.9023483017e-01 8.4936900678e+00
2.0219688908e-01 3.8076584585e+00
2.1427916868e-01 -7.5396532280e-01
