# source Ta/bcc/DPA3_7ele_cryfinal/298k/strain/001/sxx_0_syy_0_szz_5.0e9_sxy_0_sxz_0_syz_0.dat
# axis z
# fit_points 5
# l0 23.32571881010778
# strain stress
0.0000000000e+00 0.0000000000e+00
7.0464136683e-03 5.8134865029e-01
1.7167398387e-02 1.2322272907e+00
2.7390100694e-02 2.0477804699e+00
3.7715542866e-02 2.7583368942e+00
4.8144757458e-02 4.4351059678e+00
5.8678787399e-02 4.7540609246e+00
6.9318686100e-02 5.9677992731e+00
8.0065517562e-02 7.0295862852e+00
9.0920356475e-02 7.9501110902e+00
1.0188428833e-01 8.9970198115e+00
1.1295840954e-01 1.0627940337e+01
1.2414382751e-01 1.0953109380e+01
1.3544166081e-01 1.1241891840e+01
1.4685303921e-01 1.2203819742e+01
1.5837910388e-01 1.2249647778e+01
1.7002100742e-01 1.2147571037e+01
1.8177991403e-01 9.7577101767e+00
1.9365699963e-01 -9.9121922481e-01
2.0565345191e-01 2.6058263870e-01
