# source /gauss9/home/cityu/chefan/scratch/run/lammps/calc/DPA/3.1/DPA1_7ele_cry260226/straining/20_20_40/300K/nose_hoover/sxx_0_syy_0_szz_1.0e10_sxy_0_sxz_0_syz_0/W/bcc_001/stress_info.dat
# axis z
# fit_points 5
# l0 41.02906584282827
# strain stress
0.0000000000e+00 0.0000000000e+00
1.1560876844e-03 5.0350990958e-01
3.1604035075e-03 7.5783395165e-01
5.1687319736e-03 1.7014573266e+00
7.1810811159e-03 2.3032204855e+00
9.1974589838e-03 2.7891294926e+00
1.1217873643e-02 3.7941606519e+00
1.3242333175e-02 4.0624199366e+00
1.5270845678e-02 5.1124608876e+00
1.7303419265e-02 5.6549429671e+00
1.9340062068e-02 6.0164209737e+00
2.1380782232e-02 7.2099839644e+00
2.3425587920e-02 7.4379254438e+00
2.5474487312e-02 8.3143248814e+00
2.7527488604e-02 9.0359548515e+00
2.9584600007e-02 9.4880380646e+00
3.1645829750e-02 1.0264223225e+01
3.3711186077e-02 1.0921821163e+01
3.5780677250e-02 1.1201067022e+01
3.7854311548e-02 1.2128273821e+01
3.9932097264e-02 1.2827649239e+01
4.2014042710e-02 1.3005812249e+01
4.4100156214e-02 1.3974039623e+01
4.6190446119e-02 1.4430572841e+01
4.8284920788e-02 1.4904832293e+01
5.0383588598e-02 1.5564953027e+01
5.2486457944e-02 1.6031270345e+01
5.4593537236e-02 1.6562700149e+01
5.6704834905e-02 1.7244467641e+01
5.8820359394e-02 1.7659032035e+01
6.0940119166e-02 1.8051047640e+01
6.3064122700e-02 1.8575083528e+01
6.5192378491e-02 1.9204430947e+01
6.7324895054e-02 1.9668299253e+01
6.9461680918e-02 1.9956112024e+01
7.1602744630e-02 2.0531138661e+01
7.3748094754e-02 2.1054164444e+01
7.5897739872e-02 2.1541121841e+01
7.8051688583e-02 2.1910635293e+01
8.0209949501e-02 2.2196107222e+01
8.2372531261e-02 2.2872406731e+01
8.4539442513e-02 2.3208968317e+01
8.6710691923e-02 2.3525407426e+01
8.8886288178e-02 2.3878329800e+01
9.1066239980e-02 2.4583231979e+01
9.3250556048e-02 2.4595390121e+01
9.5439245119e-02 2.4954748483e+01
9.7632315949e-02 2.5606043713e+01
9.9829777310e-02 2.5639091389e+01
1.0203163799e-01 2.5898032158e+01
1.0423790680e-01 2.6580177962e+01
1.0644859256e-01 2.6374612827e+01
1.0866370412e-01 2.6487014806e+01
1.1088325034e-01 2.7240724550e+01
1.1310724009e-01 2.7076853202e+01
1.1533568226e-01 2.7331354503e+01
1.1756858579e-01 2.7579079423e+01
1.1980595959e-01 2.7435638141e+01
1.2204781261e-01 2.7365761487e+01
1.2429415383e-01 2.7630336490e+01
1.2654499223e-01 2.7639808347e+01
1.2880033680e-01 2.7224936806e+01
1.3106019658e-01 2.7160970076e+01
1.3332458061e-01 2.7100704773e+01
1.3559349793e-01 2.5709258638e+01
1.3786695763e-01 2.2892139905e+01
1.4014496879e-01 1.8158451683e+01
1.4242754054e-01 1.2357578496e+01
1.4471468200e-01 4.8427767773e+00
1.4700640232e-01 8.1529897358e-01
1.4930271067e-01 -7.9796532707e-01
1.5160361623e-01 -2.1505371042e+00
1.5390912821e-01 -3.4429364354e+00
1.5621925582e-01 -3.4745982005e+00
1.5853400831e-01 -2.2547948318e+00
1.6085339494e-01 -2.1497936788e+00
1.6317742499e-01 -1.4297497361e+00
1.6550610774e-01 -8.0475431919e-01
1.6783945253e-01 -1.7934262491e-01
1.7017746867e-01 4.5068213763e-02
1.7252016552e-01 1.1300011520e+00
1.7486755246e-01 1.7424503682e+00
1.7721963886e-01 2.3814068159e+00
1.7957643415e-01 2.6985120759e+00
1.8193794775e-01 3.2678969420e+00
1.8430418909e-01 3.8712961313e+00
1.8667516766e-01 4.9048656811e+00
1.8905089293e-01 5.5690520759e+00
1.9143137440e-01 5.7273640749e+00
1.9381662160e-01 6.5522867476e+00
1.9620664407e-01 7.0900059899e+00
1.9860145137e-01 7.7825480963e+00
2.0100105308e-01 8.4595916496e+00
2.0340545879e-01 9.1521275729e+00
2.0581467812e-01 9.6312746113e+00
2.0822872071e-01 1.0105162840e+01
2.1064759622e-01 1.0586612394e+01
2.1307131433e-01 1.1549351316e+01
2.1549988472e-01 1.2134028706e+01
2.1793331711e-01 1.2564664216e+01
2.2037162123e-01 1.3034305290e+01
2.2281480685e-01 1.3550480545e+01
