# source W/bcc/DPA3_7ele_cryfinal/298k/strain/001/sxx_0_syy_0_szz_5.0e9_sxy_0_sxz_0_syz_0.dat
# axis z
# fit_points 5
# l0 22.05953094734111
# strain stress
0.0000000000e+00 0.0000000000e+00
2.1494978714e-03 1.3416121465e+00
1.2221267768e-02 3.6077051427e+00
2.2394260636e-02 8.5715952166e+00
3.2669493781e-02 1.2605342197e+01
4.3047994736e-02 1.5591507535e+01
5.3530801360e-02 1.8660730477e+01
6.4118961942e-02 2.2053464361e+01
7.4813535307e-02 2.4849947562e+01
8.5615590921e-02 2.5844830821e+01
9.6526208999e-02 2.7365231873e+01
1.0754648061e-01 2.7050234206e+01
1.1867750780e-01 2.7121087685e+01
1.2992040366e-01 2.7131301801e+01
1.4127629251e-01 2.7594747540e+01
1.5274630994e-01 2.7515036053e+01
1.6433160296e-01 2.6235414897e+01
1.7603333011e-01 7.8042088976e+00
1.8785266158e-01 1.1426015841e+01
1.9979077930e-01 1.5240649827e+01
2.1184887709e-01 1.8635733483e+01
2.2402816079e-01 2.1244953051e+01
