# source /gauss9/home/cityu/chefan/scratch/run/lammps/calc/DPA/3.1/DPA1_7ele_cry260226/straining/20_20_40/300K/nose_hoover/sxx_0_syy_0_szz_1.0e11_sxy_0_sxz_0_syz_0/Zr/hcp_0001/stress_info.dat
# axis z
# fit_points 5
# l0 41.65654860666484
# strain stress
0.0000000000e+00 0.0000000000e+00
3.2701311515e-03 1.3125805573e-01
2.3537532210e-02 2.4344392398e+00
4.4214361928e-02 4.6494571676e+00
6.5308891314e-02 6.6066506106e+00
8.6829558461e-02 8.4246036300e+00
1.0878497192e-01 9.9608685962e+00
1.3118391416e-01 1.1373989451e+01
1.5403534504e-01 1.2284779874e+01
1.7734840545e-01 1.2403071865e+01
2.0113242092e-01 9.6314436184e+00
2.2539690537e-01 5.1840478012e+00
