# source Zr/hcp/DPA3_7ele_cryfinal/298k/strain/0001/sxx_0_syy_0_szz_5.0e10_sxy_0_sxz_0_syz_0.dat
# axis z
# fit_points 5
# l0 20.71393862138325
# strain stress
0.0000000000e+00 0.0000000000e+00
7.2891295398e-03 8.8847506216e-01
1.7412553594e-02 2.1515938098e+00
2.7637719751e-02 3.1573997536e+00
3.7965650536e-02 4.1888482834e+00
4.8397378752e-02 5.4850204081e+00
5.8933947579e-02 6.1661965931e+00
6.9576410683e-02 6.9056032545e+00
8.0325832320e-02 7.3053081552e+00
9.1183287440e-02 8.2396349013e+00
1.0214986180e-01 8.6176345643e+00
1.1322665206e-01 8.8291204246e+00
1.2441476592e-01 9.7531691071e+00
1.3571532219e-01 1.0295084040e+01
1.4712945093e-01 1.0545356184e+01
1.5865829358e-01 5.8524639283e+00
1.7030300303e-01 4.7622774720e+00
1.8206474375e-01 5.4490548055e+00
1.9394469193e-01 5.5923224879e+00
2.0594403557e-01 4.7540080577e+00
2.1806397462e-01 5.2421324313e+00
