# source Zr/hcp/DPA3_7ele_cryfinal/298k/strain/0001/sxx_0_syy_0_szz_5.0e9_sxy_0_sxz_0_syz_0.dat
# axis z
# fit_points 5
# l0 20.78749336990063
# strain stress
0.0000000000e+00 0.0000000000e+00
5.4806793991e-03 3.1312224955e-01
1.5585928227e-02 2.3069051822e+00
2.5792736494e-02 3.1628046891e+00
3.6102124889e-02 4.7967051854e+00
4.6515124361e-02 5.6110892935e+00
5.7032776217e-02 6.1616653303e+00
6.7656132231e-02 7.0251593678e+00
7.8386254749e-02 7.8860089160e+00
8.9224216790e-02 8.1099812352e+00
1.0017110216e-01 9.0385119137e+00
1.1122800556e-01 3.2013798830e+00
1.2239603268e-01 2.8835030488e+00
1.3367630035e-01 5.5174445842e+00
1.4506993658e-01 2.8534103527e+00
1.5657808077e-01 5.6371291630e+00
1.6820188373e-01 4.3554539662e+00
1.7994250785e-01 4.7917282291e+00
1.9180112720e-01 -2.8549648141e+00
2.0377892766e-01 -2.4077606159e+00
2.1587710702e-01 -1.6224646190e+00
