# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.19474600 0.03508770
2.26000000 0.56374000 0.14035100
2.30000000 0.90717100 0.31578900
2.34000000 1.40228000 0.59649100
2.38000000 1.01665000 0.80701800
2.42000000 1.63887000 1.15789000
2.46000000 2.22042000 1.64912000
2.50000000 2.76420000 2.28070000
2.54000000 3.57043000 3.12281000
2.58000000 3.46058000 3.96491000
2.62000000 4.05483000 4.98246000
2.66000000 3.25556000 5.82456000
2.70000000 2.50152000 6.49123000
2.74000000 2.42902000 7.15789000
2.78000000 2.73219000 7.92982000
2.82000000 3.13801000 8.84211000
2.86000000 1.40808000 9.26316000
2.90000000 1.71188000 9.78947000
2.94000000 1.33250000 10.21050000
2.98000000 0.86464300 10.49120000
3.02000000 1.36807000 10.94740000
3.06000000 0.41001200 11.08770000
3.10000000 0.89887400 11.40350000
3.14000000 0.77877300 11.68420000
3.18000000 0.47456500 11.85960000
3.22000000 0.27770900 11.96490000
3.26000000 0.54187200 12.17540000
3.30000000 0.35254400 12.31580000
3.34000000 0.25811300 12.42110000
3.38000000 0.16802600 12.49120000
3.42000000 0.65647600 12.77190000
3.46000000 0.72155800 13.08770000
3.50000000 0.31340400 13.22810000
3.54000000 0.45954300 13.43860000
3.58000000 0.37444300 13.61400000
3.62000000 0.58594200 13.89470000
3.66000000 0.50155400 14.14040000
3.70000000 0.49076800 14.38600000
3.74000000 0.20585400 14.49120000
3.78000000 0.94043000 14.98250000
3.82000000 0.59196700 15.29820000
3.86000000 0.57976200 15.61400000
3.90000000 0.44172400 15.85960000
3.94000000 0.55645800 16.17540000
3.98000000 0.36355300 16.38600000
4.02000000 0.53453100 16.70180000
4.06000000 0.69873400 17.12280000
4.10000000 0.62806900 17.50880000
4.14000000 0.67199000 17.92980000
4.18000000 0.76905600 18.42110000
4.22000000 1.13182000 19.15790000
4.26000000 0.95199800 19.78950000
4.30000000 1.40155000 20.73680000
4.34000000 1.68158000 21.89470000
4.38000000 1.25076000 22.77190000
4.42000000 0.98258100 23.47370000
4.46000000 1.25455000 24.38600000
4.50000000 1.04275000 25.15790000
4.54000000 1.21072000 26.07020000
4.58000000 1.50996000 27.22810000
4.62000000 1.34903000 28.28070000
4.66000000 1.01657000 29.08770000
4.70000000 1.69454000 30.45610000
4.74000000 1.87966000 32.00000000
4.78000000 1.51227000 33.26320000
4.82000000 1.40465000 34.45610000
4.86000000 1.01590000 35.33330000
4.90000000 1.27921000 36.45610000
4.94000000 1.25858000 37.57890000
4.98000000 1.39324000 38.84210000
5.02000000 1.56156000 40.28070000
5.06000000 1.53697000 41.71930000
5.10000000 1.29155000 42.94740000
5.14000000 1.27153000 44.17540000
5.18000000 0.67963800 44.84210000
5.22000000 1.30330000 46.14040000
5.26000000 1.28355000 47.43860000
5.30000000 0.95673200 48.42110000
5.34000000 0.74049800 49.19300000
5.38000000 0.89533000 50.14040000
5.42000000 0.78414500 50.98250000
5.46000000 0.45074100 51.47370000
5.50000000 0.82495800 52.38600000
5.54000000 0.68799800 53.15790000
5.58000000 0.73982100 54.00000000
5.62000000 0.97243700 55.12280000
5.66000000 0.71905600 55.96490000
5.70000000 0.85670700 56.98250000
5.74000000 1.04873000 58.24560000
5.78000000 0.86188600 59.29820000
5.82000000 0.65172800 60.10530000
5.86000000 0.92236500 61.26320000
5.90000000 0.90990100 62.42110000
5.94000000 0.73447200 63.36840000
5.98000000 0.69783900 64.28070000
6.02000000 0.63562700 65.12280000
6.06000000 0.94089600 66.38600000
6.10000000 0.77383100 67.43860000
6.14000000 0.68740300 68.38600000
6.18000000 0.77905700 69.47370000
6.22000000 0.94273000 70.80700000
6.26000000 1.17565000 72.49120000
6.30000000 0.91894000 73.82460000
6.34000000 0.95513800 75.22810000
6.38000000 0.89603900 76.56140000
6.42000000 1.18764000 78.35090000
6.46000000 1.03498000 79.92980000
6.50000000 0.93141200 81.36840000
6.54000000 0.80785200 82.63160000
6.58000000 1.01974000 84.24560000
6.62000000 1.22647000 86.21050000
6.66000000 1.06031000 87.92980000
6.70000000 1.17597000 89.85960000
6.74000000 1.07754000 91.64910000
6.78000000 1.21103000 93.68420000
6.82000000 0.78415100 95.01750000
6.86000000 1.04018000 96.80700000
6.90000000 1.04831000 98.63160000
6.94000000 1.07612000 100.52600000
6.98000000 1.33962000 102.91200000
7.02000000 1.20754000 105.08800000
