# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.23202500 0.04166670
2.22000000 0.15661700 0.07083330
2.26000000 1.12262000 0.28750000
2.30000000 0.89631700 0.46666700
2.34000000 1.26870000 0.72916700
2.38000000 2.47229000 1.25833000
2.42000000 1.80755000 1.65833000
2.46000000 3.79003000 2.52500000
2.50000000 3.29922000 3.30417000
2.54000000 2.42701000 3.89583000
2.58000000 2.30264000 4.47500000
2.62000000 4.06414000 5.52917000
2.66000000 2.68050000 6.24583000
2.70000000 2.42016000 6.91250000
2.74000000 2.43814000 7.60417000
2.78000000 2.24007000 8.25833000
2.82000000 1.01222000 8.56250000
2.86000000 1.19980000 8.93333000
2.90000000 1.83563000 9.51667000
2.94000000 1.72223000 10.07920000
2.98000000 1.39072000 10.54580000
3.02000000 0.97931900 10.88330000
3.06000000 1.38961000 11.37500000
3.10000000 0.65404100 11.61250000
3.14000000 0.46972500 11.78750000
3.18000000 0.47979100 11.97080000
3.22000000 0.46794500 12.15420000
3.26000000 0.48766000 12.35000000
3.30000000 0.45565800 12.53750000
3.34000000 0.52388700 12.75830000
3.38000000 0.30886700 12.89170000
3.42000000 0.65050600 13.17920000
3.46000000 0.26711600 13.30000000
3.50000000 0.47708400 13.52080000
3.54000000 0.19358500 13.61250000
3.58000000 0.21509400 13.71670000
3.62000000 0.42073400 13.92500000
3.66000000 0.45274700 14.15420000
3.70000000 0.41884700 14.37080000
3.74000000 0.37051900 14.56670000
3.78000000 0.64054600 14.91250000
3.82000000 0.75566400 15.32920000
3.86000000 0.44405000 15.57920000
3.90000000 0.88447700 16.08750000
3.94000000 0.76716200 16.53750000
3.98000000 0.70309000 16.95830000
4.02000000 0.77787300 17.43330000
4.06000000 1.12386000 18.13330000
4.10000000 0.91180800 18.71250000
4.14000000 1.04225000 19.38750000
4.18000000 0.88355100 19.97080000
4.22000000 1.10218000 20.71250000
4.26000000 0.92967000 21.35000000
4.30000000 1.07348000 22.10000000
4.34000000 1.14159000 22.91250000
4.38000000 1.06911000 23.68750000
4.42000000 1.56912000 24.84580000
4.46000000 1.33045000 25.84580000
4.50000000 1.50838000 27.00000000
4.54000000 1.36422000 28.06250000
4.58000000 1.56654000 29.30420000
4.62000000 1.19856000 30.27080000
4.66000000 1.09683000 31.17080000
4.70000000 1.05328000 32.05000000
4.74000000 1.34478000 33.19170000
4.78000000 1.11967000 34.15830000
4.82000000 1.40968000 35.39580000
4.86000000 0.81700100 36.12500000
4.90000000 1.38699000 37.38330000
4.94000000 1.33750000 38.61670000
4.98000000 1.08045000 39.62920000
5.02000000 1.19020000 40.76250000
5.06000000 1.21452000 41.93750000
5.10000000 1.12347000 43.04170000
5.14000000 1.31892000 44.35830000
5.18000000 1.03562000 45.40830000
5.22000000 0.89435200 46.32920000
5.26000000 1.06414000 47.44170000
5.30000000 1.16983000 48.68330000
5.34000000 1.04023000 49.80420000
5.38000000 0.96766900 50.86250000
5.42000000 0.84458100 51.80000000
5.46000000 1.01350000 52.94170000
5.50000000 0.90767800 53.97920000
5.54000000 1.37965000 55.57920000
5.58000000 0.91017000 56.65000000
5.62000000 0.89027700 57.71250000
5.66000000 0.80545400 58.68750000
5.70000000 0.72631000 59.57920000
5.74000000 0.79319900 60.56670000
5.78000000 0.68653900 61.43330000
5.82000000 0.80084200 62.45830000
5.86000000 1.02115000 63.78330000
5.90000000 0.45615900 64.38330000
5.94000000 0.68443000 65.29580000
5.98000000 0.67530500 66.20830000
6.02000000 0.86718100 67.39580000
6.06000000 0.77169500 68.46670000
6.10000000 0.81791400 69.61670000
6.14000000 0.76049200 70.70000000
6.18000000 0.91525100 72.02080000
6.22000000 0.98047300 73.45420000
6.26000000 0.80196300 74.64170000
6.30000000 1.03908000 76.20000000
6.34000000 0.94096600 77.62920000
6.38000000 0.92378600 79.05000000
6.42000000 1.03270000 80.65830000
6.46000000 1.10451000 82.40000000
6.50000000 1.15099000 84.23750000
6.54000000 0.96421600 85.79580000
6.58000000 1.15628000 87.68750000
6.62000000 1.13731000 89.57080000
6.66000000 1.40959000 91.93330000
6.70000000 0.99240800 93.61670000
6.74000000 1.13359000 95.56250000
6.78000000 1.06268000 97.40830000
6.82000000 1.05736000 99.26670000
6.86000000 1.02164000 101.08300000
6.90000000 1.12795000 103.11200000
6.94000000 0.93411300 104.81200000
6.98000000 1.05245000 106.75000000
7.02000000 1.11209000 108.82100000
