# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.17726400 0.03333330
2.26000000 0.17104500 0.06666670
2.30000000 0.16514800 0.10000000
2.34000000 1.59550000 0.43333300
2.38000000 1.54232000 0.76666700
2.42000000 2.53599000 1.33333000
2.46000000 2.74292000 1.96667000
2.50000000 4.89236000 3.13333000
2.54000000 4.73948000 4.30000000
2.58000000 4.46242000 5.43333000
2.62000000 3.43631000 6.33333000
2.66000000 3.08680000 7.16667000
2.70000000 2.39681000 7.83333000
2.74000000 2.21098000 8.46667000
2.78000000 1.46955000 8.90000000
2.82000000 1.97745000 9.50000000
2.86000000 0.53403600 9.66667000
2.90000000 1.03881000 10.00000000
2.94000000 1.01074000 10.33330000
2.98000000 1.47568000 10.83330000
3.02000000 0.38315900 10.96670000
3.06000000 0.65311300 11.20000000
3.10000000 0.90909600 11.53330000
3.14000000 0.70886600 11.80000000
3.18000000 0.86393200 12.13330000
3.22000000 0.42130100 12.30000000
3.26000000 0.57543600 12.53330000
3.30000000 0.48134600 12.73330000
3.34000000 0.39157200 12.90000000
3.38000000 0.38235900 13.06670000
3.42000000 0.07469340 13.10000000
3.46000000 0.21892900 13.20000000
3.50000000 0.64186100 13.50000000
3.54000000 0.69715300 13.83330000
3.58000000 0.54532900 14.10000000
3.62000000 0.40000800 14.30000000
3.66000000 0.45653200 14.53330000
3.70000000 0.25526500 14.66670000
3.74000000 0.43721000 14.90000000
3.78000000 0.36686200 15.10000000
3.82000000 0.17961000 15.20000000
3.86000000 0.29317800 15.36670000
3.90000000 0.57438900 15.70000000
3.94000000 0.84417900 16.20000000
3.98000000 0.38607100 16.43330000
4.02000000 0.75685300 16.90000000
4.06000000 1.00702000 17.53330000
4.10000000 0.98746500 18.16670000
4.14000000 1.22334000 18.96670000
4.18000000 0.95002900 19.60000000
4.22000000 1.37363000 20.53330000
4.26000000 1.34795000 21.46670000
4.30000000 1.41749000 22.46670000
4.34000000 1.53063000 23.56670000
4.38000000 1.36618000 24.56670000
4.42000000 1.25213000 25.50000000
4.46000000 1.01017000 26.26670000
4.50000000 1.51001000 27.43330000
4.54000000 1.78022000 28.83330000
4.58000000 1.45772000 30.00000000
4.62000000 1.39165000 31.13330000
4.66000000 1.72995000 32.56670000
4.70000000 1.18648000 33.56670000
4.74000000 1.43874000 34.80000000
4.78000000 1.30005000 35.93330000
4.82000000 1.20335000 37.00000000
4.86000000 0.62880100 37.56670000
4.90000000 1.20077000 38.66670000
4.94000000 0.96660000 39.56670000
4.98000000 1.19773000 40.70000000
5.02000000 0.83203400 41.50000000
5.06000000 1.09191000 42.56670000
5.10000000 1.24279000 43.80000000
5.14000000 1.02512000 44.83330000
5.18000000 1.30238000 46.16670000
5.22000000 1.15425000 47.36670000
5.26000000 1.04203000 48.46670000
5.30000000 1.33738000 49.90000000
5.34000000 0.94976600 50.93330000
5.38000000 0.84514400 51.86670000
5.42000000 0.86245600 52.83330000
5.46000000 0.79125400 53.73330000
5.50000000 0.77978700 54.63330000
5.54000000 0.71163600 55.46670000
5.58000000 0.89788200 56.53330000
5.62000000 0.82982400 57.53330000
5.66000000 0.84540800 58.56670000
5.70000000 1.04870000 59.86670000
5.74000000 0.82200700 60.90000000
5.78000000 0.91527200 62.06670000
5.82000000 0.74797900 63.03330000
5.86000000 0.83956900 64.13330000
5.90000000 1.10430000 65.60000000
5.94000000 0.89138900 66.80000000
5.98000000 0.78178100 67.86670000
6.02000000 0.89196200 69.10000000
6.06000000 0.73748700 70.13330000
6.10000000 0.56349400 70.93330000
6.14000000 0.83426400 72.13330000
6.18000000 0.70912500 73.16670000
6.22000000 0.92585100 74.53330000
6.26000000 0.69111600 75.56670000
6.30000000 0.66035600 76.56670000
6.34000000 1.06501000 78.20000000
6.38000000 0.81560500 79.46670000
6.42000000 0.69949000 80.56670000
6.46000000 1.17236000 82.43330000
6.50000000 1.15798000 84.30000000
6.54000000 0.79661200 85.60000000
6.58000000 1.19052000 87.56670000
6.62000000 1.03663000 89.30000000
6.66000000 1.24088000 91.40000000
6.70000000 1.30396000 93.63330000
6.74000000 1.44238000 96.13330000
6.78000000 1.19734000 98.23330000
6.82000000 1.14577000 100.26700000
6.86000000 1.39236000 102.76700000
6.90000000 1.13771000 104.83300000
6.94000000 1.05208000 106.76700000
6.98000000 1.23730000 109.06700000
7.02000000 1.24097000 111.40000000
