# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.41533000 0.06557380
2.34000000 0.00000000 0.06557380
2.38000000 0.58181800 0.16393400
2.42000000 1.33652000 0.39754100
2.46000000 2.11029000 0.77868900
2.50000000 1.45009000 1.04918000
2.54000000 0.85138000 1.21311000
2.58000000 1.81541000 1.57377000
2.62000000 2.90066000 2.16803000
2.66000000 2.30949000 2.65574000
2.70000000 1.75181000 3.03689000
2.74000000 3.03626000 3.71721000
2.78000000 3.25158000 4.46721000
2.82000000 3.55714000 5.31148000
2.86000000 2.92112000 6.02459000
2.90000000 1.87774000 6.49590000
2.94000000 2.66900000 7.18443000
2.98000000 2.07208000 7.73361000
3.02000000 2.16811000 8.32377000
3.06000000 0.68926900 8.51639000
3.10000000 1.10027000 8.83197000
3.14000000 1.33704000 9.22541000
3.18000000 1.64310000 9.72131000
3.22000000 1.09926000 10.06150000
3.26000000 1.58929000 10.56560000
3.30000000 1.03400000 10.90160000
3.34000000 1.23095000 11.31150000
3.38000000 0.96159300 11.63930000
3.42000000 0.69268300 11.88110000
3.46000000 0.90617000 12.20490000
3.50000000 0.85194700 12.51640000
3.54000000 0.52598100 12.71310000
3.58000000 0.38572000 12.86070000
3.62000000 0.33532700 12.99180000
3.66000000 0.66632600 13.25820000
3.70000000 0.45138200 13.44260000
3.74000000 0.54976900 13.67210000
3.78000000 0.28831900 13.79510000
3.82000000 0.38582700 13.96310000
3.86000000 0.70966300 14.27870000
3.90000000 0.27987800 14.40570000
3.94000000 0.82267200 14.78690000
3.98000000 0.62416900 15.08200000
4.02000000 0.24642400 15.20080000
4.06000000 0.54149900 15.46720000
4.10000000 0.47380200 15.70490000
4.14000000 0.20831000 15.81150000
4.18000000 0.49513600 16.06970000
4.22000000 0.71712500 16.45080000
4.26000000 0.40861200 16.67210000
4.30000000 0.37133800 16.87700000
4.34000000 0.83840700 17.34840000
4.38000000 0.73011100 17.76640000
4.42000000 1.01217000 18.35660000
4.46000000 0.80770600 18.83610000
4.50000000 0.81375400 19.32790000
4.54000000 1.09262000 20.00000000
4.58000000 0.98196800 20.61480000
4.62000000 1.32532000 21.45900000
4.66000000 1.46708000 22.40980000
4.70000000 0.88895000 22.99590000
4.74000000 1.25295000 23.83610000
4.78000000 1.43040000 24.81150000
4.82000000 0.99891800 25.50410000
4.86000000 1.42440000 26.50820000
4.90000000 1.28685000 27.43030000
4.94000000 1.43491000 28.47540000
4.98000000 1.61128000 29.66800000
5.02000000 1.62385000 30.88930000
5.06000000 1.43202000 31.98360000
5.10000000 1.25653000 32.95900000
5.14000000 1.09672000 33.82380000
5.18000000 0.93142900 34.56970000
5.22000000 1.21959000 35.56150000
5.26000000 1.01747000 36.40160000
5.30000000 1.54480000 37.69670000
5.34000000 1.13168000 38.65980000
5.38000000 1.18133000 39.68030000
5.42000000 1.39301000 40.90160000
5.46000000 1.29898000 42.05740000
5.50000000 1.29831000 43.22950000
5.54000000 1.16777000 44.29920000
5.58000000 1.04965000 45.27460000
5.62000000 1.26520000 46.46720000
5.66000000 0.91302900 47.34020000
5.70000000 0.99324500 48.30330000
5.74000000 1.10449000 49.38930000
5.78000000 1.04815000 50.43440000
5.82000000 0.70135600 51.14340000
5.86000000 0.98773400 52.15570000
5.90000000 0.79292200 52.97950000
5.94000000 1.21428000 54.25820000
5.98000000 1.03297000 55.36070000
6.02000000 0.86393300 56.29510000
6.06000000 0.88995900 57.27050000
6.10000000 0.78975500 58.14750000
6.14000000 0.97983700 59.25000000
6.18000000 0.84135100 60.20900000
6.22000000 0.68148900 60.99590000
6.26000000 0.70084100 61.81560000
6.30000000 0.95837800 62.95080000
6.34000000 0.92582600 64.06150000
6.38000000 0.80629700 65.04100000
6.42000000 0.80960800 66.03690000
6.46000000 0.69431400 66.90160000
6.50000000 0.87105700 68.00000000
6.54000000 0.99527900 69.27050000
6.58000000 0.94832700 70.49590000
6.62000000 0.52955300 71.18850000
6.66000000 0.73683000 72.16390000
6.70000000 0.95137000 73.43850000
6.74000000 0.94011100 74.71310000
6.78000000 0.91710200 75.97130000
6.82000000 0.70856700 76.95490000
6.86000000 0.79954100 78.07790000
6.90000000 1.11046000 79.65570000
6.94000000 1.08058000 81.20900000
6.98000000 0.97804100 82.63110000
7.02000000 1.06167000 84.19260000
