# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.35802200 0.06349210
2.22000000 0.34523700 0.12698400
2.26000000 1.16594000 0.34920600
2.30000000 0.64327700 0.47619000
2.34000000 1.08758000 0.69841300
2.38000000 1.95247000 1.11111000
2.42000000 2.46952000 1.65079000
2.46000000 2.38987000 2.19048000
2.50000000 2.31401000 2.73016000
2.54000000 3.16475000 3.49206000
2.58000000 2.55615000 4.12698000
2.62000000 3.84198000 5.11111000
2.66000000 3.12613000 5.93651000
2.70000000 3.38429000 6.85714000
2.74000000 2.60630000 7.58730000
2.78000000 2.53184000 8.31746000
2.82000000 2.24656000 8.98413000
2.86000000 1.87214000 9.55556000
2.90000000 0.91042600 9.84127000
2.94000000 1.37794000 10.28570000
2.98000000 0.76640100 10.53970000
3.02000000 0.74623300 10.79370000
3.06000000 1.09028000 11.17460000
3.10000000 1.15085000 11.58730000
3.14000000 0.43142900 11.74600000
3.18000000 0.84128800 12.06350000
3.22000000 0.41025800 12.22220000
3.26000000 0.40025300 12.38100000
3.30000000 0.15624300 12.44440000
3.34000000 0.53383200 12.66670000
3.38000000 0.59574000 12.92060000
3.42000000 0.36367900 13.07940000
3.46000000 0.49744600 13.30160000
3.50000000 0.20834600 13.39680000
3.54000000 0.61099300 13.68250000
3.58000000 0.19913900 13.77780000
3.62000000 0.32460400 13.93650000
3.66000000 0.31754700 14.09520000
3.70000000 0.31071900 14.25400000
3.74000000 0.42575100 14.47620000
3.78000000 0.65495300 14.82540000
3.82000000 0.46640600 15.07940000
3.86000000 0.57098700 15.39680000
3.90000000 0.61526800 15.74600000
3.94000000 0.76725000 16.19050000
3.98000000 0.91302800 16.73020000
4.02000000 0.73701700 17.17460000
4.06000000 0.87740100 17.71430000
4.10000000 0.80975500 18.22220000
4.14000000 0.59563800 18.60320000
4.18000000 1.36335000 19.49210000
4.22000000 1.19431000 20.28570000
4.26000000 0.93758900 20.92060000
4.30000000 1.24231000 21.77780000
4.34000000 1.35501000 22.73020000
4.38000000 1.41907000 23.74600000
4.42000000 1.43705000 24.79370000
4.46000000 1.11200000 25.61900000
4.50000000 1.13433000 26.47620000
4.54000000 1.32081000 27.49210000
4.58000000 1.13561000 28.38100000
4.62000000 1.71390000 29.74600000
4.66000000 0.94024600 30.50790000
4.70000000 1.19390000 31.49210000
4.74000000 1.24957000 32.53970000
4.78000000 1.15427000 33.52380000
4.82000000 1.66617000 34.96830000
4.86000000 1.17061000 36.00000000
4.90000000 1.48819000 37.33330000
4.94000000 1.35961000 38.57140000
4.98000000 0.99481400 39.49210000
5.02000000 1.55293000 40.95240000
5.06000000 1.11313000 42.01590000
5.10000000 1.42283000 43.39680000
5.14000000 1.51347000 44.88890000
5.18000000 1.14142000 46.03170000
5.22000000 0.96788400 47.01590000
5.26000000 0.86097300 47.90480000
5.30000000 0.90859900 48.85710000
5.34000000 1.34256000 50.28570000
5.38000000 0.94056400 51.30160000
5.42000000 0.72401000 52.09520000
5.46000000 0.91320400 53.11110000
5.50000000 0.70310100 53.90480000
5.54000000 0.74842300 54.76190000
5.58000000 0.65576100 55.52380000
5.62000000 0.70033200 56.34920000
5.66000000 0.92947600 57.46030000
5.70000000 0.89029200 58.53970000
5.74000000 0.69717700 59.39680000
5.78000000 0.50930400 60.03170000
5.82000000 0.75349200 60.98410000
5.86000000 0.96621200 62.22220000
5.90000000 0.63543700 63.04760000
5.94000000 0.96447400 64.31750000
5.98000000 0.90403300 65.52380000
6.02000000 0.72773300 66.50790000
6.06000000 0.64865800 67.39680000
6.10000000 0.89167800 68.63490000
6.14000000 0.81239900 69.77780000
6.18000000 0.82419200 70.95240000
6.22000000 0.87959500 72.22220000
6.26000000 0.99864800 73.68250000
6.30000000 1.11462000 75.33330000
6.34000000 1.14293000 77.04760000
6.38000000 0.89873300 78.41270000
6.42000000 1.19719000 80.25400000
6.46000000 1.20279000 82.12700000
6.50000000 1.08735000 83.84130000
6.54000000 1.03431000 85.49210000
6.58000000 1.00213000 87.11110000
6.62000000 1.12594000 88.95240000
6.66000000 1.24672000 91.01590000
6.70000000 0.90969400 92.53970000
6.74000000 1.04875000 94.31750000
6.78000000 0.94387500 95.93650000
6.82000000 1.22549000 98.06350000
6.86000000 1.03046000 99.87300000
6.90000000 1.05428000 101.74600000
6.94000000 1.11282000 103.74600000
6.98000000 1.16995000 105.87300000
7.02000000 0.91496700 107.55600000
