# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.19372300 0.03174600
2.18000000 0.00000000 0.03174600
2.22000000 0.00000000 0.03174600
2.26000000 0.17369800 0.06349210
2.30000000 0.50312600 0.15873000
2.34000000 0.81012100 0.31746000
2.38000000 1.25299000 0.57142900
2.42000000 0.90893500 0.76190500
2.46000000 1.61263000 1.11111000
2.50000000 3.69068000 1.93651000
2.54000000 3.57535000 2.76190000
2.58000000 3.99848000 3.71429000
2.62000000 2.45564000 4.31746000
2.66000000 3.00927000 5.07937000
2.70000000 4.01606000 6.12698000
2.74000000 2.71795000 6.85714000
2.78000000 2.86989000 7.65079000
2.82000000 2.11968000 8.25397000
2.86000000 1.95234000 8.82540000
2.90000000 1.58238000 9.30159000
2.94000000 2.05282000 9.93651000
2.98000000 1.09894000 10.28570000
3.02000000 1.45913000 10.76190000
3.06000000 0.66324000 10.98410000
3.10000000 1.01551000 11.33330000
3.14000000 1.16977000 11.74600000
3.18000000 0.78959500 12.03170000
3.22000000 0.42783300 12.19050000
3.26000000 0.41739900 12.34920000
3.30000000 0.65174700 12.60320000
3.34000000 0.39764300 12.76190000
3.38000000 0.54360300 12.98410000
3.42000000 0.15170300 13.04760000
3.46000000 0.14821600 13.11110000
3.50000000 0.36211900 13.26980000
3.54000000 0.14159300 13.33330000
3.58000000 0.06922320 13.36510000
3.62000000 0.13540400 13.42860000
3.66000000 0.39738100 13.61900000
3.70000000 0.45364100 13.84130000
3.74000000 0.31713500 14.00000000
3.78000000 0.37255100 14.19050000
3.82000000 0.54718400 14.47620000
3.86000000 0.59544700 14.79370000
3.90000000 0.58329600 15.11110000
3.94000000 0.40005900 15.33330000
3.98000000 0.56008300 15.65080000
4.02000000 0.65879100 16.03170000
4.06000000 0.43058200 16.28570000
4.10000000 0.89722200 16.82540000
4.14000000 0.93173100 17.39680000
4.18000000 1.16787000 18.12700000
4.22000000 0.89674000 18.69840000
4.26000000 1.12442000 19.42860000
4.30000000 1.43947000 20.38100000
4.34000000 1.17755000 21.17460000
4.38000000 1.20239000 22.00000000
4.42000000 1.54402000 23.07940000
4.46000000 1.33804000 24.03170000
4.50000000 1.27055000 24.95240000
4.54000000 1.50652000 26.06350000
4.58000000 1.22655000 26.98410000
4.62000000 1.45480000 28.09520000
4.66000000 1.22566000 29.04760000
4.70000000 1.24505000 30.03170000
4.74000000 1.22412000 31.01590000
4.78000000 1.47553000 32.22220000
4.82000000 1.26020000 33.26980000
4.86000000 0.97660800 34.09520000
4.90000000 1.03463000 34.98410000
4.94000000 1.34514000 36.15870000
4.98000000 1.46671000 37.46030000
5.02000000 0.98575800 38.34920000
5.06000000 1.28210000 39.52380000
5.10000000 1.39850000 40.82540000
5.14000000 1.14175000 41.90480000
5.18000000 1.42177000 43.26980000
5.22000000 1.33494000 44.57140000
5.26000000 1.18645000 45.74600000
5.30000000 1.04227000 46.79370000
5.34000000 1.18228000 48.00000000
5.38000000 1.04216000 49.07940000
5.42000000 1.32884000 50.47620000
5.46000000 0.83328300 51.36510000
5.50000000 0.73322100 52.15870000
5.54000000 0.78048500 53.01590000
5.58000000 0.94029800 54.06350000
5.62000000 0.75842300 54.92060000
5.66000000 0.83082300 55.87300000
5.70000000 1.11958000 57.17460000
5.74000000 0.61933300 57.90480000
5.78000000 0.84979600 58.92060000
5.82000000 0.81196300 59.90480000
5.86000000 0.49088400 60.50790000
5.90000000 0.68814500 61.36510000
5.94000000 0.67890800 62.22220000
5.98000000 0.62023700 63.01590000
6.02000000 0.39169400 63.52380000
6.06000000 0.50733500 64.19050000
6.10000000 0.88219100 65.36510000
6.14000000 0.70600000 66.31750000
6.18000000 0.76658000 67.36510000
6.22000000 0.68795600 68.31750000
6.26000000 1.08671000 69.84130000
6.30000000 1.02825000 71.30160000
6.34000000 0.99324100 72.73020000
6.38000000 0.87184500 74.00000000
6.42000000 1.27000000 75.87300000
6.46000000 0.91416400 77.23810000
6.50000000 1.09194000 78.88890000
6.54000000 1.30679000 80.88890000
6.58000000 0.96309000 82.38100000
6.62000000 1.43735000 84.63490000
6.66000000 0.90008700 86.06350000
6.70000000 1.18583000 87.96830000
6.74000000 1.30851000 90.09520000
6.78000000 0.84920800 91.49210000
6.82000000 1.10632000 93.33330000
6.86000000 1.31969000 95.55560000
6.90000000 1.04354000 97.33330000
6.94000000 1.06839000 99.17460000
6.98000000 1.00155000 100.92100000
7.02000000 1.09819000 102.85700000
