step time_ps strain stress_z_GPa stress_x_GPa stress_y_GPa temp_K lx_A ly_A lz_A
1000 1 -1.48582980969562e-15 0.464267773741145 -0.551622116211837 -0.232565346914022 1021.45165280326 35.9891210902896 16.4341158370986 31.0838277190494
2000 2 0.0499999999999983 5.74055145971045 4.15939364195883 4.28330306069868 954.958546468683 42.4169794836054 21.7087864592709 32.6380191050018
3000 3 0.0999999999999984 4.17089957819651 1.40631604367136 1.50856404587924 1029.42419655631 34.7412222081373 17.8211667577636 34.1922104909543
4000 4 0.149999999999998 2.784739490613 0.829260015286233 0.55321818886236 975.349673321296 32.0642332806738 16.7378427148501 35.7464018769068
5000 5 0.199999999999998 2.73326861536625 0.493308251599731 0.196252660630174 997.607165456555 30.9022686717334 16.1692354042818 37.3005932628592
6000 6 0.249999999999998 2.77804834205855 -0.307301263676661 -0.182505952528198 1020.40406336246 29.9752114089643 15.9630643285708 38.8547846488117
7000 7 0.299999999999998 3.35779044269961 0.0543065114555142 0.0444839512535063 993.027551497997 29.5372472331108 15.4913808342287 40.4089760347642
8000 8 0.349999999999998 3.43493393741364 0.537368169176001 0.712075040500578 1003.44243720939 29.3117378598513 15.1180077620358 41.9631674207166
9000 9 0.399999999999998 1.94583841773013 -0.0347279633172557 -0.405671078894604 1368.97711883761 28.6403909451341 14.8919422979158 43.5173588066691
10000 10 0.449999999999998 1.92608879026605 0.0795095121229455 -0.157865373233351 926.780047709589 27.9905830575081 14.6167492414025 45.0715501926216
11000 11 0.499999999999998 2.63881934147212 -0.290562281911295 -0.22331538679999 1042.6828133795 27.4862536792179 14.4414910579614 46.625741578574
