# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.19504100 0.03278690
2.38000000 0.94270200 0.19672100
2.42000000 0.91179700 0.36065600
2.46000000 1.05886000 0.55737700
2.50000000 1.53788000 0.85245900
2.54000000 2.15197000 1.27869000
2.58000000 1.92531000 1.67213000
2.62000000 2.95605000 2.29508000
2.66000000 1.96219000 2.72131000
2.70000000 3.51596000 3.50820000
2.74000000 4.12532000 4.45902000
2.78000000 3.04014000 5.18033000
2.82000000 3.89458000 6.13115000
2.86000000 2.87245000 6.85246000
2.90000000 2.41279000 7.47541000
2.94000000 2.59470000 8.16393000
2.98000000 1.80393000 8.65574000
3.02000000 2.10776000 9.24590000
3.06000000 1.02651000 9.54098000
3.10000000 1.11132000 9.86885000
3.14000000 1.62478000 10.36070000
3.18000000 0.73927600 10.59020000
3.22000000 0.61802000 10.78690000
3.26000000 0.70343800 11.01640000
3.30000000 1.47105000 11.50820000
3.34000000 0.67014500 11.73770000
3.38000000 0.56089500 11.93440000
3.42000000 0.63916000 12.16390000
3.46000000 0.44604800 12.32790000
3.50000000 0.17436400 12.39340000
3.54000000 0.51133900 12.59020000
3.58000000 0.49997600 12.78690000
3.62000000 0.16299600 12.85250000
3.66000000 0.15945300 12.91800000
3.70000000 0.31204800 13.04920000
3.74000000 0.45811300 13.24590000
3.78000000 0.37372400 13.40980000
3.82000000 0.21956300 13.50820000
3.86000000 0.21503600 13.60660000
3.90000000 0.56172700 13.86890000
3.94000000 0.61917700 14.16390000
3.98000000 0.33710800 14.32790000
4.02000000 0.46260600 14.55740000
4.06000000 0.45353500 14.78690000
4.10000000 0.76239300 15.18030000
4.14000000 0.62311000 15.50820000
4.18000000 0.48899300 15.77050000
4.22000000 0.89956300 16.26230000
4.26000000 1.29470000 16.98360000
4.30000000 0.51984200 17.27870000
4.34000000 0.79380600 17.73770000
4.38000000 1.28040000 18.49180000
4.42000000 1.25733000 19.24590000
4.46000000 0.80535500 19.73770000
4.50000000 1.37124000 20.59020000
4.54000000 1.08811000 21.27870000
4.58000000 1.52741000 22.26230000
4.62000000 1.60115000 23.31150000
4.66000000 1.42624000 24.26230000
4.70000000 1.30537000 25.14750000
4.74000000 0.80808700 25.70490000
4.78000000 1.30879000 26.62300000
4.82000000 1.33312000 27.57380000
4.86000000 1.67300000 28.78690000
4.90000000 1.06754000 29.57380000
4.94000000 1.40043000 30.62300000
4.98000000 1.59334000 31.83610000
5.02000000 1.35615000 32.88520000
5.06000000 1.12624000 33.77050000
5.10000000 1.23182000 34.75410000
5.14000000 1.37442000 35.86890000
5.18000000 0.91545000 36.62300000
5.22000000 1.33261000 37.73770000
5.26000000 1.19662000 38.75410000
5.30000000 0.83644500 39.47540000
5.34000000 1.23594000 40.55740000
5.38000000 0.99624400 41.44260000
5.42000000 0.98159400 42.32790000
5.46000000 1.03891000 43.27870000
5.50000000 1.12977000 44.32790000
5.54000000 1.04392000 45.31150000
5.58000000 0.99471000 46.26230000
5.62000000 0.94678700 47.18030000
5.66000000 0.96679000 48.13110000
5.70000000 0.95326800 49.08200000
5.74000000 1.10210000 50.19670000
5.78000000 0.63935400 50.85250000
5.82000000 0.88283400 51.77050000
5.86000000 0.96412500 52.78690000
5.90000000 0.98177700 53.83610000
5.94000000 0.63564300 54.52460000
5.98000000 0.71676400 55.31150000
6.02000000 0.76620900 56.16390000
6.06000000 0.78521000 57.04920000
6.10000000 0.77494600 57.93440000
6.14000000 1.16149000 59.27870000
6.18000000 0.78297600 60.19670000
6.22000000 0.88335700 61.24590000
6.26000000 1.11738000 62.59020000
6.30000000 0.75343200 63.50820000
6.34000000 0.90337400 64.62300000
6.38000000 1.10198000 66.00000000
6.42000000 0.77735300 66.98360000
6.46000000 1.17723000 68.49180000
6.50000000 0.78361400 69.50820000
6.54000000 1.04872000 70.88520000
6.58000000 0.78934300 71.93440000
6.62000000 0.99916000 73.27870000
6.66000000 0.91496100 74.52460000
6.70000000 0.78511200 75.60660000
6.74000000 1.08145000 77.11480000
6.78000000 0.90609300 78.39340000
6.82000000 1.12511000 80.00000000
6.86000000 0.79430500 81.14750000
6.90000000 1.09917000 82.75410000
6.94000000 0.99784000 84.22950000
6.98000000 1.07412000 85.83610000
7.02000000 0.88854000 87.18030000
