# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.17248200 0.03278690
2.30000000 0.49960600 0.13114800
2.34000000 0.16089100 0.16393400
2.38000000 1.55528000 0.49180300
2.42000000 1.80515000 0.88524600
2.46000000 3.93058000 1.77049000
2.50000000 4.51060000 2.81967000
2.54000000 4.09655000 3.80328000
2.58000000 4.23521000 4.85246000
2.62000000 2.56680000 5.50820000
2.66000000 4.10881000 6.59016000
2.70000000 1.32932000 6.95082000
2.74000000 1.87752000 7.47541000
2.78000000 2.05186000 8.06557000
2.82000000 2.65876000 8.85246000
2.86000000 1.72327000 9.37705000
2.90000000 1.67606000 9.90164000
2.94000000 1.83461000 10.49180000
2.98000000 1.28967000 10.91800000
3.02000000 1.06254000 11.27870000
3.06000000 0.47042900 11.44260000
3.10000000 0.55004100 11.63930000
3.14000000 0.98288000 12.00000000
3.18000000 0.43559500 12.16390000
3.22000000 0.42484000 12.32790000
3.26000000 0.66316600 12.59020000
3.30000000 0.56628900 12.81970000
3.34000000 0.00000000 12.81970000
3.38000000 0.38557100 12.98360000
3.42000000 0.30128400 13.11480000
3.46000000 0.14717900 13.18030000
3.50000000 0.35958600 13.34430000
3.54000000 0.56240900 13.60660000
3.58000000 0.61865000 13.90160000
3.62000000 0.60505400 14.19670000
3.66000000 0.19730000 14.29510000
3.70000000 0.19305800 14.39340000
3.74000000 0.31491700 14.55740000
3.78000000 0.30828700 14.72130000
3.82000000 0.42261100 14.95080000
3.86000000 0.47302600 15.21310000
3.90000000 0.46337200 15.47540000
3.94000000 0.34050900 15.67210000
3.98000000 0.33369900 15.86890000
4.02000000 0.65418200 16.26230000
4.06000000 1.01548000 16.88520000
4.10000000 1.04817000 17.54100000
4.14000000 0.97661300 18.16390000
4.18000000 1.31096000 19.01640000
4.22000000 0.84099600 19.57380000
4.26000000 1.45637000 20.55740000
4.30000000 1.23881000 21.40980000
4.34000000 1.16931000 22.22950000
4.38000000 1.37766000 23.21310000
4.42000000 1.84888000 24.55740000
4.46000000 1.37297000 25.57380000
4.50000000 1.56620000 26.75410000
4.54000000 1.49598000 27.90160000
4.58000000 1.00798000 28.68850000
4.62000000 1.52717000 29.90160000
4.66000000 1.13594000 30.81970000
4.70000000 1.55539000 32.09840000
4.74000000 1.21556000 33.11480000
4.78000000 1.19530000 34.13110000
4.82000000 0.91009700 34.91800000
4.86000000 1.45466000 36.19670000
4.90000000 1.57778000 37.60660000
4.94000000 1.29963000 38.78690000
4.98000000 1.20779000 39.90160000
5.02000000 1.39837000 41.21310000
5.06000000 1.37635000 42.52460000
5.10000000 1.25323000 43.73770000
5.14000000 1.16711000 44.88520000
5.18000000 1.24766000 46.13110000
5.22000000 0.96995400 47.11480000
5.26000000 0.89157400 48.03280000
5.30000000 0.68998900 48.75410000
5.34000000 0.80327100 49.60660000
5.38000000 0.85224500 50.52460000
5.42000000 1.07963000 51.70490000
5.46000000 1.12297000 52.95080000
5.50000000 0.99020400 54.06560000
5.54000000 1.11948000 55.34430000
5.58000000 0.96201500 56.45900000
5.62000000 0.66943700 57.24590000
5.66000000 0.60500800 57.96720000
5.70000000 0.84058800 58.98360000
5.74000000 1.01609000 60.22950000
5.78000000 0.68562900 61.08200000
5.82000000 0.59820900 61.83610000
5.86000000 0.59007100 62.59020000
5.90000000 0.70864000 63.50820000
5.94000000 0.69912800 64.42620000
5.98000000 0.81298600 65.50820000
6.02000000 0.82652800 66.62300000
6.06000000 0.81565300 67.73770000
6.10000000 0.71028600 68.72130000
6.14000000 0.67769300 69.67210000
6.18000000 0.76121700 70.75410000
6.22000000 0.52374400 71.50820000
6.26000000 0.71940400 72.55740000
6.30000000 0.79908500 73.73770000
6.34000000 0.85478700 75.01640000
6.38000000 0.95232000 76.45900000
6.42000000 1.30386000 78.45900000
6.46000000 0.97110100 79.96720000
6.50000000 0.91748200 81.40980000
6.54000000 1.02988000 83.04920000
6.58000000 1.11914000 84.85250000
6.62000000 1.46750000 87.24590000
6.66000000 1.29103000 89.37700000
6.70000000 1.35416000 91.63930000
6.74000000 0.96966600 93.27870000
6.78000000 1.36073000 95.60660000
6.82000000 0.98493300 97.31150000
6.86000000 1.17941000 99.37700000
6.90000000 0.85120000 100.88500000
6.94000000 1.11579000 102.88500000
6.98000000 1.21153000 105.08200000
7.02000000 2.12738000 108.98400000
