# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.18875500 0.03278690
2.22000000 0.91007400 0.19672100
2.26000000 0.17562900 0.22950800
2.30000000 0.67829400 0.36065600
2.34000000 0.81912900 0.52459000
2.38000000 2.05875000 0.95082000
2.42000000 1.68491000 1.31148000
2.46000000 2.66819000 1.90164000
2.50000000 3.58819000 2.72131000
2.54000000 3.47607000 3.54098000
2.58000000 2.29100000 4.09836000
2.62000000 3.26703000 4.91803000
2.66000000 2.53561000 5.57377000
2.70000000 2.46104000 6.22951000
2.74000000 3.10663000 7.08197000
2.78000000 2.08930000 7.67213000
2.82000000 2.14325000 8.29508000
2.86000000 1.31603000 8.68852000
2.90000000 1.59997000 9.18033000
2.94000000 2.17943000 9.86885000
2.98000000 1.41421000 10.32790000
3.02000000 1.08192000 10.68850000
3.06000000 1.24543000 11.11480000
3.10000000 1.02680000 11.47540000
3.14000000 0.81884500 11.77050000
3.18000000 0.53225000 11.96720000
3.22000000 0.69214500 12.22950000
3.26000000 0.75967300 12.52460000
3.30000000 0.16474800 12.59020000
3.34000000 0.24123900 12.68850000
3.38000000 0.23556300 12.78690000
3.42000000 0.46017000 12.98360000
3.46000000 0.07493200 13.01640000
3.50000000 0.80552000 13.37700000
3.54000000 0.07158360 13.40980000
3.58000000 0.69992900 13.73770000
3.62000000 0.06845470 13.77050000
3.66000000 0.53573300 14.03280000
3.70000000 0.58973800 14.32790000
3.74000000 0.38479400 14.52460000
3.78000000 0.18834700 14.62300000
3.82000000 0.30737200 14.78690000
3.86000000 0.66227600 15.14750000
3.90000000 0.82569500 15.60660000
3.94000000 0.46229400 15.86890000
3.98000000 0.50968000 16.16390000
4.02000000 0.83264600 16.65570000
4.06000000 0.76189800 17.11480000
4.10000000 0.80046900 17.60660000
4.14000000 1.20378000 18.36070000
4.18000000 0.51341500 18.68850000
4.22000000 1.00746000 19.34430000
4.26000000 1.28521000 20.19670000
4.30000000 1.35845000 21.11480000
4.34000000 1.04777000 21.83610000
4.38000000 1.21576000 22.68850000
4.42000000 0.91834800 23.34430000
4.46000000 1.35292000 24.32790000
4.50000000 1.32898000 25.31150000
4.54000000 1.78441000 26.65570000
4.58000000 1.15466000 27.54100000
4.62000000 1.26084000 28.52460000
4.66000000 1.48714000 29.70490000
4.70000000 1.66498000 31.04920000
4.74000000 0.99817200 31.86890000
4.78000000 1.68824000 33.27870000
4.82000000 1.39005000 34.45900000
4.86000000 1.63312000 35.86890000
4.90000000 1.41976000 37.11480000
4.94000000 0.88222500 37.90160000
4.98000000 1.12131000 38.91800000
5.02000000 1.28150000 40.09840000
5.06000000 1.36643000 41.37700000
5.10000000 0.93120600 42.26230000
5.14000000 0.95072300 43.18030000
5.18000000 0.76893700 43.93440000
5.22000000 1.02057000 44.95080000
5.26000000 1.06995000 46.03280000
5.30000000 1.14967000 47.21310000
5.34000000 1.06959000 48.32790000
5.38000000 0.99176300 49.37700000
5.42000000 0.91610500 50.36070000
5.46000000 0.90273200 51.34430000
5.50000000 1.12689000 52.59020000
5.54000000 0.93530500 53.63930000
5.58000000 0.89313300 54.65570000
5.62000000 0.79525800 55.57380000
5.66000000 0.70005100 56.39340000
5.70000000 0.74548100 57.27870000
5.74000000 0.98017000 58.45900000
5.78000000 0.72498800 59.34430000
5.82000000 0.66209000 60.16390000
5.86000000 0.80982200 61.18030000
5.90000000 0.61848600 61.96720000
5.94000000 0.83900400 63.04920000
5.98000000 0.70239100 63.96720000
6.02000000 1.06438000 65.37700000
6.06000000 0.78167800 66.42620000
6.10000000 0.74735200 67.44260000
6.14000000 0.78523600 68.52460000
6.18000000 1.03347000 69.96720000
6.22000000 0.90428800 71.24590000
6.26000000 0.91566000 72.55740000
6.30000000 0.99447700 74.00000000
6.34000000 0.95965100 75.40980000
6.38000000 0.83746300 76.65570000
6.42000000 1.15353000 78.39340000
6.46000000 1.01031000 79.93440000
6.50000000 0.70066500 81.01640000
6.54000000 1.04867000 82.65570000
6.58000000 1.28459000 84.68850000
6.62000000 1.20770000 86.62300000
6.66000000 1.27413000 88.68850000
6.70000000 1.05913000 90.42620000
6.74000000 1.08609000 92.22950000
6.78000000 1.01477000 93.93440000
6.82000000 0.88718100 95.44260000
6.86000000 1.18186000 97.47540000
6.90000000 0.99862200 99.21310000
6.94000000 1.02439000 101.01600000
6.98000000 0.99427500 102.78700000
7.02000000 1.32884000 105.18000000
