# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.18133900 0.03389830
2.26000000 0.52493200 0.13559300
2.30000000 0.67577700 0.27118600
2.34000000 0.65287200 0.40678000
2.38000000 2.36667000 0.91525400
2.42000000 2.59429000 1.49153000
2.46000000 2.95366000 2.16949000
2.50000000 3.57487000 3.01695000
2.54000000 4.29433000 4.06780000
2.58000000 4.16221000 5.11864000
2.62000000 2.86432000 5.86441000
2.66000000 3.28407000 6.74576000
2.70000000 2.45191000 7.42373000
2.74000000 2.02372000 8.00000000
2.78000000 2.19718000 8.64407000
2.82000000 1.68576000 9.15254000
2.86000000 2.51304000 9.93220000
2.90000000 1.06269000 10.27120000
2.94000000 1.03397000 10.61020000
2.98000000 0.50320000 10.77970000
3.02000000 0.58795100 10.98310000
3.06000000 0.76357400 11.25420000
3.10000000 0.37199800 11.38980000
3.14000000 1.08774000 11.79660000
3.18000000 0.44189600 11.96610000
3.22000000 0.51718300 12.16950000
3.26000000 0.00000000 12.16950000
3.30000000 0.65654900 12.44070000
3.34000000 0.56080300 12.67800000
3.38000000 0.39114800 12.84750000
3.42000000 0.53487300 13.08470000
3.46000000 0.29861600 13.22030000
3.50000000 0.14591500 13.28810000
3.54000000 0.42790800 13.49150000
3.58000000 0.27893300 13.62710000
3.62000000 0.54560500 13.89830000
3.66000000 0.46702700 14.13560000
3.70000000 0.78340000 14.54240000
3.74000000 0.57504900 14.84750000
3.78000000 0.37529600 15.05080000
3.82000000 0.85744700 15.52540000
3.86000000 0.59983500 15.86440000
3.90000000 0.58759400 16.20340000
3.94000000 0.51815100 16.50850000
3.98000000 0.45136700 16.77970000
4.02000000 0.66364500 17.18640000
4.06000000 0.75907100 17.66100000
4.10000000 0.79749900 18.16950000
4.14000000 0.83430700 18.71190000
4.18000000 0.81841600 19.25420000
4.22000000 1.05390000 19.96610000
4.26000000 1.82217000 21.22030000
4.30000000 0.91838200 21.86440000
4.34000000 1.09133000 22.64410000
4.38000000 1.49076000 23.72880000
4.42000000 1.46390000 24.81360000
4.46000000 1.66241000 26.06780000
4.50000000 1.32405000 27.08470000
4.54000000 2.25475000 28.84750000
4.58000000 1.70426000 30.20340000
4.62000000 1.13054000 31.11860000
4.66000000 1.02891000 31.96610000
4.70000000 1.49697000 33.22030000
4.74000000 1.31270000 34.33900000
4.78000000 1.01701000 35.22030000
4.82000000 0.96173100 36.06780000
4.86000000 1.55138000 37.45760000
4.90000000 1.45171000 38.77970000
4.94000000 1.20856000 39.89830000
4.98000000 0.86488900 40.71190000
5.02000000 0.88662600 41.55930000
5.06000000 1.22173000 42.74580000
5.10000000 1.03083000 43.76270000
5.14000000 0.77805300 44.54240000
5.18000000 0.73277600 45.28810000
5.22000000 0.98398400 46.30510000
5.26000000 0.90447100 47.25420000
5.30000000 1.01814000 48.33900000
5.34000000 0.81489000 49.22030000
5.38000000 1.35861000 50.71190000
5.42000000 0.85185900 51.66100000
5.46000000 0.98932000 52.77970000
5.50000000 0.82725800 53.72880000
5.54000000 0.90271400 54.77970000
5.58000000 0.71759600 55.62710000
5.62000000 0.76401100 56.54240000
5.66000000 0.97643500 57.72880000
5.70000000 0.74271500 58.64410000
5.74000000 1.05791000 59.96610000
5.78000000 1.04332000 61.28810000
5.82000000 0.92348600 62.47460000
5.86000000 1.09311000 63.89830000
5.90000000 0.94996200 65.15250000
5.94000000 0.98787100 66.47460000
5.98000000 0.94970700 67.76270000
6.02000000 1.01111000 69.15250000
6.06000000 0.68143000 70.10170000
6.10000000 0.91270900 71.38980000
6.14000000 0.73490900 72.44070000
6.18000000 0.60842200 73.32200000
6.22000000 0.80852900 74.50850000
6.26000000 0.63858400 75.45760000
6.30000000 0.72057200 76.54240000
6.34000000 0.80044700 77.76270000
6.38000000 0.81239800 79.01690000
6.42000000 0.80230600 80.27120000
6.46000000 0.85665000 81.62710000
6.50000000 0.88844600 83.05080000
6.54000000 1.02388000 84.71190000
6.58000000 1.27982000 86.81360000
6.62000000 1.01968000 88.50850000
6.66000000 1.06791000 90.30510000
6.70000000 1.35384000 92.61020000
6.74000000 1.18043000 94.64410000
6.78000000 1.28320000 96.88140000
6.82000000 1.40269000 99.35590000
6.86000000 1.50033000 102.03400000
6.90000000 1.10755000 104.03400000
6.94000000 1.52161000 106.81400000
6.98000000 1.06396000 108.78000000
7.02000000 0.99746400 110.64400000
