# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.36094100 0.06349210
2.22000000 0.34805100 0.12698400
2.26000000 0.67168000 0.25396800
2.30000000 2.10769000 0.66666700
2.34000000 0.62654000 0.79365100
2.38000000 1.66556000 1.14286000
2.42000000 2.05030000 1.58730000
2.46000000 2.69280000 2.19048000
2.50000000 2.60732000 2.79365000
2.54000000 4.25407000 3.80952000
2.58000000 2.44814000 4.41270000
2.62000000 3.74836000 5.36508000
2.66000000 2.90918000 6.12698000
2.70000000 2.58832000 6.82540000
2.74000000 2.85602000 7.61905000
2.78000000 2.88541000 8.44444000
2.82000000 1.94132000 9.01587000
2.86000000 0.94370100 9.30159000
2.90000000 0.91784700 9.58730000
2.94000000 0.89304200 9.87302000
2.98000000 1.73846000 10.44440000
3.02000000 0.47019800 10.60320000
3.06000000 1.19076000 11.01590000
3.10000000 0.44624300 11.17460000
3.14000000 0.26096800 11.26980000
3.18000000 0.93296100 11.61900000
3.22000000 0.33088200 11.74600000
3.26000000 0.64562500 12.00000000
3.30000000 0.39379300 12.15870000
3.34000000 0.30753400 12.28570000
3.38000000 0.45044700 12.47620000
3.42000000 0.21998600 12.57140000
3.46000000 0.50150100 12.79370000
3.50000000 0.70014800 13.11110000
3.54000000 0.54753200 13.36510000
3.58000000 0.53536500 13.61900000
3.62000000 0.78539900 14.00000000
3.66000000 0.57624500 14.28570000
3.70000000 0.56385300 14.57140000
3.74000000 0.67449100 14.92060000
3.78000000 0.84037100 15.36510000
3.82000000 0.64653600 15.71430000
3.86000000 0.40294900 15.93650000
3.90000000 0.50750500 16.22220000
3.94000000 1.10501000 16.85710000
3.98000000 0.75803500 17.30160000
4.02000000 0.63687800 17.68250000
4.06000000 1.24878000 18.44440000
4.10000000 0.66328900 18.85710000
4.14000000 0.40032900 19.11110000
4.18000000 0.88358300 19.68250000
4.22000000 0.86691200 20.25400000
4.26000000 0.94523200 20.88890000
4.30000000 0.97411500 21.55560000
4.34000000 0.95624200 22.22220000
4.38000000 1.78830000 23.49210000
4.42000000 0.87803800 24.12700000
4.46000000 1.12107000 24.95240000
4.50000000 1.39771000 26.00000000
4.54000000 1.41480000 27.07940000
4.58000000 1.06309000 27.90480000
4.62000000 1.40641000 29.01590000
4.66000000 1.81683000 30.47620000
4.70000000 1.39777000 31.61900000
4.74000000 1.52697000 32.88890000
4.78000000 1.31383000 34.00000000
4.82000000 1.14445000 34.98410000
4.86000000 1.41619000 36.22220000
4.90000000 1.57177000 37.61900000
4.94000000 1.08952000 38.60320000
4.98000000 1.21042000 39.71430000
5.02000000 0.88490100 40.53970000
5.06000000 1.17245000 41.65080000
5.10000000 1.22008000 42.82540000
5.14000000 0.97392100 43.77780000
5.18000000 1.05483000 44.82540000
5.22000000 0.94429800 45.77780000
5.26000000 0.74399200 46.53970000
5.30000000 0.97707300 47.55560000
5.34000000 1.32342000 48.95240000
5.38000000 0.91859900 49.93650000
5.42000000 0.64232200 50.63490000
5.46000000 0.89187800 51.61900000
5.50000000 1.07743000 52.82540000
5.54000000 0.69863400 53.61900000
5.58000000 0.79883800 54.53970000
5.62000000 1.14053000 55.87300000
5.66000000 0.64255100 56.63490000
5.70000000 1.02954000 57.87300000
5.74000000 0.91111500 58.98410000
5.78000000 0.71883900 59.87300000
5.82000000 0.83559700 60.92060000
5.86000000 1.09897000 62.31750000
5.90000000 0.93628600 63.52380000
5.94000000 0.65632700 64.38100000
5.98000000 1.17523000 65.93650000
6.02000000 1.06500000 67.36510000
6.06000000 1.14441000 68.92060000
6.10000000 0.89894700 70.15870000
6.14000000 1.00103000 71.55560000
6.18000000 0.83091000 72.73020000
6.22000000 0.82025800 73.90480000
6.26000000 1.05056000 75.42860000
6.30000000 0.79955800 76.60320000
6.34000000 1.00288000 78.09520000
6.38000000 0.84284600 79.36510000
6.42000000 0.70751900 80.44440000
6.46000000 1.00707000 82.00000000
6.50000000 0.71051100 83.11110000
6.54000000 1.12295000 84.88890000
6.58000000 0.87162600 86.28570000
6.62000000 0.88069600 87.71430000
6.66000000 1.00551000 89.36510000
6.70000000 0.63051300 90.41270000
6.74000000 1.05730000 92.19050000
6.78000000 1.34339000 94.47620000
6.82000000 1.19860000 96.53970000
6.86000000 1.16644000 98.57140000
6.90000000 1.06288000 100.44400000
6.94000000 1.15751000 102.50800000
6.98000000 0.91542400 104.15900000
7.02000000 1.28791000 106.50800000
