# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.18801800 0.03125000
2.22000000 0.18130400 0.06250000
2.26000000 0.52483000 0.15625000
2.30000000 2.02694000 0.53125000
2.34000000 1.46867000 0.81250000
2.38000000 2.99719000 1.40625000
2.42000000 1.67833000 1.75000000
2.46000000 2.21481000 2.21875000
2.50000000 2.28747000 2.71875000
2.54000000 2.07750000 3.18750000
2.58000000 2.55053000 3.78125000
2.62000000 2.73359000 4.43750000
2.66000000 2.65200000 5.09375000
2.70000000 2.94172000 5.84375000
2.74000000 2.97548000 6.62500000
2.78000000 2.42799000 7.28125000
2.82000000 2.24724000 7.90625000
2.86000000 2.40330000 8.59375000
2.90000000 1.59373000 9.06250000
2.94000000 1.34390000 9.46875000
2.98000000 1.00620000 9.78125000
3.02000000 1.17567000 10.15620000
3.06000000 0.85885300 10.43750000
3.10000000 1.11578000 10.81250000
3.14000000 1.26879000 11.25000000
3.18000000 0.44181000 11.40620000
3.22000000 0.43090200 11.56250000
3.26000000 0.16815700 11.62500000
3.30000000 0.82052600 11.93750000
3.34000000 0.40049500 12.09380000
3.38000000 0.70393000 12.37500000
3.42000000 0.22918700 12.46880000
3.46000000 0.44783700 12.65620000
3.50000000 0.21882900 12.75000000
3.54000000 0.42782400 12.93750000
3.58000000 0.55775700 13.18750000
3.62000000 0.81824800 13.56250000
3.66000000 0.46693500 13.78120000
3.70000000 0.58743500 14.06250000
3.74000000 1.08599000 14.59380000
3.78000000 0.31268500 14.75000000
3.82000000 0.73481100 15.12500000
3.86000000 0.53974600 15.40620000
3.90000000 0.46998300 15.65620000
3.94000000 0.63317200 16.00000000
3.98000000 0.56409900 16.31250000
4.02000000 0.44234300 16.56250000
4.06000000 0.59629700 16.90620000
4.10000000 1.06312000 17.53120000
4.14000000 1.04268000 18.15620000
4.18000000 0.86939700 18.68750000
4.22000000 0.70246600 19.12500000
4.26000000 1.03400000 19.78120000
4.30000000 1.40147000 20.68750000
4.34000000 0.99623600 21.34380000
4.38000000 1.53705000 22.37500000
4.42000000 1.55509000 23.43750000
4.46000000 1.48240000 24.46880000
4.50000000 1.41204000 25.46880000
4.54000000 1.34392000 26.43750000
4.58000000 1.23535000 27.34380000
4.62000000 1.38151000 28.37500000
4.66000000 1.11100000 29.21880000
4.70000000 1.53713000 30.40620000
4.74000000 0.95450300 31.15620000
4.78000000 1.05592000 32.00000000
4.82000000 1.23078000 33.00000000
4.86000000 0.79445600 33.65620000
4.90000000 1.37700000 34.81250000
4.94000000 1.28155000 35.90620000
4.98000000 0.90075000 36.68750000
5.02000000 0.99282700 37.56250000
5.06000000 1.15169000 38.59380000
5.10000000 1.44289000 39.90620000
5.14000000 1.28523000 41.09380000
5.18000000 1.43196000 42.43750000
5.22000000 0.91820600 43.31250000
5.26000000 0.77510900 44.06250000
5.30000000 1.08156000 45.12500000
5.34000000 0.97141000 46.09380000
5.38000000 0.77178900 46.87500000
5.42000000 1.09503000 48.00000000
5.46000000 0.98912700 49.03120000
5.50000000 1.00433000 50.09380000
5.54000000 1.39748000 51.59380000
5.58000000 0.83224900 52.50000000
5.62000000 1.01848000 53.62500000
5.66000000 1.00414000 54.75000000
5.70000000 0.82507800 55.68750000
5.74000000 1.03058000 56.87500000
5.78000000 0.93613000 57.96880000
5.82000000 1.10797000 59.28120000
5.86000000 1.01483000 60.50000000
5.90000000 0.77008900 61.43750000
5.94000000 0.81040300 62.43750000
5.98000000 0.97450900 63.65620000
6.02000000 0.81366300 64.68750000
6.06000000 0.82728900 65.75000000
6.10000000 0.81647500 66.81250000
6.14000000 0.63995700 67.65620000
6.18000000 0.58490700 68.43750000
6.22000000 0.85456400 69.59380000
6.26000000 1.00329000 70.96880000
6.30000000 0.74294500 72.00000000
6.34000000 1.00036000 73.40620000
6.38000000 0.74638300 74.46880000
6.42000000 0.80215000 75.62500000
6.46000000 0.96354400 77.03120000
6.50000000 0.88827300 78.34380000
6.54000000 0.83565800 79.59380000
6.58000000 1.46531000 81.81250000
6.62000000 0.89714100 83.18750000
6.66000000 1.08785000 84.87500000
6.70000000 1.27396000 86.87500000
6.74000000 1.29822000 88.93750000
6.78000000 1.01081000 90.56250000
6.82000000 1.30636000 92.68750000
6.86000000 1.12028000 94.53120000
6.90000000 1.31378000 96.71880000
6.94000000 1.07605000 98.53120000
6.98000000 1.13712000 100.46900000
7.02000000 0.81594800 101.87500000
