# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.17164700 0.03225810
2.30000000 0.33145800 0.09677420
2.34000000 1.76123000 0.45161300
2.38000000 1.70252000 0.80645200
2.42000000 2.09581000 1.25806000
2.46000000 1.44872000 1.58065000
2.50000000 3.50684000 2.38710000
2.54000000 3.53315000 3.22581000
2.58000000 3.16103000 4.00000000
2.62000000 3.95927000 5.00000000
2.66000000 2.23031000 5.58065000
2.70000000 3.72813000 6.58065000
2.74000000 3.62008000 7.58065000
2.78000000 3.17633000 8.48387000
2.82000000 1.87417000 9.03226000
2.86000000 1.17901000 9.38710000
2.90000000 1.45945000 9.83871000
2.94000000 1.72430000 10.38710000
2.98000000 1.28342000 10.80650000
3.02000000 0.96126800 11.12900000
3.06000000 0.84267100 11.41940000
3.10000000 0.45614800 11.58060000
3.14000000 0.62244000 11.80650000
3.18000000 0.60688000 12.03230000
3.22000000 0.42278300 12.19350000
3.26000000 0.24748300 12.29030000
3.30000000 0.40253300 12.45160000
3.34000000 0.07858990 12.48390000
3.38000000 0.15348200 12.54840000
3.42000000 0.29982500 12.67740000
3.46000000 0.73233200 13.00000000
3.50000000 0.42941300 13.19350000
3.54000000 0.48972400 13.41940000
3.58000000 0.27362400 13.54840000
3.62000000 0.26761100 13.67740000
3.66000000 0.19634500 13.77420000
3.70000000 0.38424500 13.96770000
3.74000000 0.50142700 14.22580000
3.78000000 0.55223000 14.51610000
3.82000000 0.54072500 14.80650000
3.86000000 0.64726000 15.16130000
3.90000000 0.51876900 15.45160000
3.94000000 0.50829000 15.74190000
3.98000000 0.77486000 16.19350000
4.02000000 0.54251200 16.51610000
4.06000000 0.63825000 16.90320000
4.10000000 0.52154700 17.22580000
4.14000000 0.86958000 17.77420000
4.18000000 1.10390000 18.48390000
4.22000000 0.98461600 19.12900000
4.26000000 1.59425000 20.19350000
4.30000000 1.23282000 21.03230000
4.34000000 1.48947000 22.06450000
4.38000000 1.59949000 23.19350000
4.42000000 1.48092000 24.25810000
4.46000000 1.27817000 25.19350000
4.50000000 1.38544000 26.22580000
4.54000000 1.48874000 27.35480000
4.58000000 1.42105000 28.45160000
4.62000000 1.10903000 29.32260000
4.66000000 1.25156000 30.32260000
4.70000000 1.11128000 31.22580000
4.74000000 1.44380000 32.41940000
4.78000000 1.30462000 33.51610000
4.82000000 1.43401000 34.74190000
4.86000000 1.07644000 35.67740000
4.90000000 0.83984300 36.41940000
4.94000000 1.43704000 37.70970000
4.98000000 1.48475000 39.06450000
5.02000000 1.14807000 40.12900000
5.06000000 1.16423000 41.22580000
5.10000000 1.28087000 42.45160000
5.14000000 0.89598400 43.32260000
5.18000000 1.30696000 44.61290000
5.22000000 1.02961000 45.64520000
5.26000000 1.17245000 46.83870000
5.30000000 1.09239000 47.96770000
5.34000000 1.10683000 49.12900000
5.38000000 1.09044000 50.29030000
5.42000000 0.95502400 51.32260000
5.46000000 1.14694000 52.58060000
5.50000000 0.89846100 53.58060000
5.54000000 0.71414000 54.38710000
5.58000000 0.76025300 55.25810000
5.62000000 0.74947000 56.12900000
5.66000000 0.82101600 57.09680000
5.70000000 0.51270400 57.70970000
5.74000000 0.98455700 58.90320000
5.78000000 0.68230800 59.74190000
5.82000000 0.54354600 60.41940000
5.86000000 0.48508900 61.03230000
5.90000000 0.75558000 62.00000000
5.94000000 0.59635000 62.77420000
5.98000000 0.58839900 63.54840000
6.02000000 0.84671700 64.67740000
6.06000000 0.74008200 65.67740000
6.10000000 1.01315000 67.06450000
6.14000000 1.06976000 68.54840000
6.18000000 0.73457500 69.58060000
6.22000000 0.99709200 71.00000000
6.26000000 0.89490000 72.29030000
6.30000000 1.01611000 73.77420000
6.34000000 0.65434400 74.74190000
6.38000000 0.84001400 76.00000000
6.42000000 1.10611000 77.67740000
6.46000000 1.00842000 79.22580000
6.50000000 1.24505000 81.16130000
6.54000000 1.10688000 82.90320000
6.58000000 1.21496000 84.83870000
6.62000000 1.26034000 86.87100000
6.66000000 1.42314000 89.19350000
6.70000000 1.07418000 90.96770000
6.74000000 1.10007000 92.80650000
6.78000000 1.10620000 94.67740000
6.82000000 1.14981000 96.64520000
6.86000000 1.00603000 98.38710000
6.90000000 1.36269000 100.77400000
6.94000000 1.14679000 102.80600000
6.98000000 1.31364000 105.16100000
7.02000000 0.94289900 106.87100000
