# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.22887400 0.04255320
2.42000000 0.44274100 0.12766000
2.46000000 1.49961000 0.42553200
2.50000000 1.45201000 0.72340400
2.54000000 1.80853000 1.10638000
2.58000000 2.92149000 1.74468000
2.62000000 2.45523000 2.29787000
2.66000000 4.21422000 3.27660000
2.70000000 4.62379000 4.38298000
2.74000000 3.62636000 5.27660000
2.78000000 4.19376000 6.34043000
2.82000000 2.60841000 7.02128000
2.86000000 2.21896000 7.61702000
2.90000000 3.85388000 8.68085000
2.94000000 2.54981000 9.40426000
2.98000000 1.16792000 9.74468000
3.02000000 0.71073900 9.95745000
3.06000000 1.10765000 10.29790000
3.10000000 1.48397000 10.76600000
3.14000000 1.44640000 11.23400000
3.18000000 1.41024000 11.70210000
3.22000000 0.37511500 11.82980000
3.26000000 0.36596600 11.95740000
3.30000000 0.95239600 12.29790000
3.34000000 0.69729000 12.55320000
3.38000000 0.79436500 12.85110000
3.42000000 0.33252500 12.97870000
3.46000000 0.32488100 13.10640000
3.50000000 0.21166500 13.19150000
3.54000000 0.41381800 13.36170000
3.58000000 0.20231100 13.44680000
3.62000000 0.29679800 13.57450000
3.66000000 0.09678190 13.61700000
3.70000000 0.18940100 13.70210000
3.74000000 0.18537200 13.78720000
3.78000000 0.00000000 13.78720000
3.82000000 0.26653300 13.91490000
3.86000000 0.08701260 13.95740000
3.90000000 0.25571100 14.08510000
3.94000000 0.08351500 14.12770000
3.98000000 0.32737900 14.29790000
4.02000000 0.56156900 14.59570000
4.06000000 0.07865110 14.63830000
4.10000000 0.61699200 14.97870000
4.14000000 0.60512700 15.31910000
4.18000000 0.44520100 15.57450000
4.22000000 0.87360200 16.08510000
4.26000000 1.50023000 16.97870000
4.30000000 1.26210000 17.74470000
4.34000000 1.44543000 18.63830000
4.38000000 1.28399000 19.44680000
4.42000000 1.45994000 20.38300000
4.46000000 1.17317000 21.14890000
4.50000000 1.47252000 22.12770000
4.54000000 1.19509000 22.93620000
4.58000000 1.17430000 23.74470000
4.62000000 1.27554000 24.63830000
4.66000000 1.55224000 25.74470000
4.70000000 1.17379000 26.59570000
4.74000000 1.26947000 27.53190000
4.78000000 1.13483000 28.38300000
4.82000000 1.17188000 29.27660000
4.86000000 1.64667000 30.55320000
4.90000000 1.24192000 31.53190000
4.94000000 1.00939000 32.34040000
4.98000000 1.25462000 33.36170000
5.02000000 0.92602600 34.12770000
5.06000000 0.96207900 34.93620000
5.10000000 1.39565000 36.12770000
5.14000000 1.66844000 37.57450000
5.18000000 1.54614000 38.93620000
5.22000000 0.80884700 39.65960000
5.26000000 1.12460000 40.68090000
5.30000000 1.15384000 41.74470000
5.34000000 1.63674000 43.27660000
5.38000000 1.79165000 44.97870000
5.42000000 1.85357000 46.76600000
5.46000000 1.34814000 48.08510000
5.50000000 1.71433000 49.78720000
5.54000000 1.35173000 51.14890000
5.58000000 1.16587000 52.34040000
5.62000000 1.35457000 53.74470000
5.66000000 0.84985600 54.63830000
5.70000000 1.11729000 55.82980000
5.74000000 0.59023700 56.46810000
5.78000000 0.69851500 57.23400000
5.82000000 0.49757200 57.78720000
5.86000000 0.64181900 58.51060000
5.90000000 0.29795100 58.85110000
5.94000000 0.29395200 59.19150000
5.98000000 0.61631900 59.91490000
6.02000000 0.42928600 60.42550000
6.06000000 0.24712200 60.72340000
6.10000000 0.17420800 60.93620000
6.14000000 0.34389200 61.36170000
6.18000000 0.40734600 61.87230000
6.22000000 0.36861300 62.34040000
6.26000000 0.56241800 63.06380000
6.30000000 0.48997000 63.70210000
6.34000000 0.41929900 64.25530000
6.38000000 0.70071300 65.19150000
6.42000000 0.66055400 66.08510000
6.46000000 1.05627000 67.53190000
6.50000000 0.92056300 68.80850000
6.54000000 1.27307000 70.59570000
6.58000000 1.01809000 72.04260000
6.62000000 1.15374000 73.70210000
6.66000000 1.11069000 75.31910000
6.70000000 2.22382000 78.59570000
6.74000000 1.34134000 80.59570000
6.78000000 1.07173000 82.21280000
6.82000000 0.94769700 83.65960000
6.86000000 1.32237000 85.70210000
6.90000000 1.00754000 87.27660000
6.94000000 1.34589000 89.40430000
6.98000000 2.55458000 93.48940000
7.02000000 1.28908000 95.57450000
