# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.71794800 0.12500000
2.30000000 0.69319300 0.25000000
2.34000000 1.17197000 0.46875000
2.38000000 1.45660000 0.75000000
2.42000000 1.87846000 1.12500000
2.46000000 3.48425000 1.84375000
2.50000000 2.20020000 2.31250000
2.54000000 2.69984000 2.90625000
2.58000000 2.61678000 3.50000000
2.62000000 2.53749000 4.09375000
2.66000000 2.46175000 4.68750000
2.70000000 2.89237000 5.40625000
2.74000000 1.46532000 5.78125000
2.78000000 1.54208000 6.18750000
2.82000000 2.19033000 6.78125000
2.86000000 3.69859000 7.81250000
2.90000000 2.50718000 8.53125000
2.94000000 1.37881000 8.93750000
2.98000000 1.65174000 9.43750000
3.02000000 1.00517000 9.75000000
3.06000000 1.27279000 10.15620000
3.10000000 0.95396300 10.46880000
3.14000000 0.83683200 10.75000000
3.18000000 0.81591200 11.03120000
3.22000000 1.06102000 11.40620000
3.26000000 0.77635900 11.68750000
3.30000000 0.42091800 11.84380000
3.34000000 0.49307600 12.03120000
3.38000000 0.64196700 12.28120000
3.42000000 0.70541800 12.56250000
3.46000000 0.53604600 12.78120000
3.50000000 0.52386400 13.00000000
3.54000000 0.29262400 13.12500000
3.58000000 0.35765200 13.28120000
3.62000000 0.62962500 13.56250000
3.66000000 0.27375000 13.68750000
3.70000000 0.33482900 13.84380000
3.74000000 0.26216400 13.96880000
3.78000000 0.57745200 14.25000000
3.82000000 0.25129900 14.37500000
3.86000000 0.67682300 14.71880000
3.90000000 0.60273700 15.03120000
3.94000000 0.70867300 15.40620000
3.98000000 0.46300000 15.65620000
4.02000000 0.56729000 15.96880000
4.06000000 0.72301700 16.37500000
4.10000000 0.38175800 16.59380000
4.14000000 0.64185700 16.96880000
4.18000000 1.57408000 17.90620000
4.22000000 0.92662800 18.46880000
4.26000000 0.95982500 19.06250000
4.30000000 0.74372500 19.53120000
4.34000000 1.07078000 20.21880000
4.38000000 0.95574000 20.84380000
4.42000000 1.40778000 21.78120000
4.46000000 1.61308000 22.87500000
4.50000000 1.35817000 23.81250000
4.54000000 1.55673000 24.90620000
4.58000000 1.09262000 25.68750000
4.62000000 1.15968000 26.53120000
4.66000000 1.64646000 27.75000000
4.70000000 1.45255000 28.84380000
4.74000000 1.14251000 29.71880000
4.78000000 0.92284900 30.43750000
4.82000000 0.98651700 31.21880000
4.86000000 1.24204000 32.21880000
4.90000000 1.22185000 33.21880000
4.94000000 1.01430000 34.06250000
4.98000000 0.96111100 34.87500000
5.02000000 1.45516000 36.12500000
5.06000000 1.28902000 37.25000000
5.10000000 1.33937000 38.43750000
5.14000000 1.24921000 39.56250000
5.18000000 0.85416000 40.34380000
5.22000000 1.21121000 41.46880000
5.26000000 1.32540000 42.71880000
5.30000000 0.91383000 43.59380000
5.34000000 1.22169000 44.78120000
5.38000000 1.04522000 45.81250000
5.42000000 1.24830000 47.06250000
5.46000000 0.67654500 47.75000000
5.50000000 0.90919100 48.68750000
5.54000000 1.07533000 49.81250000
5.58000000 1.05997000 50.93750000
5.62000000 1.07396000 52.09380000
5.66000000 0.62957700 52.78120000
5.70000000 0.93115800 53.81250000
5.74000000 0.97387600 54.90620000
5.78000000 0.85067800 55.87500000
5.82000000 1.02848000 57.06250000
5.86000000 1.12128000 58.37500000
5.90000000 0.86909900 59.40620000
5.94000000 0.70153600 60.25000000
5.98000000 0.82036500 61.25000000
6.02000000 0.83479600 62.28120000
6.06000000 0.74892000 63.21880000
6.10000000 0.93623200 64.40620000
6.14000000 0.87543800 65.53120000
6.18000000 0.79213000 66.56250000
6.22000000 0.78197500 67.59380000
6.26000000 1.05275000 69.00000000
6.30000000 0.90083000 70.21880000
6.34000000 0.82107600 71.34380000
6.38000000 0.81081300 72.46880000
6.42000000 0.80074100 73.59380000
6.46000000 0.72495100 74.62500000
6.50000000 0.95474100 76.00000000
6.54000000 0.94309800 77.37500000
6.58000000 1.20693000 79.15620000
6.62000000 0.73217000 80.25000000
6.66000000 0.93008700 81.65620000
6.70000000 1.02113000 83.21880000
6.74000000 0.88795800 84.59380000
6.78000000 1.07695000 86.28120000
6.82000000 1.04464000 87.93750000
6.86000000 0.99353200 89.53120000
6.90000000 0.88576700 90.96880000
6.94000000 1.19917000 92.93750000
6.98000000 0.88439600 94.40620000
7.02000000 1.15339000 96.34380000
