# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.19016100 0.03448280
2.22000000 0.36674100 0.10344800
2.26000000 0.17693700 0.13793100
2.30000000 0.85418300 0.31034500
2.34000000 1.32037000 0.58620700
2.38000000 2.07409000 1.03448000
2.42000000 2.77766000 1.65517000
2.46000000 2.83740000 2.31034000
2.50000000 3.61492000 3.17241000
2.54000000 3.50196000 4.03448000
2.58000000 2.85114000 4.75862000
2.62000000 3.42302000 5.65517000
2.66000000 2.55450000 6.34483000
2.70000000 2.47937000 7.03448000
2.74000000 3.00939000 7.89655000
2.78000000 2.45567000 8.62069000
2.82000000 3.52293000 9.68966000
2.86000000 1.76778000 10.24140000
2.90000000 1.18205000 10.62070000
2.94000000 0.83644300 10.89660000
2.98000000 0.71237100 11.13790000
3.02000000 0.69362600 11.37930000
3.06000000 0.19303200 11.44830000
3.10000000 0.37616500 11.58620000
3.14000000 0.54996300 11.79310000
3.18000000 0.62558400 12.03450000
3.22000000 0.43581300 12.20690000
3.26000000 0.51022100 12.41380000
3.30000000 0.24896300 12.51720000
3.34000000 0.48607200 12.72410000
3.38000000 0.00000000 12.72410000
3.42000000 0.46359800 12.93100000
3.46000000 0.67941200 13.24140000
3.50000000 0.59019700 13.51720000
3.54000000 0.21635000 13.62070000
3.58000000 0.14102900 13.68970000
3.62000000 0.41378700 13.89660000
3.66000000 0.60718800 14.20690000
3.70000000 0.26405800 14.34480000
3.74000000 0.51688000 14.62070000
3.78000000 0.50599900 14.89660000
3.82000000 0.12386400 14.96550000
3.86000000 0.84917500 15.44830000
3.90000000 0.89126300 15.96550000
3.94000000 0.81504100 16.44830000
3.98000000 0.68463500 16.86210000
4.02000000 0.61515500 17.24140000
4.06000000 0.65792000 17.65520000
4.10000000 0.86019400 18.20690000
4.14000000 0.68546700 18.65520000
4.18000000 1.08620000 19.37930000
4.22000000 1.67469000 20.51720000
4.26000000 1.29479000 21.41380000
4.30000000 1.31969000 22.34480000
4.34000000 1.39144000 23.34480000
4.38000000 0.98927200 24.06900000
4.42000000 1.29526000 25.03450000
4.46000000 1.04497000 25.82760000
4.50000000 1.47277000 26.96550000
4.54000000 1.92924000 28.48280000
4.58000000 1.24943000 29.48280000
4.62000000 1.22789000 30.48280000
4.66000000 1.37337000 31.62070000
4.70000000 1.55465000 32.93100000
4.74000000 1.24695000 34.00000000
4.78000000 1.58216000 35.37930000
4.82000000 1.36150000 36.58620000
4.86000000 1.26266000 37.72410000
4.90000000 1.12921000 38.75860000
4.94000000 1.29616000 39.96550000
4.98000000 1.31186000 41.20690000
5.02000000 1.14759000 42.31030000
5.06000000 0.84714000 43.13790000
5.10000000 1.49408000 44.62070000
5.14000000 1.36829000 46.00000000
5.18000000 1.01043000 47.03450000
5.22000000 0.82917100 47.89660000
5.26000000 1.14325000 49.10340000
5.30000000 0.83650200 50.00000000
5.34000000 1.20433000 51.31030000
5.38000000 0.87425700 52.27590000
5.42000000 0.76910700 53.13790000
5.46000000 0.69724900 53.93100000
5.50000000 0.74689600 54.79310000
5.54000000 0.73615000 55.65520000
5.58000000 0.72563300 56.51720000
5.62000000 0.68672700 57.34480000
5.66000000 0.62063400 58.10340000
5.70000000 0.75103400 59.03450000
5.74000000 0.71317400 59.93100000
5.78000000 0.59513100 60.68970000
5.82000000 0.58697900 61.44830000
5.86000000 0.81585400 62.51720000
5.90000000 0.93464000 63.75860000
5.94000000 0.74279800 64.75860000
5.98000000 0.65707800 65.65520000
6.02000000 0.82293700 66.79310000
6.06000000 0.63984400 67.68970000
6.10000000 1.04437000 69.17240000
6.14000000 0.95889100 70.55170000
6.18000000 1.08850000 72.13790000
6.22000000 0.74750700 73.24140000
6.26000000 1.19923000 75.03450000
6.30000000 1.20682000 76.86210000
6.34000000 0.87686400 78.20690000
6.38000000 1.22115000 80.10340000
6.42000000 0.96478100 81.62070000
6.46000000 1.01784000 83.24140000
6.50000000 0.96256900 84.79310000
6.54000000 1.50020000 87.24140000
6.58000000 1.27328000 89.34480000
6.62000000 1.27856000 91.48280000
6.66000000 1.14100000 93.41380000
6.70000000 1.44954000 95.89660000
6.74000000 0.99471000 97.62070000
6.78000000 0.90436700 99.20690000
6.82000000 1.08809000 101.13800000
6.86000000 1.07544000 103.06900000
6.90000000 1.10097000 105.06900000
6.94000000 1.05079000 107.00000000
6.98000000 0.96458100 108.79300000
7.02000000 0.99029800 110.65500000
