step time_ps strain stress_z_GPa stress_x_GPa stress_y_GPa temp_K lx_A ly_A lz_A
1000 1 6.76228007607778e-16 0.470543537160878 -0.223877771702929 1.20562726271148 1019.26405445579 15.3537359640368 16.3414943801986 63.0446589995922
2000 2 0.00500000000000071 -0.240482367272254 0.307993543321673 0.435987017328229 1010.77293783389 15.5287714605086 16.0216891852658 63.3598822945902
3000 3 0.0100000000000008 0.438798633087113 -0.0212033962554023 0.220699227854537 992.820845822227 15.442038389475 16.0081730101053 63.6751055895882
4000 4 0.0150000000000008 1.13793667897171 0.343134182105736 0.763614234710256 986.216172869892 15.3953307126546 16.0592895660337 63.9903288845861
5000 5 0.0200000000000006 1.27558453845462 0.837128900624862 -0.0494605410910582 998.680312974349 15.4699417958682 15.8584036921851 64.3055521795841
6000 6 0.0250000000000006 0.0516897640794181 -0.4371915850804 -0.718457293529421 1016.03741253222 15.3693372660603 15.830720520249 64.620775474582
7000 7 0.0300000000000007 0.447675659612458 0.116264892045041 0.186931422377852 1007.95649324412 15.3043344694738 15.8719944938433 64.93599876958
8000 8 0.0350000000000007 0.717383800101786 0.222133776687867 -0.769184168455571 959.706766233453 15.233524182688 15.8254563460596 65.251222064578
9000 9 0.0400000000000008 1.32430383671844 0.366051246880507 0.75178352222443 1008.54527226345 15.1056265994671 15.9738934765555 65.5664453595759
10000 10 0.0450000000000008 0.682061529108693 -0.612504245081834 -0.196712867267975 1008.15079164601 15.0431064262912 15.8847610076712 65.8816686545739
11000 11 0.0500000000000006 1.12963946616874 -0.38185494883433 0.0475703275499059 1027.74868242011 14.8591232256296 15.9877140832467 66.1968919495718
12000 12 0.0550000000000006 0.717427616081423 -0.446516649192627 -0.31663606193394 986.425887447011 14.8555028424011 15.9190095789322 66.5121152445698
13000 13 0.0600000000000007 -0.171467855607916 -1.4354712092683 -0.820863097119483 1003.61958323662 14.7563384009756 15.8521318624454 66.8273385395678
14000 14 0.0650000000000007 1.07972622345745 0.641479332406064 -0.693446176016229 1030.40887991591 14.7764481117726 15.8832744933159 67.1425618345657
15000 15 0.0700000000000008 1.27149045551502 0.13754944104198 -0.204278444481524 986.28420947989 14.7176607309115 15.8696704821583 67.4577851295637
16000 16 0.0750000000000008 1.05510407662949 -0.398168092164669 -0.504309254715066 985.102823238022 14.6449054377837 15.8675613807717 67.7730084245617
17000 17 0.0800000000000006 0.679889612845105 -0.860249196629969 -0.763828774431349 1026.17683866755 14.5159471359215 15.8964933752899 68.0882317195596
18000 18 0.0850000000000007 1.20203390546385 0.178084681142193 -0.173532413548177 952.393527283806 14.6537376519501 15.7508934736315 68.4034550145576
19000 19 0.0900000000000007 1.48841732222694 0.119455274334088 0.20512903679751 980.638061278114 14.5994019971534 15.7095498453699 68.7186783095555
20000 20 0.0950000000000007 1.32964036850158 -0.214041106218121 -0.101444599713426 972.394307803487 14.6013238334945 15.5985113650714 69.0339016045535
21000 21 0.100000000000001 1.58319780993539 0.0421088466531841 -0.126108356690787 995.467454218402 14.5239127348426 15.6439234826394 69.3491248995515
22000 22 0.105000000000001 1.51004468652456 0.0923154060515449 -0.173967044687736 1042.6367299592 14.5066755583515 15.6052394600986 69.6643481945494
23000 23 0.110000000000001 0.523234175131234 -1.00308184642906 -0.669215234357757 962.312368247829 14.3487434109359 15.6373450251517 69.9795714895474
24000 24 0.115000000000001 1.67580053308433 -0.160500872030833 0.0152648167695631 1050.01734253708 14.3866190235127 15.617196897166 70.2947947845453
