# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.17365700 0.03225810
2.30000000 1.00602000 0.22580600
2.34000000 1.61987000 0.54838700
2.38000000 1.25270000 0.80645200
2.42000000 2.27181000 1.29032000
2.46000000 2.49167000 1.83871000
2.50000000 2.41257000 2.38710000
2.54000000 2.33719000 2.93548000
2.58000000 3.73105000 3.83871000
2.62000000 2.19664000 4.38710000
2.66000000 4.01143000 5.41935000
2.70000000 3.16344000 6.25806000
2.74000000 2.48103000 6.93548000
2.78000000 2.86922000 7.74194000
2.82000000 2.23072000 8.38710000
2.86000000 1.84345000 8.93548000
2.90000000 1.79295000 9.48387000
2.94000000 1.12879000 9.83871000
2.98000000 1.49821000 10.32260000
3.02000000 1.65329000 10.87100000
3.06000000 1.32617000 11.32260000
3.10000000 0.83068100 11.61290000
3.14000000 0.80965200 11.90320000
3.18000000 0.87712400 12.22580000
3.22000000 0.85546800 12.54840000
3.26000000 0.33384200 12.67740000
3.30000000 0.32579800 12.80650000
3.34000000 0.23853100 12.90320000
3.38000000 0.31055800 13.03230000
3.42000000 0.45500400 13.22580000
3.46000000 0.22227200 13.32260000
3.50000000 0.21722100 13.41940000
3.54000000 0.14156000 13.48390000
3.58000000 0.20762100 13.58060000
3.62000000 0.27074400 13.70970000
3.66000000 0.19864400 13.80650000
3.70000000 0.38874500 14.00000000
3.74000000 0.19023700 14.09680000
3.78000000 0.43454200 14.32260000
3.82000000 0.24313700 14.45160000
3.86000000 0.65484000 14.80650000
3.90000000 0.46652800 15.06450000
3.94000000 0.57138000 15.38710000
3.98000000 0.72793800 15.80650000
4.02000000 0.60375100 16.16130000
4.06000000 0.91477500 16.70970000
4.10000000 0.63318600 17.09680000
4.14000000 1.03502000 17.74190000
4.18000000 1.26913000 18.54840000
4.22000000 0.89653100 19.12900000
4.26000000 1.56404000 20.16130000
4.30000000 0.95942500 20.80650000
4.34000000 1.50691000 21.83870000
4.38000000 1.06340000 22.58060000
4.42000000 0.95343900 23.25810000
4.46000000 1.60528000 24.41940000
4.50000000 1.40166000 25.45160000
4.54000000 1.20494000 26.35480000
4.58000000 1.94511000 27.83870000
4.62000000 1.08046000 28.67740000
4.66000000 0.89860600 29.38710000
4.70000000 1.56598000 30.64520000
4.74000000 1.61862000 31.96770000
4.78000000 1.00934000 32.80650000
4.82000000 1.41262000 34.00000000
4.86000000 1.42702000 35.22580000
4.90000000 1.40382000 36.45160000
4.94000000 1.01771000 37.35480000
4.98000000 1.07295000 38.32260000
5.02000000 1.16152000 39.38710000
5.06000000 1.07394000 40.38710000
5.10000000 1.53459000 41.83870000
5.14000000 1.47722000 43.25810000
5.18000000 1.15698000 44.38710000
5.22000000 1.17187000 45.54840000
5.26000000 1.34647000 46.90320000
5.30000000 0.82099500 47.74190000
5.34000000 1.15090000 48.93550000
5.38000000 0.73547100 49.70970000
5.42000000 0.96620800 50.74190000
5.46000000 1.10087000 51.93550000
5.50000000 0.79169400 52.80650000
5.54000000 1.04040000 53.96770000
5.58000000 1.11100000 55.22580000
5.62000000 0.64591400 55.96770000
5.66000000 0.69219200 56.77420000
5.70000000 0.92821500 57.87100000
5.74000000 0.67303200 58.67740000
5.78000000 0.55754900 59.35480000
5.82000000 0.57609800 60.06450000
5.86000000 0.56826000 60.77420000
5.90000000 0.58606200 61.51610000
5.94000000 0.72902900 62.45160000
5.98000000 0.49607500 63.09680000
6.02000000 0.73425700 64.06450000
6.06000000 0.70044200 65.00000000
6.10000000 0.69128600 65.93550000
6.14000000 0.56466900 66.70970000
6.18000000 0.99864500 68.09680000
6.22000000 0.96291500 69.45160000
6.26000000 0.65640100 70.38710000
6.30000000 1.07270000 71.93550000
6.34000000 1.01508000 73.41940000
6.38000000 1.00239000 74.90320000
6.42000000 1.24818000 76.77420000
6.46000000 1.23277000 78.64520000
6.50000000 1.04969000 80.25810000
6.54000000 1.53460000 82.64520000
6.58000000 1.20870000 84.54840000
6.62000000 1.33582000 86.67740000
6.66000000 0.91987600 88.16130000
6.70000000 1.42267000 90.48390000
6.74000000 1.24963000 92.54840000
6.78000000 1.02267000 94.25810000
6.82000000 1.08699000 96.09680000
6.86000000 1.52671000 98.70970000
6.90000000 1.17371000 100.74200000
6.94000000 0.97606100 102.45200000
6.98000000 0.92849400 104.09700000
7.02000000 1.13393000 106.12900000
