step time_ps strain stress_z_GPa stress_x_GPa stress_y_GPa temp_K lx_A ly_A lz_A
1000 1 0 -1.71479485597434 0.976896363418282 -0.0154737821320261 1013.93146108303 15.77622495696 16.2590814589464 68.716970221785
2000 2 0.00499999999999985 -1.45174129543302 -0.171966033541813 -0.487477737516132 957.335197287489 15.4726387407918 16.4499029709945 69.0605550728939
3000 3 0.0100000000000001 -0.767025042229596 -0.314899355070955 0.149920056671099 983.672365639194 15.257312574247 16.6520604519328 69.4041399240029
4000 4 0.015 -0.358416534090854 -0.156853523321754 -0.0767289426015817 1043.72838013867 15.1886323035295 16.6024430534237 69.7477247751118
5000 5 0.0199999999999998 0.16049450691479 -0.621041349794307 0.166679364668818 982.356000595427 15.0805719984788 16.663392367289 70.0913096262207
6000 6 0.0250000000000001 0.169453145624317 -0.527743390943841 -0.120897775802169 1021.10686415506 15.0218473044985 16.6578764612183 70.4348944773296
7000 7 0.0299999999999999 0.81322627021051 -0.257059697586689 -0.219243371103399 1014.96712176572 15.0082167036637 16.5977674670341 70.7784793284386
8000 8 0.0350000000000002 0.691709412044373 0.0456272901760038 -0.0236844843680031 1010.7868852166 14.9100765690839 16.6302832259992 71.1220641795475
9000 9 0.04 0.903214757396467 -0.128376879092478 -0.634383226590744 955.942536485899 14.9760671574182 16.4604158095882 71.4656490306564
10000 10 0.0449999999999999 0.887918735003116 0.839416217877427 -0.389674555156178 965.347476060975 14.9769674255048 16.4317643331334 71.8092338817653
11000 11 0.0500000000000002 1.04374538688497 0.275885027867986 0.0475830549089724 974.471045480039 14.8557430986063 16.4537512400957 72.1528187328743
12000 12 0.055 1.54030283914333 0.790208079350056 0.182664064208053 992.104770307922 14.8311934846018 16.4482612444924 72.4964035839832
13000 13 0.0599999999999999 1.88512843640161 0.366049096704252 0.387454186201993 1004.70828596811 14.7570401917242 16.4446101331818 72.8399884350921
14000 14 0.0650000000000001 1.56916164953214 0.474110002367101 -0.133974986097292 1048.74960219979 14.7398988800651 16.4172369005266 73.183573286201
