# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 0.93494749 0.26666667
2.61000000 0.00000000 0.26666667
2.67000000 2.55839780 1.06666667
2.73000000 0.81572701 1.33333333
2.79000000 4.68612343 2.93333333
2.85000000 5.98786285 5.06666667
2.91000000 3.23071589 6.26666667
2.97000000 0.68922330 6.53333333
3.03000000 1.32439693 7.06666667
3.09000000 0.00000000 7.06666667
3.15000000 4.90166206 9.20000000
3.21000000 3.54010512 10.80000000
3.27000000 1.13712949 11.33333333
3.33000000 0.00000000 11.33333333
3.39000000 0.00000000 11.33333333
3.45000000 0.00000000 11.33333333
3.51000000 0.00000000 11.33333333
3.57000000 0.00000000 11.33333333
3.63000000 0.00000000 11.33333333
3.69000000 0.00000000 11.33333333
3.75000000 0.00000000 11.33333333
3.81000000 0.00000000 11.33333333
3.87000000 0.00000000 11.33333333
3.93000000 0.00000000 11.33333333
3.99000000 0.00000000 11.33333333
4.05000000 0.00000000 11.33333333
4.11000000 0.00000000 11.33333333
4.17000000 0.00000000 11.33333333
4.23000000 0.00000000 11.33333333
4.29000000 0.00000000 11.33333333
4.35000000 0.64258741 11.86666667
4.41000000 0.00000000 11.86666667
4.47000000 0.00000000 11.86666667
4.53000000 0.59253616 12.40000000
4.59000000 1.15429298 13.46666667
4.65000000 0.84352302 14.26666667
4.71000000 0.54811278 14.80000000
4.77000000 1.87043738 16.66666667
4.83000000 2.60608017 19.33333333
4.89000000 1.01700817 20.40000000
4.95000000 0.74437736 21.20000000
5.01000000 0.96887325 22.26666667
5.07000000 0.00000000 22.26666667
5.13000000 0.23101913 22.53333333
5.19000000 0.45141716 23.06666667
5.25000000 0.00000000 23.06666667
5.31000000 0.00000000 23.06666667
5.37000000 0.00000000 23.06666667
5.43000000 0.00000000 23.06666667
5.49000000 0.00000000 23.06666667
5.55000000 0.78950960 24.13333333
5.61000000 0.38635608 24.66666667
5.67000000 0.00000000 24.66666667
5.73000000 0.37034322 25.20000000
5.79000000 0.36270755 25.73333333
5.85000000 0.71061123 26.80000000
5.91000000 0.34812797 27.33333333
5.97000000 0.00000000 27.33333333
