# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 0.00000000 0.00000000
2.61000000 0.00000000 0.00000000
2.67000000 0.00000000 0.00000000
2.73000000 0.00000000 0.00000000
2.79000000 0.00000000 0.00000000
2.85000000 10.74745390 3.33333333
2.91000000 1.03088445 3.66666667
2.97000000 1.97930936 4.33333333
3.03000000 7.60679811 7.00000000
3.09000000 0.00000000 7.00000000
3.15000000 0.00000000 7.00000000
3.21000000 0.00000000 7.00000000
3.27000000 0.00000000 7.00000000
3.33000000 6.29797774 9.66666667
3.39000000 0.00000000 9.66666667
3.45000000 2.93374394 11.00000000
3.51000000 0.00000000 11.00000000
3.57000000 0.68495919 11.33333333
3.63000000 0.00000000 11.33333333
3.69000000 0.00000000 11.33333333
3.75000000 1.24156524 12.00000000
3.81000000 0.00000000 12.00000000
3.87000000 0.00000000 12.00000000
3.93000000 0.00000000 12.00000000
3.99000000 0.00000000 12.00000000
4.05000000 0.00000000 12.00000000
4.11000000 0.00000000 12.00000000
4.17000000 0.33468827 12.22222222
4.23000000 0.00000000 12.22222222
4.29000000 0.94867986 12.88888889
4.35000000 0.00000000 12.88888889
4.41000000 0.00000000 12.88888889
4.47000000 0.00000000 12.88888889
4.53000000 0.00000000 12.88888889
4.59000000 0.96684439 13.66666667
4.65000000 0.00000000 13.66666667
4.71000000 0.00000000 13.66666667
4.77000000 0.00000000 13.66666667
4.83000000 0.00000000 13.66666667
4.89000000 0.73016024 14.33333333
4.95000000 0.00000000 14.33333333
5.01000000 0.00000000 14.33333333
5.07000000 0.00000000 14.33333333
5.13000000 0.00000000 14.33333333
5.19000000 0.00000000 14.33333333
5.25000000 0.42230552 14.77777778
5.31000000 0.00000000 14.77777778
5.37000000 0.00000000 14.77777778
5.43000000 0.59215755 15.44444444
5.49000000 0.00000000 15.44444444
5.55000000 0.00000000 15.44444444
5.61000000 0.36984540 15.88888889
5.67000000 0.54308921 16.55555556
5.73000000 0.00000000 16.55555556
5.79000000 0.00000000 16.55555556
5.85000000 0.00000000 16.55555556
5.91000000 0.00000000 16.55555556
5.97000000 0.32658615 17.00000000
