# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 0.00000000 0.00000000
2.61000000 5.64218572 1.88235294
2.67000000 4.04359809 3.29411765
2.73000000 12.57040780 7.88235294
2.79000000 3.70325517 9.29411765
2.85000000 0.00000000 9.29411765
2.91000000 0.00000000 9.29411765
2.97000000 0.00000000 9.29411765
3.03000000 0.00000000 9.29411765
3.09000000 0.00000000 9.29411765
3.15000000 0.00000000 9.29411765
3.21000000 0.93253431 9.76470588
3.27000000 0.00000000 9.76470588
3.33000000 4.33268699 12.11764706
3.39000000 0.83613575 12.58823529
3.45000000 0.00000000 12.58823529
3.51000000 0.00000000 12.58823529
3.57000000 0.00000000 12.58823529
3.63000000 1.45845954 13.52941176
3.69000000 0.70570830 14.00000000
3.75000000 0.68330677 14.47058824
3.81000000 0.99293280 15.17647059
3.87000000 0.64158898 15.64705882
3.93000000 0.00000000 15.64705882
3.99000000 0.00000000 15.64705882
4.05000000 0.00000000 15.64705882
4.11000000 0.56884791 16.11764706
4.17000000 1.10519248 17.05882353
4.23000000 1.07406238 18.00000000
4.29000000 0.00000000 18.00000000
4.35000000 0.00000000 18.00000000
4.41000000 0.00000000 18.00000000
4.47000000 0.48091238 18.47058824
4.53000000 0.46825753 18.94117647
4.59000000 0.57011962 19.52941176
4.65000000 0.88880316 20.47058824
4.71000000 1.08287879 21.64705882
4.77000000 0.10558082 21.76470588
4.83000000 0.20594805 22.00000000
4.89000000 0.00000000 22.00000000
4.95000000 1.56867076 23.88235294
5.01000000 1.14849243 25.29411765
5.07000000 0.37382345 25.76470588
5.13000000 0.73026055 26.70588235
5.19000000 0.35673685 27.17647059
5.25000000 0.34862955 27.64705882
5.31000000 0.17039775 27.88235294
5.37000000 0.99966777 29.29411765
5.43000000 0.48884897 30.00000000
5.49000000 0.31881483 30.47058824
5.55000000 0.31195886 30.94117647
5.61000000 0.30532169 31.41176471
5.67000000 0.00000000 31.41176471
5.73000000 0.00000000 31.41176471
5.79000000 0.00000000 31.41176471
5.85000000 0.00000000 31.41176471
5.91000000 0.13755578 31.64705882
5.97000000 0.26960951 32.11764706
