# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 0.00000000 0.00000000
2.61000000 8.43767484 2.82352941
2.67000000 2.01568255 3.52941176
2.73000000 11.56834972 7.76470588
2.79000000 3.69205180 9.17647059
2.85000000 0.29485325 9.29411765
2.91000000 0.00000000 9.29411765
2.97000000 0.00000000 9.29411765
3.03000000 0.00000000 9.29411765
3.09000000 0.00000000 9.29411765
3.15000000 0.00000000 9.29411765
3.21000000 0.92971313 9.76470588
3.27000000 0.89590918 10.23529412
3.33000000 3.45566353 12.11764706
3.39000000 0.83360621 12.58823529
3.45000000 0.00000000 12.58823529
3.51000000 0.00000000 12.58823529
3.57000000 0.00000000 12.58823529
3.63000000 1.45404730 13.52941176
3.69000000 1.05536001 14.23529412
3.75000000 0.34061979 14.47058824
3.81000000 0.65995261 14.94117647
3.87000000 0.95947200 15.64705882
3.93000000 0.00000000 15.64705882
3.99000000 0.00000000 15.64705882
4.05000000 0.00000000 15.64705882
4.11000000 0.56712699 16.11764706
4.17000000 1.10184897 17.05882353
4.23000000 1.07081305 18.00000000
4.29000000 0.00000000 18.00000000
4.35000000 0.00000000 18.00000000
4.41000000 0.00000000 18.00000000
4.47000000 0.95891498 18.94117647
4.53000000 0.00000000 18.94117647
4.59000000 0.56839485 19.52941176
4.65000000 0.83073214 20.41176471
4.71000000 1.07960279 21.58823529
4.77000000 0.00000000 21.58823529
4.83000000 0.20532500 21.82352941
4.89000000 0.80126930 22.76470588
4.95000000 0.78196255 23.70588235
5.01000000 1.14501793 25.11764706
5.07000000 0.37269253 25.58823529
5.13000000 0.54603849 26.29411765
5.19000000 0.53348644 27.00000000
5.25000000 0.52136227 27.70588235
5.31000000 0.00000000 27.70588235
5.37000000 0.99664350 29.11764706
5.43000000 0.64982676 30.05882353
5.49000000 0.15892516 30.29411765
5.55000000 0.31101510 30.76470588
5.61000000 0.00000000 30.76470588
5.67000000 0.29798987 31.23529412
5.73000000 0.00000000 31.23529412
5.79000000 0.00000000 31.23529412
5.85000000 0.00000000 31.23529412
5.91000000 0.13713963 31.47058824
5.97000000 0.26879387 31.94117647
