# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 0.00000000 0.00000000
2.61000000 0.00000000 0.00000000
2.67000000 2.63764169 0.80000000
2.73000000 2.10248340 1.46666667
2.79000000 4.83127156 3.06666667
2.85000000 3.08666554 4.13333333
2.91000000 4.44104557 5.73333333
2.97000000 1.42114264 6.26666667
3.03000000 0.68270942 6.53333333
3.09000000 2.62581866 7.60000000
3.15000000 2.52674315 8.66666667
3.21000000 1.21658548 9.20000000
3.27000000 3.51705292 10.80000000
3.33000000 1.13048583 11.33333333
3.39000000 0.00000000 11.33333333
3.45000000 0.00000000 11.33333333
3.51000000 0.00000000 11.33333333
3.57000000 0.00000000 11.33333333
3.63000000 0.00000000 11.33333333
3.69000000 0.00000000 11.33333333
3.75000000 0.00000000 11.33333333
3.81000000 0.00000000 11.33333333
3.87000000 0.00000000 11.33333333
3.93000000 0.00000000 11.33333333
3.99000000 0.00000000 11.33333333
4.05000000 0.00000000 11.33333333
4.11000000 0.00000000 11.33333333
4.17000000 0.00000000 11.33333333
4.23000000 0.00000000 11.33333333
4.29000000 0.00000000 11.33333333
4.35000000 0.66249093 11.86666667
4.41000000 0.00000000 11.86666667
4.47000000 0.00000000 11.86666667
4.53000000 0.91633409 12.66666667
4.59000000 0.89253456 13.46666667
4.65000000 0.57976689 14.00000000
4.71000000 1.13018008 15.06666667
4.77000000 1.10192706 16.13333333
4.83000000 2.68680097 18.80000000
4.89000000 2.35914528 21.20000000
4.95000000 0.00000000 21.20000000
5.01000000 0.00000000 21.20000000
5.07000000 0.48769056 21.73333333
5.13000000 0.95269888 22.80000000
5.19000000 0.00000000 22.80000000
5.25000000 0.00000000 22.80000000
5.31000000 0.22230113 23.06666667
5.37000000 0.00000000 23.06666667
5.43000000 0.00000000 23.06666667
5.49000000 0.00000000 23.06666667
5.55000000 0.00000000 23.06666667
5.61000000 0.99580771 24.40000000
5.67000000 0.38993765 24.93333333
5.73000000 0.00000000 24.93333333
5.79000000 1.49576827 27.06666667
5.85000000 0.00000000 27.06666667
5.91000000 0.53836635 27.86666667
5.97000000 0.00000000 27.86666667
