# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 0.00000000 0.00000000
2.61000000 0.00000000 0.00000000
2.67000000 4.39130106 1.33333333
2.73000000 0.00000000 1.33333333
2.79000000 2.01084628 2.00000000
2.85000000 6.16663485 4.13333333
2.91000000 4.43622835 5.73333333
2.97000000 1.41960112 6.26666667
3.03000000 0.68196888 6.53333333
3.09000000 2.62297042 7.60000000
3.15000000 3.78600357 9.20000000
3.21000000 0.00000000 9.20000000
3.27000000 3.51323796 10.80000000
3.33000000 1.12925959 11.33333333
3.39000000 0.00000000 11.33333333
3.45000000 0.00000000 11.33333333
3.51000000 0.00000000 11.33333333
3.57000000 0.00000000 11.33333333
3.63000000 0.00000000 11.33333333
3.69000000 0.00000000 11.33333333
3.75000000 0.00000000 11.33333333
3.81000000 0.00000000 11.33333333
3.87000000 0.00000000 11.33333333
3.93000000 0.00000000 11.33333333
3.99000000 0.00000000 11.33333333
4.05000000 0.00000000 11.33333333
4.11000000 0.00000000 11.33333333
4.17000000 0.00000000 11.33333333
4.23000000 0.00000000 11.33333333
4.29000000 0.00000000 11.33333333
4.35000000 0.00000000 11.33333333
4.41000000 0.64388769 11.86666667
4.47000000 0.00000000 11.86666667
4.53000000 0.61022676 12.40000000
4.59000000 1.78313285 14.00000000
4.65000000 0.00000000 14.00000000
4.71000000 1.12895417 15.06666667
4.77000000 1.65109770 16.66666667
4.83000000 1.61033195 18.26666667
4.89000000 1.83290046 20.13333333
4.95000000 1.02213505 21.20000000
5.01000000 0.00000000 21.20000000
5.07000000 0.48716156 21.73333333
5.13000000 0.95166548 22.80000000
5.19000000 0.00000000 22.80000000
5.25000000 0.22716461 23.06666667
5.31000000 0.00000000 23.06666667
5.37000000 0.00000000 23.06666667
5.43000000 0.00000000 23.06666667
5.49000000 0.00000000 23.06666667
5.55000000 0.00000000 23.06666667
5.61000000 1.19367307 24.66666667
5.67000000 0.19475734 24.93333333
5.73000000 0.00000000 24.93333333
5.79000000 1.12060935 26.53333333
5.85000000 0.36591353 27.06666667
5.91000000 0.17926079 27.33333333
5.97000000 0.35135140 27.86666667
