# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 0.00000000 0.00000000
2.61000000 0.00000000 0.00000000
2.67000000 0.92677331 0.26666667
2.73000000 0.88648531 0.53333333
2.79000000 2.54630504 1.33333333
2.85000000 3.25363289 2.40000000
2.91000000 3.90106296 3.73333333
2.97000000 5.24305834 5.60000000
3.03000000 1.79909824 6.26666667
3.09000000 0.69196434 6.53333333
3.15000000 1.33171127 7.06666667
3.21000000 3.84718313 8.66666667
3.27000000 3.70730126 10.26666667
3.33000000 1.78745599 11.06666667
3.39000000 0.57491493 11.33333333
3.45000000 0.00000000 11.33333333
3.51000000 0.00000000 11.33333333
3.57000000 0.00000000 11.33333333
3.63000000 0.00000000 11.33333333
3.69000000 0.00000000 11.33333333
3.75000000 0.00000000 11.33333333
3.81000000 0.00000000 11.33333333
3.87000000 0.00000000 11.33333333
3.93000000 0.00000000 11.33333333
3.99000000 0.00000000 11.33333333
4.05000000 0.00000000 11.33333333
4.11000000 0.00000000 11.33333333
4.17000000 0.00000000 11.33333333
4.23000000 0.00000000 11.33333333
4.29000000 0.00000000 11.33333333
4.35000000 0.00000000 11.33333333
4.41000000 0.67945459 11.86666667
4.47000000 0.00000000 11.86666667
4.53000000 0.00000000 11.86666667
4.59000000 0.00000000 11.86666667
4.65000000 0.61112828 12.40000000
4.71000000 1.19131503 13.46666667
4.77000000 0.58076686 14.00000000
4.83000000 0.84964152 14.80000000
4.89000000 1.38153266 16.13333333
4.95000000 2.15719095 18.26666667
5.01000000 2.10583172 20.40000000
5.07000000 0.77110689 21.20000000
5.13000000 1.00423332 22.26666667
5.19000000 0.00000000 22.26666667
5.25000000 0.23971267 22.53333333
5.31000000 0.46865219 23.06666667
5.37000000 0.00000000 23.06666667
5.43000000 0.00000000 23.06666667
5.49000000 0.00000000 23.06666667
5.55000000 0.00000000 23.06666667
5.61000000 0.00000000 23.06666667
5.67000000 0.41103059 23.60000000
5.73000000 0.80493553 24.66666667
5.79000000 0.00000000 24.66666667
5.85000000 0.00000000 24.66666667
5.91000000 0.75665101 25.73333333
5.97000000 0.37075925 26.26666667
