# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 1.76057510 0.53333333
2.61000000 0.42014076 0.66666667
2.67000000 3.61323886 1.86666667
2.73000000 4.22420388 3.33333333
2.79000000 2.57375888 4.26666667
2.85000000 6.69488008 6.80000000
2.91000000 0.33798202 6.93333333
2.97000000 1.29785832 7.46666667
3.03000000 0.93522642 7.86666667
3.09000000 0.59950713 8.13333333
3.15000000 1.15377391 8.66666667
3.21000000 0.27776163 8.80000000
3.27000000 0.00000000 8.80000000
3.33000000 0.77431202 9.20000000
3.39000000 0.00000000 9.20000000
3.45000000 0.00000000 9.20000000
3.51000000 0.00000000 9.20000000
3.57000000 0.00000000 9.20000000
3.63000000 0.21720600 9.33333333
3.69000000 0.21019998 9.46666667
3.75000000 0.00000000 9.46666667
3.81000000 0.39433564 9.73333333
3.87000000 0.00000000 9.73333333
3.93000000 0.00000000 9.73333333
3.99000000 0.17977984 9.86666667
4.05000000 0.00000000 9.86666667
4.11000000 0.00000000 9.86666667
4.17000000 0.16459452 10.00000000
4.23000000 0.15995836 10.13333333
4.29000000 0.00000000 10.13333333
4.35000000 0.00000000 10.13333333
4.41000000 0.73583610 10.80000000
4.47000000 0.85945797 11.60000000
4.53000000 0.00000000 11.60000000
4.59000000 0.00000000 11.60000000
4.65000000 0.00000000 11.60000000
4.71000000 0.00000000 11.60000000
4.77000000 0.25158368 11.86666667
4.83000000 0.24537206 12.13333333
4.89000000 0.23938768 12.40000000
4.95000000 0.00000000 12.40000000
5.01000000 0.22805748 12.66666667
5.07000000 0.11134583 12.80000000
5.13000000 0.21751303 13.06666667
5.19000000 0.10625648 13.20000000
5.25000000 0.00000000 13.20000000
5.31000000 0.20301648 13.46666667
5.37000000 0.00000000 13.46666667
5.43000000 0.00000000 13.46666667
5.49000000 0.00000000 13.46666667
5.55000000 0.00000000 13.46666667
5.61000000 0.00000000 13.46666667
5.67000000 0.08902763 13.60000000
5.73000000 0.08717295 13.73333333
5.79000000 0.00000000 13.73333333
5.85000000 0.00000000 13.73333333
5.91000000 0.00000000 13.73333333
5.97000000 0.00000000 13.73333333
