# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 0.00000000 0.00000000
2.61000000 3.35954047 1.06666667
2.67000000 0.80256317 1.33333333
2.73000000 4.60604844 2.93333333
2.79000000 5.88010213 5.06666667
2.85000000 4.57854643 6.80000000
2.91000000 0.00000000 6.80000000
2.97000000 1.62155755 7.46666667
3.03000000 1.55797537 8.13333333
3.09000000 0.00000000 8.13333333
3.15000000 0.57661480 8.40000000
3.21000000 0.83289178 8.80000000
3.27000000 0.53507214 9.06666667
3.33000000 0.00000000 9.06666667
3.39000000 0.24893118 9.20000000
3.45000000 0.00000000 9.20000000
3.51000000 0.23220161 9.33333333
3.57000000 0.00000000 9.33333333
3.63000000 0.21710353 9.46666667
3.69000000 0.00000000 9.46666667
3.75000000 0.40686303 9.73333333
3.81000000 0.00000000 9.73333333
3.87000000 0.19101145 9.86666667
3.93000000 0.00000000 9.86666667
3.99000000 0.00000000 9.86666667
4.05000000 0.00000000 9.86666667
4.11000000 0.00000000 9.86666667
4.17000000 0.16451687 10.00000000
4.23000000 0.15988290 10.13333333
4.29000000 0.00000000 10.13333333
4.35000000 0.15118358 10.26666667
4.41000000 1.02968454 11.20000000
4.47000000 0.28635084 11.46666667
4.53000000 0.13940787 11.60000000
4.59000000 0.00000000 11.60000000
4.65000000 0.00000000 11.60000000
4.71000000 0.25791247 11.86666667
4.77000000 0.00000000 11.86666667
4.83000000 0.00000000 11.86666667
4.89000000 0.47854949 12.40000000
4.95000000 0.00000000 12.40000000
5.01000000 0.11397494 12.53333333
5.07000000 0.00000000 12.53333333
5.13000000 0.21741041 12.80000000
5.19000000 0.10620635 12.93333333
5.25000000 0.10379267 13.06666667
5.31000000 0.00000000 13.06666667
5.37000000 0.00000000 13.06666667
5.43000000 0.09702551 13.20000000
5.49000000 0.00000000 13.20000000
5.55000000 0.09287522 13.33333333
5.61000000 0.00000000 13.33333333
5.67000000 0.08898563 13.46666667
5.73000000 0.08713183 13.60000000
5.79000000 0.08533536 13.73333333
5.85000000 0.00000000 13.73333333
5.91000000 0.00000000 13.73333333
5.97000000 0.00000000 13.73333333
