# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 0.00000000 0.00000000
2.61000000 1.50903340 0.47058824
2.67000000 5.76790615 2.35294118
2.73000000 5.17234499 4.11764706
2.79000000 5.28243108 6.00000000
2.85000000 7.59354345 8.82352941
2.91000000 1.21394114 9.29411765
2.97000000 0.00000000 9.29411765
3.03000000 0.00000000 9.29411765
3.09000000 0.00000000 9.29411765
3.15000000 0.00000000 9.29411765
3.21000000 0.00000000 9.29411765
3.27000000 1.92274326 10.23529412
3.33000000 0.92704065 10.70588235
3.39000000 1.34177445 11.41176471
3.45000000 0.43183701 11.64705882
3.51000000 1.66879957 12.58823529
3.57000000 0.00000000 12.58823529
3.63000000 0.00000000 12.58823529
3.69000000 0.75498216 13.05882353
3.75000000 0.73101652 13.52941176
3.81000000 1.41634829 14.47058824
3.87000000 0.68638591 14.94117647
3.93000000 0.33279398 15.17647059
3.99000000 0.00000000 15.17647059
4.05000000 0.00000000 15.17647059
4.11000000 1.21713186 16.11764706
4.17000000 0.00000000 16.11764706
4.23000000 0.57452770 16.58823529
4.29000000 0.00000000 16.58823529
4.35000000 1.62980200 18.00000000
4.41000000 0.00000000 18.00000000
4.47000000 0.00000000 18.00000000
4.53000000 1.00190429 18.94117647
4.59000000 0.00000000 18.94117647
4.65000000 0.00000000 18.94117647
4.71000000 1.50603362 20.47058824
4.77000000 0.90362139 21.41176471
4.83000000 0.66098317 22.11764706
4.89000000 0.42990830 22.58823529
4.95000000 0.10488739 22.70588235
5.01000000 0.81912154 23.64705882
5.07000000 0.39992449 24.11764706
5.13000000 0.09765609 24.23529412
5.19000000 1.14493464 25.64705882
5.25000000 0.18648575 25.88235294
5.31000000 0.91147621 27.05882353
5.37000000 0.17824441 27.29411765
5.43000000 0.52298132 28.00000000
5.49000000 0.68215015 28.94117647
5.55000000 0.66748082 29.88235294
5.61000000 0.32663982 30.35294118
5.67000000 0.00000000 30.35294118
5.73000000 0.31310196 30.82352941
5.79000000 0.30664648 31.29411765
5.85000000 0.00000000 31.29411765
5.91000000 0.00000000 31.29411765
5.97000000 0.00000000 31.29411765
