# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 0.00000000 0.00000000
2.61000000 0.00000000 0.00000000
2.67000000 7.23982205 2.35294118
2.73000000 5.88633318 4.35294118
2.79000000 5.96741244 6.47058824
2.85000000 6.35422999 8.82352941
2.91000000 1.21898208 9.29411765
2.97000000 0.00000000 9.29411765
3.03000000 0.00000000 9.29411765
3.09000000 0.00000000 9.29411765
3.15000000 0.00000000 9.29411765
3.21000000 0.00000000 9.29411765
3.27000000 0.96536377 9.76470588
3.33000000 1.86178045 10.70588235
3.39000000 1.34734623 11.41176471
3.45000000 1.30089070 12.11764706
3.51000000 0.83786467 12.58823529
3.57000000 0.00000000 12.58823529
3.63000000 0.00000000 12.58823529
3.69000000 0.00000000 12.58823529
3.75000000 1.46810420 13.52941176
3.81000000 1.42222974 14.47058824
3.87000000 0.68923616 14.94117647
3.93000000 0.33417592 15.17647059
3.99000000 0.00000000 15.17647059
4.05000000 0.62933328 15.64705882
4.11000000 0.00000000 15.64705882
4.17000000 0.59363443 16.11764706
4.23000000 0.57691346 16.58823529
4.29000000 0.56088913 17.05882353
4.35000000 1.09104655 18.00000000
4.41000000 0.00000000 18.00000000
4.47000000 0.00000000 18.00000000
4.53000000 0.50303237 18.47058824
4.59000000 0.48996734 18.94117647
4.65000000 0.95480954 19.88235294
4.71000000 0.23265961 20.11764706
4.77000000 1.30434972 21.47058824
4.83000000 0.66372794 22.17647059
4.89000000 0.00000000 22.17647059
4.95000000 0.52661471 22.76470588
5.01000000 0.00000000 22.76470588
5.07000000 0.80317040 23.70588235
5.13000000 0.49030804 24.29411765
5.19000000 0.76645935 25.23529412
5.25000000 0.37452029 25.70588235
5.31000000 1.09831339 27.11764706
5.37000000 0.17898457 27.35294118
5.43000000 0.96278054 28.64705882
5.49000000 0.21405713 28.94117647
5.55000000 0.67025257 29.88235294
5.61000000 0.32799621 30.35294118
5.67000000 0.00000000 30.35294118
5.73000000 0.31440213 30.82352941
5.79000000 0.30791984 31.29411765
5.85000000 0.00000000 31.29411765
5.91000000 0.00000000 31.29411765
5.97000000 0.00000000 31.29411765
