# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 4.60361044 1.50000000
2.43000000 3.89252419 2.83333333
2.49000000 0.00000000 2.83333333
2.55000000 0.00000000 2.83333333
2.61000000 0.00000000 2.83333333
2.67000000 0.00000000 2.83333333
2.73000000 2.31304680 3.83333333
2.79000000 3.69105741 5.50000000
2.85000000 3.53728607 7.16666667
2.91000000 0.67858550 7.50000000
2.97000000 0.32572289 7.66666667
3.03000000 0.31295111 7.83333333
3.09000000 0.00000000 7.83333333
3.15000000 0.00000000 7.83333333
3.21000000 0.00000000 7.83333333
3.27000000 0.00000000 7.83333333
3.33000000 0.00000000 7.83333333
3.39000000 0.00000000 7.83333333
3.45000000 0.00000000 7.83333333
3.51000000 0.00000000 7.83333333
3.57000000 0.00000000 7.83333333
3.63000000 0.00000000 7.83333333
3.69000000 0.00000000 7.83333333
3.75000000 0.00000000 7.83333333
3.81000000 0.00000000 7.83333333
3.87000000 0.00000000 7.83333333
3.93000000 0.18602975 8.00000000
3.99000000 0.00000000 8.00000000
4.05000000 0.00000000 8.00000000
4.11000000 0.00000000 8.00000000
4.17000000 2.14802679 10.16666667
4.23000000 0.00000000 10.16666667
4.29000000 0.00000000 10.16666667
4.35000000 0.30368304 10.50000000
4.41000000 0.88642770 11.50000000
4.47000000 0.00000000 11.50000000
4.53000000 0.00000000 11.50000000
4.59000000 0.00000000 11.50000000
4.65000000 0.00000000 11.50000000
4.71000000 0.00000000 11.50000000
4.77000000 1.01023741 12.83333333
4.83000000 0.49264728 13.50000000
4.89000000 0.00000000 13.50000000
4.95000000 0.00000000 13.50000000
5.01000000 0.00000000 13.50000000
5.07000000 0.00000000 13.50000000
5.13000000 0.00000000 13.50000000
5.19000000 0.21333710 13.83333333
5.25000000 0.00000000 13.83333333
5.31000000 0.00000000 13.83333333
5.37000000 0.00000000 13.83333333
5.43000000 0.00000000 13.83333333
5.49000000 0.00000000 13.83333333
5.55000000 0.55967641 14.83333333
5.61000000 0.63906366 16.00000000
5.67000000 0.00000000 16.00000000
5.73000000 0.00000000 16.00000000
5.79000000 0.00000000 16.00000000
5.85000000 0.00000000 16.00000000
5.91000000 0.00000000 16.00000000
5.97000000 0.00000000 16.00000000
