# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 4.61405611 1.50000000
2.43000000 4.14519117 2.91666667
2.49000000 0.00000000 2.91666667
2.55000000 0.00000000 2.91666667
2.61000000 0.00000000 2.91666667
2.67000000 0.00000000 2.91666667
2.73000000 0.00000000 2.91666667
2.79000000 6.65897846 5.91666667
2.85000000 2.83624979 7.25000000
2.91000000 1.02018783 7.75000000
2.97000000 0.00000000 7.75000000
3.03000000 0.31366120 7.91666667
3.09000000 0.00000000 7.91666667
3.15000000 0.00000000 7.91666667
3.21000000 0.00000000 7.91666667
3.27000000 0.00000000 7.91666667
3.33000000 0.00000000 7.91666667
3.39000000 0.00000000 7.91666667
3.45000000 0.00000000 7.91666667
3.51000000 0.00000000 7.91666667
3.57000000 0.00000000 7.91666667
3.63000000 0.00000000 7.91666667
3.69000000 0.00000000 7.91666667
3.75000000 0.00000000 7.91666667
3.81000000 0.00000000 7.91666667
3.87000000 0.00000000 7.91666667
3.93000000 0.18645186 8.08333333
3.99000000 0.00000000 8.08333333
4.05000000 0.00000000 8.08333333
4.11000000 0.00000000 8.08333333
4.17000000 2.07009683 10.16666667
4.23000000 0.00000000 10.16666667
4.29000000 0.00000000 10.16666667
4.35000000 0.00000000 10.16666667
4.41000000 1.18458535 11.50000000
4.47000000 0.00000000 11.50000000
4.53000000 0.00000000 11.50000000
4.59000000 0.00000000 11.50000000
4.65000000 0.00000000 11.50000000
4.71000000 0.00000000 11.50000000
4.77000000 0.88596345 12.66666667
4.83000000 0.61720638 13.50000000
4.89000000 0.00000000 13.50000000
4.95000000 0.00000000 13.50000000
5.01000000 0.00000000 13.50000000
5.07000000 0.00000000 13.50000000
5.13000000 0.00000000 13.50000000
5.19000000 0.21382117 13.83333333
5.25000000 0.00000000 13.83333333
5.31000000 0.00000000 13.83333333
5.37000000 0.00000000 13.83333333
5.43000000 0.00000000 13.83333333
5.49000000 0.00000000 13.83333333
5.55000000 1.12189264 15.83333333
5.61000000 0.09150196 16.00000000
5.67000000 0.00000000 16.00000000
5.73000000 0.00000000 16.00000000
5.79000000 0.00000000 16.00000000
5.85000000 0.00000000 16.00000000
5.91000000 0.00000000 16.00000000
5.97000000 0.00000000 16.00000000
