# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 0.00000000 0.00000000
2.61000000 0.89331188 0.26666667
2.67000000 2.56084745 1.06666667
2.73000000 2.44952418 1.86666667
2.79000000 3.12707357 2.93333333
2.85000000 6.36819593 5.20000000
2.91000000 2.87449713 6.26666667
2.97000000 0.68988322 6.53333333
3.03000000 0.00000000 6.53333333
3.09000000 1.27468432 7.06666667
3.15000000 4.90635536 9.20000000
3.21000000 3.54349474 10.80000000
3.27000000 0.00000000 10.80000000
3.33000000 1.09757203 11.33333333
3.39000000 0.00000000 11.33333333
3.45000000 0.00000000 11.33333333
3.51000000 0.00000000 11.33333333
3.57000000 0.00000000 11.33333333
3.63000000 0.00000000 11.33333333
3.69000000 0.00000000 11.33333333
3.75000000 0.00000000 11.33333333
3.81000000 0.00000000 11.33333333
3.87000000 0.00000000 11.33333333
3.93000000 0.00000000 11.33333333
3.99000000 0.00000000 11.33333333
4.05000000 0.00000000 11.33333333
4.11000000 0.00000000 11.33333333
4.17000000 0.00000000 11.33333333
4.23000000 0.00000000 11.33333333
4.29000000 0.00000000 11.33333333
4.35000000 0.64320268 11.86666667
4.41000000 0.00000000 11.86666667
4.47000000 0.00000000 11.86666667
4.53000000 0.59310351 12.40000000
4.59000000 1.15539820 13.46666667
4.65000000 0.84433069 14.26666667
4.71000000 0.82295638 15.06666667
4.77000000 2.13968949 17.20000000
4.83000000 2.08686037 19.33333333
4.89000000 1.78146840 21.20000000
4.95000000 0.00000000 21.20000000
5.01000000 0.48490047 21.73333333
5.07000000 0.47349158 22.26666667
5.13000000 0.69372097 23.06666667
5.19000000 0.00000000 23.06666667
5.25000000 0.00000000 23.06666667
5.31000000 0.00000000 23.06666667
5.37000000 0.00000000 23.06666667
5.43000000 0.00000000 23.06666667
5.49000000 0.00000000 23.06666667
5.55000000 0.79026554 24.13333333
5.61000000 0.38672601 24.66666667
5.67000000 0.00000000 24.66666667
5.73000000 0.37069782 25.20000000
5.79000000 1.08916453 26.80000000
5.85000000 0.35564582 27.33333333
5.91000000 0.00000000 27.33333333
5.97000000 0.00000000 27.33333333
