# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.00000000 0.00000000
2.42000000 0.00000000 0.00000000
2.46000000 0.00000000 0.00000000
2.50000000 0.00000000 0.00000000
2.54000000 0.00000000 0.00000000
2.58000000 0.00000000 0.00000000
2.62000000 1.35779000 0.26666700
2.66000000 1.31726000 0.53333300
2.70000000 2.55705000 1.06667000
2.74000000 3.72440000 1.86667000
2.78000000 2.41200000 2.40000000
2.82000000 4.10210000 3.33333000
2.86000000 4.55790000 4.40000000
2.90000000 11.08260000 7.06667000
2.94000000 0.00000000 7.06667000
2.98000000 2.09911000 7.60000000
3.02000000 0.00000000 7.60000000
3.06000000 0.00000000 7.60000000
3.10000000 0.00000000 7.60000000
3.14000000 11.34380000 10.80000000
3.18000000 0.00000000 10.80000000
3.22000000 3.59573000 11.86670000
3.26000000 3.50803000 12.93330000
3.30000000 0.00000000 12.93330000
3.34000000 1.67100000 13.46670000
3.38000000 0.00000000 13.46670000
3.42000000 0.00000000 13.46670000
3.46000000 0.00000000 13.46670000
3.50000000 0.00000000 13.46670000
3.54000000 0.00000000 13.46670000
3.58000000 0.00000000 13.46670000
3.62000000 0.00000000 13.46670000
3.66000000 0.00000000 13.46670000
3.70000000 0.00000000 13.46670000
3.74000000 0.00000000 13.46670000
3.78000000 0.00000000 13.46670000
3.82000000 0.00000000 13.46670000
3.86000000 0.00000000 13.46670000
3.90000000 0.00000000 13.46670000
3.94000000 0.00000000 13.46670000
3.98000000 0.00000000 13.46670000
4.02000000 0.00000000 13.46670000
4.06000000 0.00000000 13.46670000
4.10000000 0.00000000 13.46670000
4.14000000 0.00000000 13.46670000
4.18000000 0.00000000 13.46670000
4.22000000 0.00000000 13.46670000
4.26000000 0.00000000 13.46670000
4.30000000 0.00000000 13.46670000
4.34000000 1.97935000 14.53330000
4.38000000 0.00000000 14.53330000
4.42000000 0.00000000 14.53330000
4.46000000 0.00000000 14.53330000
4.50000000 0.00000000 14.53330000
4.54000000 1.80880000 15.60000000
4.58000000 0.00000000 15.60000000
4.62000000 3.93007000 18.00000000
4.66000000 1.28763000 18.80000000
4.70000000 0.00000000 18.80000000
4.74000000 4.97813000 22.00000000
4.78000000 1.63172000 23.06670000
4.82000000 3.20950000 25.20000000
4.86000000 2.76228000 27.06670000
4.90000000 5.43473000 30.80000000
4.94000000 1.52773000 31.86670000
4.98000000 0.00000000 31.86670000
5.02000000 0.73971500 32.40000000
5.06000000 1.45613000 33.46670000
5.10000000 1.43338000 34.53330000
5.14000000 0.00000000 34.53330000
5.18000000 1.73681000 35.86670000
5.22000000 0.00000000 35.86670000
5.26000000 2.52657000 37.86670000
5.30000000 0.00000000 37.86670000
5.34000000 0.00000000 37.86670000
5.38000000 0.00000000 37.86670000
5.42000000 0.95184200 38.66670000
5.46000000 0.00000000 38.66670000
5.50000000 1.84871000 40.26670000
5.54000000 0.00000000 40.26670000
5.58000000 0.00000000 40.26670000
5.62000000 1.77060000 41.86670000
5.66000000 1.45472000 43.20000000
5.70000000 0.28687500 43.46670000
5.74000000 0.00000000 43.46670000
5.78000000 4.46382000 47.73330000
5.82000000 1.65100000 49.33330000
5.86000000 1.08569000 50.40000000
5.90000000 0.00000000 50.40000000
5.94000000 2.64162000 53.06670000
5.98000000 3.38831000 56.53330000
6.02000000 0.51437500 57.06670000
6.06000000 1.01521000 58.13330000
6.10000000 1.00194000 59.20000000
6.14000000 1.97786000 61.33330000
6.18000000 0.00000000 61.33330000
6.22000000 0.96365600 62.40000000
6.26000000 0.00000000 62.40000000
6.30000000 0.00000000 62.40000000
6.34000000 0.00000000 62.40000000
6.38000000 0.91592800 63.46670000
6.42000000 0.00000000 63.46670000
6.46000000 0.00000000 63.46670000
6.50000000 0.00000000 63.46670000
6.54000000 0.00000000 63.46670000
6.58000000 0.00000000 63.46670000
6.62000000 0.00000000 63.46670000
6.66000000 0.84053200 64.53330000
6.70000000 0.00000000 64.53330000
6.74000000 0.82069700 65.60000000
6.78000000 0.00000000 65.60000000
6.82000000 0.00000000 65.60000000
6.86000000 0.79223600 66.66670000
6.90000000 2.34923000 69.86670000
6.94000000 1.54815000 72.00000000
6.98000000 0.00000000 72.00000000
7.02000000 0.37826700 72.53330000
