# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 7.19756062 2.20689655
2.55000000 0.00000000 2.20689655
2.61000000 0.00000000 2.20689655
2.67000000 4.69489089 3.86206897
2.73000000 4.49079807 5.51724138
2.79000000 0.00000000 5.51724138
2.85000000 6.18090120 8.00000000
2.91000000 1.97621842 8.82758621
2.97000000 0.00000000 8.82758621
3.03000000 0.00000000 8.82758621
3.09000000 7.01076959 12.13793103
3.15000000 0.00000000 12.13793103
3.21000000 0.00000000 12.13793103
3.27000000 1.56505144 12.96551724
3.33000000 0.00000000 12.96551724
3.39000000 0.00000000 12.96551724
3.45000000 0.00000000 12.96551724
3.51000000 0.00000000 12.96551724
3.57000000 0.00000000 12.96551724
3.63000000 0.00000000 12.96551724
3.69000000 0.00000000 12.96551724
3.75000000 0.59502404 13.37931034
3.81000000 0.00000000 13.37931034
3.87000000 0.00000000 13.37931034
3.93000000 0.00000000 13.37931034
3.99000000 0.00000000 13.37931034
4.05000000 2.04055504 15.03448276
4.11000000 0.00000000 15.03448276
4.17000000 0.00000000 15.03448276
4.23000000 0.00000000 15.03448276
4.29000000 1.59130231 16.48275862
4.35000000 0.88440443 17.31034483
4.41000000 0.00000000 17.31034483
4.47000000 0.13959295 17.44827586
4.53000000 0.00000000 17.44827586
4.59000000 0.00000000 17.44827586
4.65000000 0.19349261 17.65517241
4.71000000 0.00000000 17.65517241
4.77000000 0.00000000 17.65517241
4.83000000 0.71735885 18.48275862
4.89000000 1.04979476 19.72413793
4.95000000 1.19524969 21.17241379
5.01000000 0.05556156 21.24137931
5.07000000 0.00000000 21.24137931
5.13000000 0.31795571 21.65517241
5.19000000 0.31064671 22.06896552
5.25000000 0.00000000 22.06896552
5.31000000 0.14838249 22.27586207
5.37000000 0.00000000 22.27586207
5.43000000 0.00000000 22.27586207
5.49000000 0.55524837 23.10344828
5.55000000 0.81496202 24.34482759
5.61000000 0.00000000 24.34482759
5.67000000 0.26027721 24.75862069
5.73000000 0.00000000 24.75862069
5.79000000 0.00000000 24.75862069
5.85000000 0.00000000 24.75862069
5.91000000 0.00000000 24.75862069
5.97000000 0.00000000 24.75862069
