# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 7.26420672 2.20689655
2.55000000 0.00000000 2.20689655
2.61000000 0.00000000 2.20689655
2.67000000 4.73836342 3.86206897
2.73000000 4.53238079 5.51724138
2.79000000 0.00000000 5.51724138
2.85000000 8.31751133 8.82758621
2.91000000 0.00000000 8.82758621
2.97000000 0.00000000 8.82758621
3.03000000 0.00000000 8.82758621
3.09000000 3.53784304 10.48275862
3.15000000 3.40435568 12.13793103
3.21000000 1.63914156 12.96551724
3.27000000 0.00000000 12.96551724
3.33000000 0.00000000 12.96551724
3.39000000 0.00000000 12.96551724
3.45000000 0.00000000 12.96551724
3.51000000 0.00000000 12.96551724
3.57000000 0.00000000 12.96551724
3.63000000 0.00000000 12.96551724
3.69000000 0.00000000 12.96551724
3.75000000 0.00000000 12.96551724
3.81000000 0.58176856 13.37931034
3.87000000 0.00000000 13.37931034
3.93000000 0.00000000 13.37931034
3.99000000 0.00000000 13.37931034
4.05000000 2.05944964 15.03448276
4.11000000 0.00000000 15.03448276
4.17000000 0.00000000 15.03448276
4.23000000 0.00000000 15.03448276
4.29000000 2.75320634 17.51724138
4.35000000 0.89259360 18.34482759
4.41000000 0.00000000 18.34482759
4.47000000 0.00000000 18.34482759
4.53000000 0.34294555 18.68965517
4.59000000 0.00000000 18.68965517
4.65000000 0.00000000 18.68965517
4.71000000 0.00000000 18.68965517
4.77000000 0.00000000 18.68965517
4.83000000 1.08600189 19.93103448
4.89000000 0.70634358 20.75862069
4.95000000 1.26376083 22.27586207
5.01000000 0.00000000 22.27586207
5.07000000 0.00000000 22.27586207
5.13000000 0.32089983 22.68965517
5.19000000 0.31352316 23.10344828
5.25000000 0.00000000 23.10344828
5.31000000 0.00000000 23.10344828
5.37000000 0.14642866 23.31034483
5.43000000 0.00000000 23.31034483
5.49000000 0.00000000 23.31034483
5.55000000 0.54833880 24.13793103
5.61000000 0.26833623 24.55172414
5.67000000 0.00000000 24.55172414
5.73000000 0.25721480 24.96551724
5.79000000 0.00000000 24.96551724
5.85000000 0.00000000 24.96551724
5.91000000 0.00000000 24.96551724
5.97000000 0.00000000 24.96551724
