# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 1.44374965 0.41379310
2.61000000 2.75627246 1.24137931
2.67000000 0.00000000 1.24137931
2.73000000 2.51929782 2.06896552
2.79000000 0.00000000 2.06896552
2.85000000 4.62324088 3.72413793
2.91000000 8.86912781 7.03448276
2.97000000 4.25720548 8.68965517
3.03000000 6.81713011 11.44827586
3.09000000 0.00000000 11.44827586
3.15000000 0.00000000 11.44827586
3.21000000 0.00000000 11.44827586
3.27000000 0.00000000 11.44827586
3.33000000 1.69325384 12.27586207
3.39000000 0.00000000 12.27586207
3.45000000 1.57751374 13.10344828
3.51000000 0.00000000 13.10344828
3.57000000 0.00000000 13.10344828
3.63000000 0.00000000 13.10344828
3.69000000 0.00000000 13.10344828
3.75000000 0.00000000 13.10344828
3.81000000 0.32337271 13.31034483
3.87000000 0.00000000 13.31034483
3.93000000 0.00000000 13.31034483
3.99000000 0.00000000 13.31034483
4.05000000 0.00000000 13.31034483
4.11000000 0.00000000 13.31034483
4.17000000 1.07979841 14.13793103
4.23000000 0.00000000 14.13793103
4.29000000 0.00000000 14.13793103
4.35000000 0.00000000 14.13793103
4.41000000 0.00000000 14.13793103
4.47000000 0.46986243 14.55172414
4.53000000 0.91499671 15.37931034
4.59000000 0.00000000 15.37931034
4.65000000 0.86838108 16.20689655
4.71000000 1.05799743 17.24137931
4.77000000 1.23785866 18.48275862
4.83000000 1.20729582 19.72413793
4.89000000 0.00000000 19.72413793
4.95000000 0.38315683 20.13793103
5.01000000 0.00000000 20.13793103
5.07000000 0.00000000 20.13793103
5.13000000 0.71348132 20.96551724
5.19000000 0.69708018 21.79310345
5.25000000 0.00000000 21.79310345
5.31000000 0.33296503 22.20689655
5.37000000 0.00000000 22.20689655
5.43000000 0.15920555 22.41379310
5.49000000 0.62297881 23.24137931
5.55000000 0.00000000 23.24137931
5.61000000 0.44745945 23.86206897
5.67000000 0.29202640 24.27586207
5.73000000 0.42891411 24.89655172
5.79000000 0.28004723 25.31034483
5.85000000 0.54866436 26.13793103
5.91000000 0.26879030 26.55172414
5.97000000 0.13170734 26.75862069
