# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.00000000 0.00000000
2.42000000 0.00000000 0.00000000
2.46000000 0.00000000 0.00000000
2.50000000 0.00000000 0.00000000
2.54000000 2.18530000 0.41379300
2.58000000 0.00000000 0.41379300
2.62000000 0.00000000 0.41379300
2.66000000 3.98517000 1.24138000
2.70000000 0.00000000 1.24138000
2.74000000 3.75586000 2.06897000
2.78000000 0.00000000 2.06897000
2.82000000 0.00000000 2.06897000
2.86000000 10.34190000 4.55172000
2.90000000 3.35286000 5.37931000
2.94000000 13.04900000 8.68966000
2.98000000 1.05842000 8.96552000
3.02000000 6.18341000 10.62070000
3.06000000 3.01141000 11.44830000
3.10000000 0.00000000 11.44830000
3.14000000 0.00000000 11.44830000
3.18000000 0.00000000 11.44830000
3.22000000 0.00000000 11.44830000
3.26000000 0.00000000 11.44830000
3.30000000 0.00000000 11.44830000
3.34000000 2.52767000 12.27590000
3.38000000 0.00000000 12.27590000
3.42000000 2.41080000 13.10340000
3.46000000 0.00000000 13.10340000
3.50000000 0.00000000 13.10340000
3.54000000 0.00000000 13.10340000
3.58000000 0.00000000 13.10340000
3.62000000 0.00000000 13.10340000
3.66000000 0.00000000 13.10340000
3.70000000 0.00000000 13.10340000
3.74000000 0.00000000 13.10340000
3.78000000 0.00000000 13.10340000
3.82000000 0.00000000 13.10340000
3.86000000 0.00000000 13.10340000
3.90000000 0.00000000 13.10340000
3.94000000 0.90822200 13.51720000
3.98000000 0.00000000 13.51720000
4.02000000 0.00000000 13.51720000
4.06000000 0.00000000 13.51720000
4.10000000 0.00000000 13.51720000
4.14000000 0.00000000 13.51720000
4.18000000 1.61385000 14.34480000
4.22000000 0.00000000 14.34480000
4.26000000 0.00000000 14.34480000
4.30000000 0.00000000 14.34480000
4.34000000 0.00000000 14.34480000
4.38000000 0.00000000 14.34480000
4.42000000 0.00000000 14.34480000
4.46000000 2.83515000 16.00000000
4.50000000 2.78497000 17.65520000
4.54000000 2.73611000 19.31030000
4.58000000 0.00000000 19.31030000
4.62000000 2.64217000 20.96550000
4.66000000 1.29851000 21.79310000
4.70000000 2.55299000 23.44830000
4.74000000 2.51009000 25.10340000
4.78000000 3.70238000 27.58620000
4.82000000 2.42746000 29.24140000
4.86000000 0.00000000 29.24140000
4.90000000 0.58721000 29.65520000
4.94000000 1.15548000 30.48280000
4.98000000 0.00000000 30.48280000
5.02000000 0.00000000 30.48280000
5.06000000 0.00000000 30.48280000
5.10000000 1.08412000 31.31030000
5.14000000 0.00000000 31.31030000
5.18000000 4.20355000 34.62070000
5.22000000 2.06969000 36.27590000
5.26000000 0.00000000 36.27590000
5.30000000 2.00768000 37.93100000
5.34000000 0.00000000 37.93100000
5.38000000 0.00000000 37.93100000
5.42000000 0.95988200 38.75860000
5.46000000 0.00000000 38.75860000
5.50000000 0.00000000 38.75860000
5.54000000 1.83750000 40.41380000
5.58000000 0.90562400 41.24140000
5.62000000 2.08315000 43.17240000
5.66000000 1.76041000 44.82760000
5.70000000 2.60368000 47.31030000
5.74000000 0.85584000 48.13790000
5.78000000 3.37614000 51.44830000
5.82000000 1.94244000 53.37930000
5.86000000 2.18973000 55.58620000
5.90000000 0.81005100 56.41380000
5.94000000 1.59836000 58.06900000
5.98000000 0.00000000 58.06900000
6.02000000 0.00000000 58.06900000
6.06000000 0.00000000 58.06900000
6.10000000 0.00000000 58.06900000
6.14000000 1.49593000 59.72410000
6.18000000 2.21494000 62.20690000
6.22000000 0.00000000 62.20690000
6.26000000 0.00000000 62.20690000
6.30000000 0.00000000 62.20690000
6.34000000 0.00000000 62.20690000
6.38000000 0.00000000 62.20690000
6.42000000 0.00000000 62.20690000
6.46000000 0.00000000 62.20690000
6.50000000 0.00000000 62.20690000
6.54000000 2.63707000 65.51720000
6.58000000 0.00000000 65.51720000
6.62000000 0.64342900 66.34480000
6.66000000 1.27145000 68.00000000
6.70000000 0.62815600 68.82760000
6.74000000 0.00000000 68.82760000
6.78000000 0.61342000 69.65520000
6.82000000 2.42498000 72.96550000
6.86000000 2.39678000 76.27590000
6.90000000 1.77681000 78.75860000
6.94000000 0.00000000 78.75860000
6.98000000 0.00000000 78.75860000
7.02000000 1.14439000 80.41380000
