# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 0.00000000 0.00000000
2.61000000 4.10026907 1.24137931
2.67000000 0.00000000 1.24137931
2.73000000 2.49849488 2.06896552
2.79000000 0.00000000 2.06896552
2.85000000 9.17012952 5.37931034
2.91000000 4.39794578 7.03448276
2.97000000 4.22205188 8.68965517
3.03000000 4.73258667 10.62068966
3.09000000 1.95025156 11.44827586
3.15000000 0.00000000 11.44827586
3.21000000 0.00000000 11.44827586
3.27000000 1.74146018 12.27586207
3.33000000 0.00000000 12.27586207
3.39000000 0.00000000 12.27586207
3.45000000 1.56448752 13.10344828
3.51000000 0.00000000 13.10344828
3.57000000 0.00000000 13.10344828
3.63000000 0.00000000 13.10344828
3.69000000 0.00000000 13.10344828
3.75000000 0.00000000 13.10344828
3.81000000 0.32070248 13.31034483
3.87000000 0.00000000 13.31034483
3.93000000 0.00000000 13.31034483
3.99000000 0.00000000 13.31034483
4.05000000 0.00000000 13.31034483
4.11000000 1.10237634 14.13793103
4.17000000 0.00000000 14.13793103
4.23000000 0.00000000 14.13793103
4.29000000 0.00000000 14.13793103
4.35000000 0.00000000 14.13793103
4.41000000 0.00000000 14.13793103
4.47000000 0.46598257 14.55172414
4.53000000 0.90744118 15.37931034
4.59000000 0.88387263 16.20689655
4.65000000 0.86121048 17.03448276
4.71000000 0.20985222 17.24137931
4.77000000 1.22763713 18.48275862
4.83000000 1.19732666 19.72413793
4.89000000 0.19468751 19.93103448
4.95000000 0.00000000 19.93103448
5.01000000 0.18547296 20.13793103
5.07000000 0.36221819 20.55172414
5.13000000 0.35379490 20.96551724
5.19000000 0.34566204 21.37931034
5.25000000 0.33780643 21.79310345
5.31000000 0.33021560 22.20689655
5.37000000 0.16143889 22.41379310
5.43000000 0.00000000 22.41379310
5.49000000 0.61783460 23.24137931
5.55000000 0.45341127 23.86206897
5.61000000 0.29584306 24.27586207
5.67000000 0.00000000 24.27586207
5.73000000 0.14179079 24.48275862
5.79000000 0.55546951 25.31034483
5.85000000 0.54413379 26.13793103
5.91000000 0.26657079 26.55172414
5.97000000 0.13061977 26.75862069
